description,category_a,category_a_target
"FTP Server無法對外連線，個人工作機無法MAP此台FTP Server，網路孔P113,A181，內部IP：10.241.120.5，外部IP：220.128.79.137",網管,7
NB4 transfer NB7  Want to link customer work station,網管,7
康達館 B3 無線網路不能用,網管,7
可以連上公司內部網路，無法連上公司外部網路 #17995,網管,7
User對外網路不通,網管,7
"可以連公司內部網路,無法連接外部網路ex:Intel,請幫忙處理,謝謝~",網管,7
無法上網，不斷驗證#15579,網管,7
"網路不通,網路孔號碼A397PQ07請幫忙,謝謝!",網管,7
"連外部網路, 時好時壞的....",網管,7
"user是新人,欲申請新的SAP帳號,詢問相關操作問題",SAP-168(QCI),4
"orcad所申請的電腦名稱與目前使用電腦名稱不同,不確定是不是這樣導致orcad無法使用",R&D資訊系統,3
oracd出現error(error message: only use less than 60 components),R&D資訊系統,3
之前ORCAD 就常常因為帳號滿   每天要登入多次才能上去 大約花1-2小時   現在 要登入太困難 已經整整3天沒法登入   無法修改線路 案子嚴重延後   請幫忙解決,R&D資訊系統,3
"因我電腦重灌，原本是win7 32bit，現在是64bit，所以我重新安裝Orcad軟體，但我連上去一直出現""unable to contact license server""，在開檔案前我也有先連上SSLVPN，目前的我灌的版本是10.5版，我也是依照SOP來做，麻煩協助處理。",R&D資訊系統,3
分機18475，要在my quanta上發布公告,R&D資訊系統,3
"我無法使用Pro-E登入PDM WINDCHILL 的server,  我和其他同事確認過網址是http://myplm.quanta.corp/Winchill/ 是相同的.  但無論是用IE或是Pro-E都登不進去.",R&D資訊系統,3
"急~~~我的Pro-E 4.0 無法開啟了, Pro-E訊息上告知是licensing error 26找不到.  請問是否Sever 有問題還是我本機設定有問題? 麻煩協助~~~~謝謝~",R&D資訊系統,3
Or CAD 軟體常常當掉，每天幾乎都會當掉一次，當掉之後，就連不進去。  ext:13817,R&D資訊系統,3
分機11288，autoCAD無法使用,R&D資訊系統,3
"@15115, PLM無法操作",R&D資訊系統,3
無法使用，分機16656,R&D資訊系統,3
MYQUANTA無法登入,R&D資訊系統,3
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,3
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,3
ORCAD無法執行，出現ERROR(LMF-02004)的視窗。,R&D資訊系統,3
昨晚開始一直無法開啟OrCAD，提示為無License權限，因線路設計在即，再煩請幫忙確認處理，感謝！,R&D資訊系統,3
此部門協理欲登入268 down cost bom，但第一層sale01就無法登入，請幫忙處理，謝謝！,SAP-2X8(QSMC),5
目前人在QSMC出差 需要查QSMC庫存  請幫忙遠端安裝SAP軟體  謝謝,SAP-2X8(QSMC),5
need SAP Id to access SAP 268,SAP-2X8(QSMC),5
Password似乎有問題無法進SAP208，麻煩處理，謝謝！,SAP-2X8(QSMC),5
268在第二層LOGIN無法順利登入   分機:15820,SAP-2X8(QSMC),5
user 修改密碼後無法登入。#12988,SAP-2X8(QSMC),5
sap 208 無法login,SAP-2X8(QSMC),5
SAP操作錯誤 #(381) 12177,SAP-2X8(QSMC),5
無法登入，#12387,SAP-2X8(QSMC),5
工號92031702 聯絡電話11407，SAP帳號無法登入,SAP-2X8(QSMC),5
無法連線 #382-45435,SAP-2X8(QSMC),5
268 logon fail,SAP-2X8(QSMC),5
208帳號無法登入,SAP-2X8(QSMC),5
"同仁SAP 268顯示他帳號已經logon 無法再次login, 煩請協助處理",SAP-2X8(QSMC),5
"MYQUANTA的內部應用看不到SAP Icon ,之前可以看.user目前人在大陸",SAP-2X8(QSMC),5
"到My Quanta 內部應用系統,無法登入SAP~請幫忙",SAP-168(QCI),4
分機382 72300,SAP-168(QCI),4
使用者已裝了cirtix，但無法在內部應用系統的網頁中看到SAP的icon,SAP-168(QCI),4
分機:17989,SAP-168(QCI),4
無法logon CSAP23,SAP-168(QCI),4
user登入SAP後無法動作.,SAP-168(QCI),4
"帳號被Lock,請協助處理,謝謝",SAP-168(QCI),4
"SAP帳號87042501,無法登入，分機17727",SAP-168(QCI),4
密碼輸入錯誤被鎖住  請協助幫忙,SAP-168(QCI),4
sap帳號申請,SAP-168(QCI),4
"欲新增SAP帳號, 詢問如何操作, #15732",SAP-168(QCI),4
User無法使用原帳號、密碼登入，請MIS人員解決。分機#5327,SAP-168(QCI),4
該user 要安裝SAP程式  請協助  分機 18829,SAP-168(QCI),4
帳號問題無法使用，使用者人在廣輝聯絡電話38318009,SAP-168(QCI),4
User在298做create delivery時，帶不出so的資料，但確定so的資料是存在的，請MIS人員協助幫忙。謝謝！分機#2649,SAP-2X8(QSMC),5
"USER反應ES5A無法扣帳,要修改Cost center,煩請相關人員協助處理 (分機3099)",SAP-2X8(QSMC),5
"USER反應EX5A無法扣帳,要修改Cost center,煩請相關人員協助處理 (分機3099)",SAP-2X8(QSMC),5
使用者反應 Delivery 無法 Release.(Ext.45067),SAP-2X8(QSMC),5
user跑ZV14單筆去跑可以跑出sales org 但是跑background跑不出資料 請協助處理,SAP-2X8(QSMC),5
user跑ZV14單筆去跑可以跑出sales org 但是跑background跑不出資料 請協助處理，之前已經在APP0001247反應過，請再確認是否已經處理完畢。,SAP-2X8(QSMC),5
so fail VA01-Va03 fail,SAP-2X8(QSMC),5
"無法create deliery, error: PMC not relase, SO:111164561, 請協助處理 #382-13171",SAP-2X8(QSMC),5
user欲呼叫ZAPI_BO_DOC RFC做扣帳動作,SAP-2X8(QSMC),5
"SAP298出貨,SAP168欲做假收假出的的動作,無法run ZMAW,煩請相關人員協助處理.",SAP-2X8(QSMC),5
BOI的，是用BAPI開SO有帶價格過去，但是在ZN26選了以SO當價格，還是抓不到價格,SAP-2X8(QSMC),5
sales BOM無法上傳到SAP。#12670,SAP-2X8(QSMC),5
"user做SO change後按存檔,但系統顯示無法存檔,T-code:VA02",SAP-2X8(QSMC),5
重設網域,BPM平台系統,0
"公司配發的電腦P12923, 實體記憶體只有4G, 可用記憶體只有不到3G, 每次開機後都被系統程式SVCHOST大量霸佔記憶體資源導致整台電腦運行極度緩慢, 嚴重影響工作, 處長指示須盡速解決問題",BPM平台系統,0
"PPT報告無法插入PDF檔案  出現""找不到伺服器應用程式、來源檔案或項目，或是傳回未知的錯誤。可能需要重新安裝伺服器應用程式。""",BPM平台系統,0
Outlook聯絡人無法與OCS連結丟訊息！,BPM平台系統,0
無法登入BPM系統、無法進入員工服務區,BPM平台系統,0
"Jasmine Liao (廖雅美) 工號:10709026  無法登入MyBPM進行表單申請,請協助確認原因",BPM平台系統,0
#381-11674    BPM的零用金申請單無法使用.,BPM平台系統,0
"同事公號９８０５１８１８密碼過期無法登入  使用mail.quantatw.com進入更改密碼會出現""錯誤: 此處需要物件""  請協助處理",BPM平台系統,0
"同事公號９８０５１８１８密碼過期無法登入  使用mail.quantatw.com進入更改密碼會出現""錯誤: 此處需要物件""  請協助處理",BPM平台系統,0
11413 BPM會計零用金申請單 會跳出錯誤訊息(網路問題) 有點急,BPM平台系統,0
Agile 無法更新無法開啟,BPM平台系統,0
PDM 系統無法閱讀文管相關文件,BPM平台系統,0
lync當機後os就會重開機 很容易當機,BPM平台系統,0
"員工自我發展計畫(IDP)通知：IDP結案無法簽核,出現亂碼",BPM平台系統,0
Footprint簽核畫面無法正常瀏覽，錯誤碼如下:      ''/BPMPortal'' 應用程式中發生伺服器錯誤。    編譯錯誤   描述: 資源編譯無法完成 (錯誤發生於服務要求)。請檢閱下列的特定錯誤詳細資料，並視情況修改您的原始程式碼。     編譯器錯誤訊息: CS0433: ''c:\Windows\Microsoft.NET\Framework\v2.0.50727\Temporary ASP.NET Files\bpmportal\c7af72f1\ec03b1f5\App_Code.1zoyusbh.dll'' 和 ''c:\Windows\Microsoft.NET\Framework\v2.0.50727\Temporary ASP.NET Files\bpmportal\c7af72f1\ec03b1f5\App_Code.hwx6fm2d.dll'' 兩者中都有型別 ''IMaster''    原始程式錯誤:,BPM平台系統,0
Panel經常發生花屏,BPM平台系統,0
"座位上之有線網路插座無法連線,經確認為插座損毀,懇請維修",BPM平台系統,0
"因目前在外出差, 透過web mail 更改密碼時, 出現錯誤:無此物件",網管,7
"原系統為linux,欲重灌win 7.",網管,7
幫 Beckham 同仁 97060905 申請; 工作機電腦無法正常進入系申請統 ; 請求軟體 支援;分析 15517,網管,7
無法連上SAP#17989,SAP-168(QCI),4
"user操作SAP168 ZMAW時,168的資料與298資料不符,煩請相關同仁協助處理.",SAP-168(QCI),4
使用者無法從SAP上Download資料入本機,SAP-168(QCI),4
"請問..我的BPM上有一堆要簽核的SAP退料單  但點單號進入卻出現【 Can not find flow!---> SPCODE=''Q02 ; COSDEP= ""開單部門代碼"" 】  然後我也不能按簽核送出鈕...(已反白不能按)...  因為接近年底報廢...有大量的單待核...請儘速協助解決...謝謝！",SAP-168(QCI),4
"SAP資料轉BPM後, 在BPM無法簽核. 昨天晚上8點多已經有填過申請單(單號40891)  分機12392",SAP-168(QCI),4
帳號被鎖，無法登入，分機:17727,SAP-168(QCI),4
SAP連不到... #15327,SAP-168(QCI),4
"SQ01在別的廠可正常操作,但在CS40卻無法正常使用,煩請相關人員協助處理",SAP-168(QCI),4
"作SAP printer 設定, 會出現權限不足  #18829",SAP-168(QCI),4
登入SSL VPN後    Ctritis  36 登入不了。,SAP-168(QCI),4
user 說要申請NRE 的品號  分機 18829,SAP-168(QCI),4
"uSER 反應SAP帳號無法登入,分機 13761",SAP-168(QCI),4
忘記SAP密碼,SAP-168(QCI),4
登入SAP VD02 KEY IN 問題,SAP-168(QCI),4
sap 無法連線,SAP-168(QCI),4
Pro/E無法使用,GOC,2
出差到QSMC.,網管,7
網孔編號:PG20,網管,7
上星期加完網域也測試過可以連公司網路，但今天卻無法連至公司網域內的網路  #18489,網管,7
netwok did not work,網管,7
網路不通  分機2+18683,網管,7
"office網路不通, 客戶急著要用  孔號:pk17-a233",網管,7
使用者網路孔不通  孔號:  P113.  A181,網管,7
網路不通,網管,7
NB4轉NB7後 每天都要重新網路識別   已反應多次,網管,7
網路不通  請撥MVPN:217995,網管,7
"無法連上無線網路,#17995",網管,7
對面舊場地下室PDC，網路IP位置不足。#17995,網管,7
"工號:95030623 分機:17995  康達館B3 ,靠近櫃檯的半電波暗室 無線網路收訊不到,訊號微弱",網管,7
分機17995  康達管B3 無線網路不通,網管,7
"ext, 15987; S. building 5F;",網管,7
PB24C024網路孔不通，請聯絡15987,網管,7
"有線無線網路接無法通,請協助",網管,7
S510會議室裡的C019跟C020的port不通，請幫忙處理，謝謝！分機#15987,網管,7
"C020網路孔不通,但昨日以前是通的,謝協助處理!",網管,7
網路不通,網管,7
User反應S510會議室網路孔很不穩，請盡快幫忙處理，謝謝！分機#15987,網管,7
軟體安裝問題詢問,網管,7
PDF安裝問題詢問,網管,7
離職人員96090301有申請 adobe writer軟體，怎麼移轉給96032605？18056,網管,7
"請問昨天有新聞報導""資料壓縮軟體7-Zip 發現安全漏洞，儘速升級最新版本""，是否公司使用壓縮軟體7-zip需要全面更換成新版本。",網管,7
user excel 2010無法打開部分檔案.,網管,7
有關非法軟體事項想要詢問  分機:15116,網管,7
"user outlook 變成ie 圖案無法開啟 , ie 也無法開啟",網管,7
word excel outlook powerpoint 使用貼上附件時出現錯誤無法使用。  分機：15099,網管,7
QITS Analysis 期待新增一個圖表: Opened / Cloased Trend  X-Axis: Time (Day / Weekly / Month)  Y-Axis: Opened / Closed 數量,R&D資訊系統,3
"LCBU - QITS 的 ticket 有一個 button 叫做 ""Add Status""。請問是否等同 Add Comment 功能?  另外可否 Add Status 之後，讓系統自動發通知信? 謝謝",R&D資訊系統,3
"以目前設計FOR SIT1 QITS的設計而言，""Platform found'' 欄位，在create new issue 時，一但按下了""save""之後，此欄位即成為不可變更內容的欄位  但內部memeber有遇到過不小心誤按了，save之後，發現這個欄位還有需要修正時  只能把issue disable掉重發一個新的issue    但這個欄位對我們issue的分類而言，可以幫助我們確認是哪個案子的issue  所以想要確認是否有機會把這個platform found 改為可重新modify的欄位",R&D資訊系統,3
"QITS 系統進入後，一點選""home"" 或是其它任何的功能鍵，皆會出現 ""''/CORE_QITS'' 應用程式中發生伺服器錯誤。"" 等錯誤訊息  無法使用",R&D資訊系統,3
QITS無法登入!!  都會直接顯示找不到此工號,R&D資訊系統,3
"有位使用者edison Tseng(曾駿富) 工號: 96030506 , 目前常駐於QSMC .  我在QITS上幫他建了帳號，Create a project LI5 ,設定為在NB2RD1 的案子，並 將他掛為Project leder.  但他反應從Home -> create issue  - > 就直接跳到NB2RD2的 issue platform.   用我的帳號來做，Home -> create issue -> 會先跳到一個頁面讓我選擇NB2RD1  or NB2RD2  但他的帳號並不會跳到此頁面，請幫忙Check 為什麼他的帳號會直接跳到NB2RD2 的issue platfom, thank you.",R&D資訊系統,3
Pls help crate in QITS sys in “ platfrom-chipset “ side : Rockchip RK3288,R&D資訊系統,3
ZQ0/ZQ0B_BDW 專案無法啟用,R&D資訊系統,3
crate ZAT&ZAY project name 點選Start出現錯誤,R&D資訊系統,3
"NB4 & NB7 一起合作NB4 Z8A 這個案子, 請幫忙讓nb7 RD 從QITS系統上看到issue, 謝謝  NB7 RD Eric Lai (賴博文) / Joe Chen (陳昱宏)/ Andy Wang (王信智)",R&D資訊系統,3
"請幫忙評估是否可以在 Assign verify 的人員選單那邊, 新增QCMC人員 英文名字搜尋",R&D資訊系統,3
Assign Owner頁面新增QCMC Mail cc選項,R&D資訊系統,3
"沒辦法看到一開始發issue 的人是誰, 需要等到退issue的時候, 才能知道  名字顯示都是""Tester""  造成issue Tracking 時的困擾, 沒辦法知道開bug的人是誰,  (QCMC 那邊開的issue)    例如:  http://citrixgw/CORE_QITS/PROGRAM/ITS_Issue_Form.aspx?APPLID=BLY-0118",R&D資訊系統,3
新增2015年AMD 平台入QITS,R&D資訊系統,3
增加 Intel Braswell  平台在QITS選項,R&D資訊系統,3
Can''t display MS8 Issue on Home Page.   初步懷疑是MS8在Nb3rd1 and Nb3rd2都有所導致 是否能將Nb3rd2的MS8刪除  謝謝,R&D資訊系統,3
NB3RD1整個department不見 由於案子正在run 請麻煩幫忙盡快處理 感謝,R&D資訊系統,3
Nb3rd1 Project can''t be closed. Please help to confirm it. TKS,R&D資訊系統,3
"在送出表單時, 瀏覽器出現  有潛在風險, 且一直無法送出表單. 請幫忙處理, 謝謝",BPM平台系統,0
#16678  BPM 資訊需求申請單 單號1700008807 被業務要求串簽兩位主管   10009065 Alan Chang (張耀文)  10202016 Richard Liu (劉玉成)  請協助設定,BPM平台系統,0
[不知道應該選哪個類別]  問題:廣達菁英學校的課程影片無法正常撥放  PS 待確認處理者後 會把相關圖片發給處理者幫忙確認,BPM平台系統,0
"Hi, 我是MIS的PETER，我有一張資訊需求申請單，A1101633，好像卡住了，無法送出或更新，請幫忙看一下，謝謝!",BPM平台系統,0
"要申請SAP帳號 ,  資訊需求申請單不知選擇哪個項目",BPM平台系統,0
"15436 , 在申請資訊需求申請單時 , 無法送出 , 伺服器沒有回應 , 有嘗試關整個瀏覽器和重新開機",BPM平台系統,0
BPM介面變英文、是否有選項改回中文？謝謝,BPM平台系統,0
"1800010840 該單號流程到user處 , 但user看不到這張單 , 無法簽核",BPM平台系統,0
"單號:APP0117021, User 申請一次,但我收到需要簽核三次",BPM平台系統,0
資訊需求申請單無法點開,BPM平台系統,0
qci -> sap -> change group id -> 新增 然後就掛掉了......exception,BPM平台系統,0
無法登入BPM,BPM平台系統,0
筆電MIC無法使用，出差無法Concall,BPM平台系統,0
#12062  未設定過，但整個BPM系統自動轉換為英文語系，請問如何切換回中文語系。,BPM平台系統,0
信件寄出去沒有到寄件匣，請幫忙查看問題 #15645,網管,7
"無法打開mail , 連線到伺服器時發生error",網管,7
15318，享用新版的OUTLOOK,網管,7
outlook的信寄不出去，然後一直出現嘗試連線中,網管,7
分機18056  寄件備份遺失,網管,7
想要詢問ORCAD的報價,R&D資訊系統,3
"開啟ORCAD後, 會當住, 無反應, 無法使用",R&D資訊系統,3
no citrix account,SAP-168(QCI),4
廣達首頁無法登入SAP,SAP-168(QCI),4
User has questions about new account application,SAP-168(QCI),4
#16493 新進同仁要新增帳號,SAP-168(QCI),4
user 無法登入 sap168  #11409,SAP-168(QCI),4
會計科目157814 user稍早之前登入正常 線在要再登入顯示被自己lock住了 請協助處理,SAP-168(QCI),4
user的帳號是95032018，他昨天可以登入，今天不行登入。  我有去看他是不是密碼記錯了，想幫他改密碼，  但是進去218發現，他的帳號根本不存在，可是他說他昨天有登入  EXT:12318,SAP-168(QCI),4
passwod超過8碼無法輸入,SAP-168(QCI),4
SAP 第二層無法LOGON 分機7578,SAP-168(QCI),4
SAP password 無法登入,SAP-168(QCI),4
無法登錄!#18231,SAP-168(QCI),4
