,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
22644,"電腦,帳戶,移除,AP990111893",0,0,3,"[0.2650758  0.142452   0.02465769 0.18382286 0.0500956  0.01589286
 0.03560159 0.02622659 0.20166937 0.00537293 0.03526024 0.0138725 ]"
27259,"分機,17059",3,3,0,"[0.14746463 0.12337743 0.02884633 0.27413452 0.06587579 0.01303509
 0.03873824 0.02741416 0.22135976 0.00533912 0.03770789 0.01670713]"
28483,"user,灌,media,player,11,後,導致,無法,收聽,廣達,學院,課程,,,欲,移除,MP11,無法,移除,,,分機,18716",8,8,3,"[5.3425543e-03 1.4466901e-03 2.3481574e-02 4.3216374e-02 1.6427068e-02
 1.1552073e-03 1.2440251e-03 1.3407772e-02 8.6906981e-01 1.3231356e-03
 2.3077710e-02 8.0810947e-04]"
13462,"無法,登入,XP,系統",1,1,3,"[0.10553941 0.68049574 0.0025074  0.06573033 0.01844108 0.01049934
 0.07017536 0.00387068 0.0073414  0.00171867 0.00418272 0.0294978 ]"
29122,"TEL,17377,網孔,斷斷續續,孔號,D225,南棟,4F",0,0,8,"[0.5414833  0.1346553  0.01629194 0.06125878 0.02515412 0.02019488
 0.02521733 0.01942674 0.11631501 0.0054804  0.02554509 0.00897714]"
25555,"BU12,SI,P3015,N4A,印表機,顯示,離線,,,無法,列印",0,0,3,"[8.4648681e-01 1.0810606e-01 1.5805806e-03 4.3843342e-03 2.7051314e-03
 8.4820157e-03 5.8537512e-03 2.3416190e-03 1.4496410e-02 8.4140530e-04
 3.1482652e-03 1.5736447e-03]"
22777,12969,0,0,3,"[0.22812848 0.17245969 0.02361148 0.21763377 0.05529808 0.01599189
 0.04409786 0.02523822 0.16146271 0.00542636 0.0331245  0.01752695]"
15243,"使用,重灌,電腦,需要,增加,網域,設定,請,協助,處理",0,0,4,"[0.5256874  0.2968482  0.00641397 0.03812772 0.01610572 0.01879885
 0.03195391 0.00850801 0.03274413 0.00308135 0.01067832 0.01105239]"
3263,"電腦,運作,緩慢",8,8,4,"[0.01017653 0.00613696 0.02263539 0.17468256 0.03510874 0.00149142
 0.0038607  0.01374749 0.7041767  0.00123154 0.02453111 0.00222084]"
20885,"15509,506,會議室,網路,孔有,問題,Concall,斷",0,0,8,"[0.47830594 0.10222344 0.01815702 0.07372737 0.02581237 0.01557357
 0.01937117 0.0214663  0.20530722 0.00436484 0.02914611 0.0065447 ]"
21416,"17549,,,防毒,軟體,定期,掃描,,,是否,強制,中斷,,,掃描,占滿,cpu,,,電腦,無法,操作,,,嘗試,中斷,過不,成功",3,3,11,"[0.01480144 0.01991764 0.04023334 0.4296092  0.09705581 0.00455887
 0.01807538 0.02451092 0.29365432 0.00472092 0.03924955 0.01361264]"
4405,"列印,不良品,退印,單時,表單,無法,完整,列印,部分,資訊,超出,範圍,印不,連絡,分機,11657",0,0,3,"[0.7834585  0.16234066 0.00182353 0.0060909  0.00369032 0.01069557
 0.00926871 0.00269673 0.01271397 0.00108283 0.00350597 0.00263235]"
30394,"台北,財務,表示,台北,富邦,銀行,網頁,無法,開啟,星期,OK,,,煩請,協助,處理",3,3,8,"[0.11557489 0.08578215 0.05011284 0.24424812 0.08685734 0.01925552
 0.04371683 0.04131732 0.22120795 0.01201133 0.05629417 0.02362159]"
6341,"出差,需求",3,3,1,"[0.00735633 0.13347347 0.00627898 0.5527245  0.07999162 0.00459754
 0.10308585 0.00525742 0.00807312 0.00302037 0.00728124 0.08885954]"
2867,"目前,工作,環境,使用,QCO,outlook,造成,電腦,時常,當機,希望,使用,本機,outlook",3,3,1,"[0.0018139  0.0071812  0.01252287 0.71613824 0.07621437 0.00079249
 0.00807539 0.00682467 0.14862338 0.00090765 0.01248109 0.00842472]"
24741,"user,反應,printer,無法,列印,名稱,et,printer03",0,0,3,"[0.47230482 0.22492233 0.01395523 0.07315134 0.02936551 0.02329017
 0.04041732 0.01647799 0.06388967 0.0058226  0.02107101 0.015332  ]"
16215,"outlook,無法,打開,收信",3,3,0,"[0.03929501 0.04963    0.03943453 0.40305257 0.09328341 0.00778999
 0.03040246 0.02739614 0.24495532 0.00567761 0.04138034 0.01770259]"
6836,"郵件,建立,會議,裡找,不到,線上,會議,指令",8,8,0,"[2.60649296e-03 5.54641942e-04 1.11712525e-02 2.48322990e-02
 7.51526048e-03 3.66780587e-04 4.01223631e-04 5.99088753e-03
 9.34600949e-01 3.78253171e-04 1.13513088e-02 2.30660560e-04]"
11793,"詢問,借用,視訊,設備,,,使用,方式",1,1,9,"[0.14130466 0.6402514  0.0032495  0.07338075 0.019696   0.01140754
 0.06181569 0.00499398 0.01226571 0.00179108 0.00542032 0.02442334]"
10305,"Outlook,使用,,,欲,登出,QCO,重新,再,登入,卻,發現,無法,登出,QCO,17780",3,3,1,"[0.00205643 0.01571163 0.00820984 0.80438757 0.07770796 0.00099718
 0.01619653 0.00485834 0.04369418 0.00098892 0.00845482 0.01673662]"
27485,"user,反應,QCI,AD,帳號,,,今天,做,密碼,修改,時,,,key,入舊,密碼,不行,382,25585",0,0,3,"[0.7210319  0.17298424 0.00452483 0.01347911 0.0083364  0.01803781
 0.01702973 0.00607544 0.02210953 0.00281459 0.00784842 0.00572797]"
18209,"在內,網中,,,outlook,無法,連上,mail,server,,,一個,小,視窗,持續,跳出,要求,輸入,密碼,,,電腦,開機,密碼,接受,外網,家,裏,,,outlook,卻,連上,mail,server",3,3,0,"[8.5771235e-04 3.2044579e-03 1.2404807e-02 6.6124231e-01 6.7642301e-02
 4.8884912e-04 4.4262484e-03 6.2547601e-03 2.2594787e-01 6.4222293e-04
 1.1520953e-02 5.3674602e-03]"
31096,"pdf,檔,無法,正常,開啟",8,8,3,"[0.05155217 0.02306286 0.03883066 0.16999541 0.05041815 0.00623635
 0.01148251 0.02833829 0.5660671  0.00416986 0.04400665 0.00583991]"
12252,"開啟,agile,時,,,程式,發生,閃退",3,3,4,"[0.00139147 0.02856985 0.00397431 0.81437045 0.06921773 0.00098767
 0.03054318 0.00263447 0.0091614  0.00090663 0.0042947  0.03394812]"
23632,"無法,登出",3,3,1,"[0.01763088 0.15398936 0.01093882 0.52830154 0.08388827 0.00661243
 0.08953714 0.00942854 0.02091678 0.00378752 0.01270104 0.06226764]"
6902,16857,0,0,8,"[0.22812848 0.17245969 0.02361148 0.21763377 0.05529808 0.01599189
 0.04409786 0.02523822 0.16146271 0.00542636 0.0331245  0.01752695]"
24158,"部分,軟體,無法,使用,,,謝謝",0,0,3,"[0.53857106 0.28010258 0.0068264  0.0391462  0.01662493 0.01883149
 0.03171289 0.00876698 0.03414692 0.00321491 0.01114803 0.01090764]"
13517,"使用,i,phone,無法,登入,公司,網站,11888",8,8,3,"[0.15936276 0.08558783 0.04099418 0.20537747 0.06669559 0.01634867
 0.03284838 0.03593527 0.2834818  0.0081732  0.04991207 0.01528273]"
21160,"000990111751,0000,1.000,電腦,主機,AIO,LCDPC,1DY1BBZ0ST1,20140129,0.00,移除,作業,系統",8,8,3,"[0.00407436 0.00295127 0.02055139 0.18497838 0.03518418 0.0008751
 0.00254543 0.01092531 0.71456194 0.00094158 0.02059147 0.00181949]"
12804,"密碼,錯誤,電腦,無法,登入,分機,13636",8,8,3,"[1.2200199e-03 3.7206803e-04 8.4454454e-03 3.2848544e-02 7.6795630e-03
 1.9945778e-04 3.0269145e-04 4.1895737e-03 9.3580860e-01 2.2224888e-04
 8.5158488e-03 1.9598812e-04]"
6253,"信件,收不到,16147",8,8,0,"[0.01562254 0.00757401 0.02588656 0.14564532 0.03408316 0.00204997
 0.00437176 0.01632128 0.71644235 0.00160128 0.02804372 0.00235801]"
1616,"Outlook,跳出,錯誤,訊息,無法,啟動,Microsoft,無法,開啟,Outlook,視窗,無法,開啟,資料夾,檔案,quanta,corp,thinclient,QCO06Files,99072646,Documents,20121002,pst,中,找到,錯誤",8,8,1,"[0.01392221 0.00411626 0.04463845 0.06326431 0.03047721 0.00378027
 0.0037451  0.0284398  0.7562907  0.00445506 0.04435594 0.0025146 ]"
11788,"Lync,搜尋,bar,出現,QQQ,但並,keyin,文字",8,8,6,"[0.09320872 0.06458531 0.03749204 0.26396796 0.06926004 0.01043556
 0.02676827 0.03076002 0.34034446 0.00560397 0.04481144 0.01276225]"
6481,"不可以,寄信,收信",8,8,0,"[0.01935321 0.00931991 0.02900803 0.15326722 0.03791251 0.00258544
 0.00537892 0.01859923 0.68828666 0.00200776 0.03138036 0.00290072]"
22158,"點開,OUTLOOK,跳出,帳號,密碼,提示,,,輸入,後,反應",1,1,0,"[0.09831952 0.6223662  0.00381252 0.08238704 0.02546508 0.01354832
 0.09030502 0.00528608 0.00801236 0.00281352 0.00582833 0.04185605]"
17556,"分機,66666,問題,EXCEL,附件,有時,無法,開啟,問題",3,3,0,"[1.4242872e-03 2.1866359e-02 4.4105025e-03 8.3501989e-01 6.7446142e-02
 8.2535093e-04 2.2124799e-02 2.7928571e-03 1.4811670e-02 7.4965809e-04
 4.7804839e-03 2.3747958e-02]"
31068,"無法,登入,網域",0,0,8,"[0.2785113  0.17589724 0.02515788 0.17654434 0.05320368 0.01991366
 0.04669141 0.0267416  0.13679641 0.00695909 0.03468015 0.01890324]"
17405,"客人,寄來,PDF,檔,,,裏頭,日文,無法,顯示,,,Adobe,Reader,開啟,檔案,出現,亂碼,15604",0,0,3,"[0.7711532  0.11660395 0.00530357 0.01209651 0.00751465 0.01632182
 0.0120954  0.00725273 0.0355566  0.00277748 0.00942206 0.00390205]"
9841,"無法,正常,登入,公司,網域,謝謝",3,3,8,"[0.03914605 0.04961672 0.03967063 0.39994127 0.09329181 0.00791484
 0.03048445 0.02794288 0.2464071  0.00578914 0.04188949 0.01790562]"
6216,"ext,17017,申請,VPN,profile",3,3,2,"[0.00455805 0.02164549 0.01110657 0.74592656 0.07556468 0.00134892
 0.01677394 0.0069218  0.08975219 0.00110082 0.01198759 0.01331345]"
28065,"達豐,一個,user,工號,93092006,離職,,,打電話,user,登入,電腦,,,無法,登入,請,找,當地,mis,,,user,說,找過,,,回答,請,找,mis",0,0,3,"[0.4828041  0.32052505 0.00759119 0.03674251 0.01840623 0.02505365
 0.04093862 0.00992216 0.02570545 0.00466731 0.01195399 0.01568974]"
2129,"web,mail,本機,outlook,信件,重複,mail,無法,收到,機上",3,3,0,"[8.1193569e-04 1.1007076e-02 4.2190994e-03 8.6508000e-01 6.3129313e-02
 4.9367960e-04 1.2465297e-02 2.4469479e-03 2.0598765e-02 5.1065790e-04
 4.3906914e-03 1.4846529e-02]"
14702,"問題,Juniper,Network,Connector,無法,啟動,OS,Win7,x64,JAVA,Version,Update,51,x86,x64,試過,以下,錯誤,訊息,繼續,作業,,,安裝,啟用,Java,www,java,com,下載,最,新,版本,Java,安裝,啟用,Java,後,,,請,一下,此處,繼續,請案,一下,此處,I18N,JUNIPER,SETUP,CHECK,NONHC,REALMS,繼續,進行,,,請,一下,此處,返回",0,0,2,"[0.7958549  0.11937742 0.00397308 0.00539786 0.0050435  0.02112434
 0.01132998 0.0058546  0.01752767 0.00338188 0.0071506  0.0039842 ]"
4762,"outlook,寄件,備份,查詢,無法,查詢,關鍵字,分機,16428",3,3,0,"[0.08784253 0.14209785 0.0338956  0.34786674 0.09426481 0.01674603
 0.06943043 0.02827146 0.09537063 0.00936559 0.0376822  0.03716617]"
1406,"10609033,MacBook,bootcamp,Win10,出現,無法,載入,作業,系統,windows,system32,config,system,錯誤碼,0xc0000017,,,需要,復原",3,3,4,"[0.06824857 0.2098998  0.02577779 0.30598137 0.09197394 0.02080671
 0.11686701 0.02213829 0.03018689 0.01207068 0.02709584 0.06895309]"
4034,"雲端,無法,登入",3,3,1,"[0.145269   0.1949613  0.02585809 0.28415382 0.07228833 0.01731735
 0.06499777 0.02550306 0.1002784  0.00710667 0.03267486 0.02959135]"
25869,"18296,部門,需求,建立,mail,group",3,3,0,"[0.00305097 0.08521166 0.00406447 0.64273787 0.07721549 0.00266005
 0.08278295 0.00326102 0.00474091 0.00203414 0.00467158 0.08756884]"
18568,"Quantainternet,with,proxy,can,not,access,below,link,but,direct,Internet,access,is,no,problem,http,social,microsoft,com,profile,u,edit,referrer,https%,3a%,2f%,2fprofile,microsoft,com%,2fRegSysProfileCenter%,2fwizard,aspx%,3fwizid%,3d1f01a42d,e726,4360,927f,611bbcfdb2ff%,26lcid%,3d1033%,26fu%,3d%,25252fregistration%,25252fconfirmation%,25253fcru%,25253d%,2525252fdashboard%,2525252f%,26cu%,3d%,25252fdashboard%,25252f,cancelUrl,https%,3a%,2f%,2fprofile,microsoft,com%,2fRegSysProfileCenter%,2fwizard,aspx%,3fwizid%,3d1f01a42d,e726,4360,927f,611bbcfdb2ff%,26lcid%,3d1033%,26fu%,3d%,25252fregistration%,25252fconfirmation%,25253fcru%,25253d%,2525252fdashboard%,2525252f%,26cu%,3d%,25252fdashboard%,25252f",3,3,8,"[0.02721071 0.04425758 0.04799628 0.42814866 0.1206427  0.01002357
 0.03948057 0.0326763  0.16314016 0.00991009 0.04667325 0.02984015]"
3115,"無法,廣達,大陸,人員,客人,使用,OCS,聯絡,顯示,目前,狀態,未知",8,8,6,"[0.02987949 0.01066066 0.04673066 0.10410903 0.04219854 0.00557732
 0.00713836 0.03118931 0.6654315  0.00500013 0.04786474 0.00422025]"
17852,"申請,軟體,安裝,0928093960",1,1,3,"[3.2646421e-01 6.2453270e-01 7.1977213e-04 8.8686906e-03 3.3943905e-03
 6.9678370e-03 1.6480012e-02 1.4352552e-03 4.8607676e-03 4.3247305e-04
 1.4139168e-03 4.4300086e-03]"
10454,"近日,客戶,寄送,MAIL,無法,收到,分機,17766",3,3,0,"[0.0034072  0.04107084 0.00711886 0.7614532  0.08051191 0.00179809
 0.03741973 0.00476065 0.01820719 0.00150559 0.00757095 0.03517577]"
31525,"開啟,PowerPoint,application,出現,錯誤,訊息,,,無法,使用,power,point,,,申請,同事,打來,反應,,,無,詳細,描述",8,8,3,"[0.02233046 0.02378423 0.04824245 0.3395744  0.0923428  0.006373
 0.01964514 0.03087039 0.34954083 0.00619748 0.04742675 0.01367213]"
21309,"使用,IE,瀏覽,網頁,出現,程式碼,錯誤,訊息,使用,Chrome,錯誤,訊息,EXT,13079",8,8,10,"[6.6638354e-04 1.0156325e-04 5.8677080e-03 7.7371323e-03 2.8305624e-03
 1.1789118e-04 9.0164991e-05 2.9298738e-03 9.7366649e-01 1.4763983e-04
 5.7873917e-03 5.7255489e-05]"
14982,"officescan,錯誤",8,8,3,"[0.17059691 0.061172   0.0297099  0.15905686 0.04449789 0.01027717
 0.01798367 0.02741189 0.42758194 0.00422671 0.04023922 0.00724578]"
31602,"出現,信箱,已滿,信息",8,8,0,"[0.02611795 0.00891005 0.02564868 0.10668632 0.02877851 0.00267096
 0.00436184 0.01786769 0.74520266 0.00183472 0.02977609 0.00214452]"
1427,"兩個,問題,需要,詢問,每次,登入,以後,進入,myquanta,裡頭,網頁,時,出現,下列,文字,請問,這要,解決,錯誤碼,11001,找不到,主機,背景,錯誤,表示,閘道,找,到,試圖,存取,網站,IP,位址,通常,DNS,相關,錯誤,所致,日期,2016,18,上午,03,37,11,[,GMT,],伺服器,QRDCTMG01,quanta,corp,來源,DNS,錯誤,第二個,問題,申請,重新,補發,帳號,Ｑ,Ｃ,Ｏ,設定,信",8,8,1,"[0.00671495 0.00156121 0.02571736 0.03017301 0.01475016 0.00170299
 0.00135036 0.01645595 0.8719566  0.00191877 0.02677189 0.00092681]"
17613,"18471,網域,無法,登入",0,0,8,"[0.2986352  0.1854665  0.02378101 0.16398081 0.05058568 0.0206019
 0.0473948  0.02573212 0.12472674 0.00694886 0.03315351 0.01899279]"
10099,"outlook,當掉,無法,使用,煩請,處理,12042",0,0,1,"[0.3326392  0.32957098 0.01279238 0.09933469 0.03547589 0.02324039
 0.05987011 0.01490544 0.0440148  0.00568343 0.01845745 0.02401522]"
14315,"上海,同仁,已經,新增,使用,NB2,server,,,無法,登入,,,請,幫忙,處理,,,謝謝",1,1,8,"[0.0594799  0.42765114 0.00923927 0.16006498 0.05341339 0.018726
 0.146193   0.00971043 0.00952877 0.00716492 0.01121807 0.08761007]"
24841,"週五,至今,皆,無法,連線至,外部,網站,分機,13665",3,3,8,"[0.04234565 0.05248119 0.03842077 0.39588577 0.09129662 0.00802421
 0.03071834 0.02763561 0.24848042 0.005623   0.04153352 0.01755486]"
2001,"使用,反應,無法,登入,請,協助,處理",0,0,6,"[0.81279474 0.13671513 0.00170744 0.00549205 0.00324055 0.00936788
 0.00747435 0.00254    0.01432857 0.00092715 0.00335847 0.00205372]"
6362,"重複,出現,Microsoft,outlook,結束,正常,關閉,outlook,資料檔,....,開啟,寄件,備份,outlook,自動,關閉",1,1,0,"[0.0822897  0.44164282 0.01030363 0.14046586 0.05051677 0.02178449
 0.13433404 0.01109705 0.0116261  0.00771138 0.01264448 0.07558365]"
18417,"密碼,登入,問題",3,3,8,"[1.3906250e-03 5.0191456e-03 8.2235280e-03 7.0075065e-01 5.3938799e-02
 3.8919118e-04 4.5374571e-03 4.3896642e-03 2.0805345e-01 3.7411143e-04
 8.8633196e-03 4.0700198e-03]"
3698,"需,安裝,IE,7.0",0,0,3,"[7.7923608e-01 1.8721299e-01 8.6765358e-04 3.6014316e-03 2.0576343e-03
 7.2915535e-03 6.5209828e-03 1.4398919e-03 7.8203408e-03 5.0644012e-04
 1.8139676e-03 1.6310490e-03]"
24514,"開通,vdtsgw,asus,com,權限,以利,下載,線路,圖給,工廠",8,8,4,"[0.02951322 0.01368766 0.03639947 0.16112754 0.0458538  0.00418521
 0.00795839 0.02446987 0.62986845 0.00323257 0.03937581 0.00432813]"
23222,"新人,無,MVPN,請,聯絡,16831",1,1,8,"[0.17947052 0.724197   0.00118116 0.02296241 0.00745395 0.00834988
 0.034469   0.00217473 0.00527464 0.00079452 0.00218495 0.01148728]"
29143,"舊,PST,檔,無法,開啟",1,1,0,"[0.29159996 0.3007505  0.01614941 0.13060734 0.04398984 0.02363143
 0.06544976 0.01809512 0.05341075 0.00668823 0.02245208 0.02717554]"
1090,"16817,點了,薪資單,後,QCO,QCO04,卡住",8,8,1,"[0.02096333 0.00960887 0.0301268  0.14689212 0.0381403  0.00281705
 0.00552231 0.01959005 0.68845147 0.00217999 0.03272083 0.00298696]"
15263,"Hello,請,移除,筆電,帳戶,AN990112001,謝謝",0,0,3,"[7.8350550e-01 1.8295993e-01 8.7935763e-04 3.5622718e-03 2.0444752e-03
 7.2982423e-03 6.4129448e-03 1.4555296e-03 7.9381084e-03 5.0935725e-04
 1.8308755e-03 1.6034326e-03]"
21444,"密碼,過期,IE,要求,更改,密碼,分機,11700",3,3,8,"[7.2332571e-04 9.5716491e-03 3.9185118e-03 8.7332410e-01 5.9202082e-02
 4.0817636e-04 1.0572790e-02 2.2477766e-03 2.3109632e-02 4.1828741e-04
 4.1177436e-03 1.2385920e-02]"
1255,"打開,雲端,連線,電腦,當機",8,8,1,"[7.66477489e-04 1.50290347e-04 5.96469222e-03 1.31492000e-02
 3.76427593e-03 1.17776064e-04 1.22650890e-04 2.87599722e-03
 9.66979384e-01 1.36010058e-04 5.89706190e-03 7.60999101e-05]"
26812,"新,申請,電腦,網頁,無法,開啟,,,右下,工作,列,連線,圖示,顯示,無,網際,網路,存取",8,8,10,"[0.01246982 0.0028048  0.02626665 0.04371196 0.01769944 0.002002
 0.00190394 0.01697568 0.8450318  0.00187574 0.02817568 0.00108244]"
24773,"28,家,無法,連回,公司,網路,12066",3,3,8,"[0.06661648 0.09120724 0.03501575 0.38654643 0.09111635 0.01127096
 0.04488245 0.02805717 0.17508325 0.00658798 0.03970557 0.02391034]"
19400,"外部,wireless,SSLVPN,斷線",3,3,8,"[0.0468479  0.05814309 0.03541505 0.39332914 0.08635331 0.00789439
 0.03079826 0.02655923 0.25311357 0.00508779 0.03965795 0.01680031]"
18728,"電腦,名稱,AN990100243",8,8,3,"[5.8841007e-03 2.0574455e-03 1.5342899e-02 6.9401823e-02 1.6136788e-02
 7.3588936e-04 1.2657584e-03 8.9451028e-03 8.6233431e-01 6.3042896e-04
 1.6571118e-02 6.9426198e-04]"
14517,"桌上型,PC,接上,網路線,無法,上網,請,協助,處理",0,0,8,"[0.7698661  0.17764392 0.00167665 0.00602569 0.00356656 0.01044831
 0.00946271 0.0025255  0.01187717 0.00100053 0.00324803 0.00265882]"
8285,"VNC,無法",3,3,8,"[0.10323601 0.15413833 0.02756865 0.34712365 0.07992911 0.0137743
 0.05763607 0.02542819 0.12357345 0.00630195 0.03379202 0.0274983 ]"
1109,"申請,開放,acesss,Dropbox,權限,BU1,目前,正在,客戶,Facebook,合作,一個,專案,中,,,客戶,均將,專案,資料,產品,規格,,,ME,CAD,file,,,EE,schematics,放,Dropbox,公司,專案,成員,下載,,,要求,公司,成員,資料,上傳,Dropbox,,,希望,MIS,同意,協助,開放,專案,成員,網路,,,使用,公司,內部,網路,時能,acess,Dropbox,註,專案,成員,計劃,同意,申請,後,,,email,提供給,MIS,負責,邐,申請,人員",3,3,4,"[0.1597612  0.1462057  0.04931855 0.16309288 0.08738118 0.0446574
 0.08468725 0.04757564 0.07871725 0.02854879 0.05605303 0.05400123]"
27396,"Mail,收不到,明明,mail,loop,中,到,下午,收不到,相關,信件,已,確認,Web,mail,下午,還可以,收到,寄,信件,麻煩,協助,處理,感謝",8,8,0,"[0.01359123 0.00547031 0.04738772 0.09525492 0.04084015 0.00403764
 0.00502755 0.02871632 0.7058444  0.00470439 0.04549104 0.0036344 ]"
15617,"網路,孔,A151,不通,聯絡,分機,11001",3,3,8,"[8.9391397e-04 4.8347488e-03 6.3276016e-03 7.9354364e-01 5.4921754e-02
 3.1833080e-04 4.8245420e-03 3.3121991e-03 1.1910572e-01 3.2367668e-04
 6.6719656e-03 4.9218652e-03]"
24057,"電腦,接上,網路,IP,phone,關機",8,8,3,"[1.0821512e-04 1.0095038e-05 1.5758839e-03 1.4951519e-03 5.7229423e-04
 1.6220731e-05 9.0539761e-06 7.1137870e-04 9.9392468e-01 2.1756056e-05
 1.5494685e-03 5.7337306e-06]"
26823,"客人,AMA,使用,amazon,chime,我司,進行,語音,會議,,,公司,防火牆,似乎,擋住,,,每次,連線,時,系統,要求,輸入,proxy,,,需要,請教,連線",8,8,4,"[2.3503809e-03 4.5770517e-04 1.4662923e-02 1.7744618e-02 7.6165991e-03
 5.2743650e-04 4.1616461e-04 8.0164606e-03 9.3299347e-01 6.5358152e-04
 1.4284694e-02 2.7593083e-04]"
369,"BPM,problem",3,3,8,"[0.00387418 0.0584369  0.00602397 0.7326895  0.07676129 0.00210858
 0.04923049 0.00448954 0.01337285 0.00159797 0.00680568 0.04460916]"
8779,"對外,網路,無法,使用,請,幫忙,處理,謝謝",1,1,8,"[0.14440191 0.74368066 0.00122466 0.02642468 0.008639   0.00862096
 0.04202263 0.00221771 0.00450741 0.00092719 0.00223487 0.0150984 ]"
25757,"B338,212314",0,0,8,"[0.22812848 0.17245969 0.02361148 0.21763377 0.05529808 0.01599189
 0.04409786 0.02523822 0.16146271 0.00542636 0.0331245  0.01752695]"
10231,"電腦桌面,右下,角會,出現,測試,模式,win7,圖示,昨天,晚上,出現,一個,月,前,重灌,電腦,ext,12544",8,8,3,"[0.01232493 0.00508951 0.03554747 0.10723357 0.03538514 0.00271712
 0.00412341 0.02224824 0.73342913 0.00279019 0.03647381 0.00263743]"
32024,"分機,11847,開機,出現,Windows,正版,警告",8,8,3,"[0.01138013 0.00964341 0.030619   0.2837978  0.05780603 0.0022873
 0.00732394 0.01787766 0.54117316 0.00213561 0.03121086 0.00474508]"
3829,"北棟,樓,連絡,分機,11874,網孔,B269",8,8,3,"[0.04030745 0.02219553 0.03667339 0.20797852 0.05463552 0.00528121
 0.01168472 0.02606583 0.5441104  0.00366659 0.04127618 0.0061247 ]"
32311,"訪客,申請,無線,網路,帳號,密碼,無法,使用",3,3,8,"[0.01671368 0.02825994 0.03129786 0.49756786 0.09265342 0.00414275
 0.02115821 0.0199196  0.2383086  0.00357644 0.03209003 0.01431163]"
19003,"昨天,有請,mis,設定,印表機,今天,印表機,顯示,無法,列印,13568",8,8,3,"[0.04424683 0.01423816 0.03736138 0.10693175 0.03740702 0.00538466
 0.00723776 0.02698977 0.67033243 0.00380272 0.04233337 0.00373412]"
