,1_sentence,2_sentence,3_y_predict,4_y_predict_name,5_answer,6_answer,7_y_predict_probability
4841,"Sir,無法,登錄,客戶,HP,Sudden,Impact,OBS,tracking,website,所有,工廠,出差,人員,全部,無法,登錄,客戶,網站,開啟,下麵,網址,選擇,Partner,BPIA,PRACS,跳出,選擇,登錄,憑證,工廠,選擇,登錄,憑證,直接,顯示,無法,登錄,網站,The,below,is,HP,Sudden,Impact,website",,2,其他,3,網路,[2.8268158e-21 6.0680556e-25 1.0000000e+00 5.1499698e-14 6.6491327e-13]
6001,"office,excel,出現,認證,訊息",,0,Outlook與郵件,2,其他,[0.69259304 0.01017857 0.18208796 0.02225149 0.09288888]
9579,"尋問,合約,申請書,相關,問題",,3,網路,4,資訊系統,[1.7299236e-06 1.0776673e-03 1.9635134e-03 9.9695086e-01 6.1533474e-06]
9578,"廣達,VPN,無法使用,Skype",,1,SAP,2,其他,[1.5996210e-26 1.0000000e+00 1.1209921e-11 2.5392034e-15 3.7990175e-17]
4956,"電腦,密碼過期,當事人,請假,委託,同事",,0,Outlook與郵件,2,其他,[0.4537956  0.00378452 0.12067638 0.41127363 0.0104699 ]
7476,"QRDCFS01,VNC,權限,安裝",,0,Outlook與郵件,2,其他,"[9.32239592e-01 1.12397756e-04 5.06732911e-02 6.03736960e-04
 1.63709670e-02]"
7710,"預約,按摩,網站,故障",,1,SAP,4,資訊系統,[3.9955004e-04 9.2986417e-01 3.9469179e-02 1.3884631e-02 1.6382560e-02]
9684,"網路,孔號,7578,網路不通,無線網路,不通",,2,其他,3,網路,[1.2875414e-16 2.8946844e-18 1.0000000e+00 1.6575778e-12 5.3368674e-11]
3028,"顯示,容量,已滿,mail,收到,本機,電腦",,2,其他,0,Outlook與郵件,[9.9765053e-13 4.9535587e-13 1.0000000e+00 3.3841994e-09 1.6329880e-08]
9213,"同事,寄信,給我,傳送,失敗,查一下,Microsoft,Outlook,動作,Cen,Kuo,Chen,陳建國,2013,11,上午,11,36,傳遞至,下列,收件,群組,失敗,Cen,Kuo,Chen,陳建國,找不到,輸入,電子郵件地址,檢查,收件,電子郵件地址,嘗試,新傳,送郵,問題,持續,發生,支援,人員",,3,網路,0,Outlook與郵件,[5.6310949e-11 2.8256903e-07 3.6486560e-06 9.9999607e-01 9.7523642e-11]
2359,"送單,出現,error",,2,其他,4,資訊系統,[0.05627702 0.05598823 0.7373687  0.07107977 0.07928628]
710,"ubuntu,server,ip,10.241,57.10,git,server,使用,ip,210.61,111.20,客人,使用,code,一陣子,客人,無法連上,遇到,error,訊息,ssh,connect,to,host,210.61,111.20,port,22,Connection,timed,out,fssh,connect,to,host,210.61,111.20,port,22,Connection,timed,out,fatal,Could,not,read,from,remote,repository,資訊需求申請單,想想,應該,1999,改填,1999,內部,測試,10.241,57.10,可否,check",,0,Outlook與郵件,3,網路,[9.9729544e-01 3.7369921e-12 2.7044404e-03 4.9095772e-09 1.1121139e-07]
7708,"表示,填單,最多,只能,20,填去,還會,錯誤訊息",,2,其他,4,資訊系統,[2.3594540e-20 3.6094047e-22 1.0000000e+00 4.3754104e-14 6.4795033e-13]
4595,"出現,信箱,已滿,訊息,相關,備份,操作",,2,其他,0,Outlook與郵件,[0.0466994  0.04747459 0.6610677  0.1368925  0.10786576]
3166,"忘記,登入,廣達,網域,密碼",,0,Outlook與郵件,2,其他,"[9.69821274e-01 3.28255446e-05 1.83442645e-02 1.07271844e-04
 1.16943223e-02]"
6306,"Sony,網頁,對方,port,1494,使用,裡面,應用程式",,0,Outlook與郵件,3,網路,[9.9999940e-01 1.0450437e-16 5.5612600e-07 1.5247450e-14 6.3107863e-10]
3474,"公司,信件,提示,密碼,錯誤",,0,Outlook與郵件,2,其他,[1.0000000e+00 2.8714064e-30 6.1384535e-12 3.3294116e-25 1.5302997e-17]
7353,"訪客,表示,開啟,網路,出現,廣達,訪客,驗證,畫面,會議室,188",,2,其他,3,網路,[0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 5.762342e-35]
9052,"無法,直接,開啟,EXCEL,檔案",,3,網路,2,其他,[2.4164288e-12 9.9591489e-08 5.1998893e-07 9.9999940e-01 4.1554031e-11]
4112,"人員,離職,詢問,轉單",,2,其他,4,資訊系統,[0.36288482 0.03651069 0.4226694  0.10051447 0.07742056]
2854,"Dell,TDS,操作,錯誤訊息",,2,其他,1,SAP,[1.3184590e-13 2.1061750e-14 1.0000000e+00 8.5979701e-10 1.5011136e-09]
7832,"帳號密碼,客人,無法使用,網路",,4,資訊系統,3,網路,[0.00548208 0.00776412 0.37457955 0.02470042 0.58747387]
6888,"Pro,4.0,Creo,2.0,安裝,完成,開啟,軟體,跳出,License,警告,ok,軟體,自動,關掉,嘗試,時段,開啟,出現,相同,錯誤",,2,其他,4,資訊系統,[3.5868950e-08 1.0165069e-10 9.9958116e-01 4.1862953e-04 2.0271361e-07]
9494,"有線,無線網路,不通,早上,變更,密碼,正常,使用,網路,剛剛,辦公室,無法使用",,0,Outlook與郵件,3,網路,[7.2006094e-01 7.0544542e-04 2.6881635e-01 2.5817684e-03 7.8354944e-03]
6250,"網路,連線,跳出,密碼過期,訊息",,4,資訊系統,3,網路,[0.0015884  0.00576358 0.04523886 0.01010138 0.9373077 ]
293,"報修,Office2007,無法使用",,4,資訊系統,2,其他,[1.8003710e-13 2.8110981e-11 3.9083861e-08 3.5447623e-10 1.0000000e+00]
218,"MRO2,2nd,source,掛了,填寫,點選,畫面,錯誤",,0,Outlook與郵件,4,資訊系統,[9.7499532e-01 2.0999298e-05 2.2614947e-02 2.3473542e-04 2.1339145e-03]
3158,"concept,還在,使用,下班,電腦,關機,當機,從開,Concept,移除",,3,網路,2,其他,[2.3897471e-06 1.9902038e-05 1.9703640e-04 9.9978024e-01 4.2583707e-07]
7132,"openvpn,連線,公司,網頁,連不上",,0,Outlook與郵件,3,網路,[9.9956888e-01 1.5028495e-09 4.2569736e-04 1.3055284e-06 4.0004184e-06]
8234,"會議室,無線網路,無法連線,會議室,413,兩位,客人,一個,一個,不行,連上",,0,Outlook與郵件,3,網路,[0.6237429  0.00070507 0.06372309 0.00173344 0.31009555]
8895,"變更,密碼,設定檔,遺失",,1,SAP,2,其他,[2.6770451e-06 9.9132347e-01 7.6710493e-03 8.5197465e-04 1.5078830e-04]
3350,"資料,填錯,單號,APP05,權限,抽單,相關人,抽單",,0,Outlook與郵件,4,資訊系統,[1.0000000e+00 2.2803145e-24 1.5112575e-09 6.1636530e-20 7.5757466e-15]
9617,"列印,清楚,轉成,PDF,檔才,列印,清楚",,0,Outlook與郵件,2,其他,[9.9991703e-01 1.9383143e-11 8.2312283e-05 1.1126419e-09 5.7770001e-07]
6242,"Server,網路不通",,2,其他,3,網路,"[2.68770982e-05 1.12085456e-06 9.99751866e-01 1.11559086e-04
 1.08599685e-04]"
1925,"mail,密碼過期,無法登入,收信",,2,其他,0,Outlook與郵件,[0.01189532 0.01033831 0.8438813  0.09581143 0.03807357]
1525,"notebook,OpenVPN,家裡,斷線,斷斷續續,一下子,幾分鐘,不行",,2,其他,3,網路,[0.27680454 0.00278719 0.6892182  0.01765397 0.01353605]
4483,"客戶,ACER,無法使用,帳號,登入,網路",,2,其他,3,網路,[0.09008197 0.08246963 0.54452586 0.10474475 0.17817773]
5168,"密碼過期,密碼,LOGIN,訊息,提是,新設,密碼,但重,新設,定後不行",,3,網路,2,其他,"[1.79372292e-15 2.98936653e-09 1.86567792e-08 1.00000000e+00
 1.01627975e-13]"
8119,"add,domain,in,personal,computer",,4,資訊系統,2,其他,[1.0347120e-08 8.3783635e-07 3.4990528e-05 1.3526460e-06 9.9996281e-01]
8977,"使用,FTP,連結,廠商,廠商,確認,系統,問題,使用,FTP,出現,ACCT,PROXY,PASSWORD,錯誤訊息",,3,網路,2,其他,[2.3252367e-16 4.1938819e-10 5.5264454e-08 1.0000000e+00 3.3312326e-15]
7082,"電腦,USB,顯示,存取,被拒,同事,電腦,正常",,1,SAP,2,其他,[0.00263836 0.867583   0.10606021 0.01552413 0.00819427]
4235,"出差,QSMC,工作,無法,連接,外網,只能連,公司,內部網路,QSMC,方式",,0,Outlook與郵件,3,網路,[1.0000000e+00 1.3369362e-26 3.4756482e-11 9.1782633e-24 6.2871995e-16]
7112,"工廠,寄來,收到,同事,收到",,2,其他,0,Outlook與郵件,[0.33517224 0.06345084 0.37545735 0.1097675  0.116152  ]
2589,"PK15,A231,網路,燈號,不亮",,4,資訊系統,3,網路,[0.0235498  0.0086618  0.1311849  0.00870228 0.8279012 ]
1012,"MRO2,APP87,產生,PO,單號",,2,其他,4,資訊系統,[4.7587056e-07 2.3895016e-08 9.9996841e-01 1.1320588e-05 1.9731879e-05]
9459,"廣達,菁英,學校,電子報,網址,連結,連線,顯示,存取,被拒,操作,權限,網址,HR,提供,連結,連線,時也,顯示,存取,被拒,操作,權限,網址,為公,連結,資源,連線,拒絕,訪問",,2,其他,3,網路,[2.0538540e-07 1.3175036e-11 9.9999893e-01 7.5617052e-08 7.3024080e-07]
7472,"Ping,10.242,184.38,可通,連不上,share,folder",,2,其他,3,網路,[7.8489660e-17 2.1000986e-17 1.0000000e+00 2.4401639e-11 3.1857739e-11]
5247,"南棟,三樓,ESBU,網孔,不通,C343",,2,其他,3,網路,[2.6433100e-04 9.4304828e-04 9.9482203e-01 1.8285556e-03 2.1420175e-03]
3261,"來賓,開通,上網,權限,目前,QSMC,使用,RJ45,連結,QSMC,出差",,0,Outlook與郵件,3,網路,[9.9866390e-01 8.0722486e-08 1.3102479e-03 4.1432224e-07 2.5360219e-05]
1244,"NB4,搬遷,4F,兩台,server,需要,搬遷,設定,網路",,2,其他,3,網路,[5.1160964e-06 7.0673565e-07 9.9926406e-01 8.8116976e-05 6.4193917e-04]
4291,"網路,上要,下載,檔案,出現,安全性,封鎖,檔案,訊息",,0,Outlook與郵件,2,其他,[9.9999809e-01 1.4055943e-14 1.9510601e-06 5.1750227e-13 3.4872458e-09]
8475,"OCS,無法,QSMC,同仁,OC,上面,狀態,未知,訊息,無法,發送,登入,沒有用",,3,網路,2,其他,[0.31339568 0.11487981 0.1475654  0.38320637 0.04095279]
6759,"詢問,重灌,os,office",,3,網路,2,其他,[1.5228184e-05 6.9276342e-04 2.2690436e-03 9.9700207e-01 2.0881123e-05]
6179,"希望,增加,Project,成員,一個,Group,做為,郵件",,3,網路,0,Outlook與郵件,[0.00679986 0.06570406 0.19739781 0.71982217 0.01027607]
4378,"網路,孔不通,PA10,B010",,1,SAP,3,網路,[8.7780471e-20 1.0000000e+00 7.2430932e-09 1.9655945e-11 8.4843130e-13]
520,"電腦,WIN7,系統,2019,12,31,限制,windos7,使用,雲端,QCO,登入,雲端,電腦桌面,請問,到時,申請,WIN10,系統,電腦,資訊部,安裝,WIN10",,3,網路,2,其他,[1.5167107e-03 3.4423164e-04 3.7354469e-01 6.2370390e-01 8.9046999e-04]
9443,"無法上網,加入,網域",,2,其他,3,網路,[0.05046013 0.01474684 0.7835397  0.0351547  0.11609867]
4199,"wireless,network,keeps,checking,ID,and,always,disconnect,happens,on,the,office,desk,other,people,has,no,problem",,2,其他,3,網路,[1.7546780e-07 1.3590173e-07 7.8990173e-01 4.1197349e-05 2.1005671e-01]
4478,"郵件,title,廣達,電腦,股份有限公司,採購單,時間,2018,03,28,16,37",,2,其他,0,Outlook與郵件,[0.1559314  0.10819253 0.45968264 0.16168141 0.11451196]
6382,"ECN,NO,E0,1851,轉入,218",,4,資訊系統,1,SAP,[1.8742806e-10 1.5298498e-08 4.8028874e-06 8.5996263e-08 9.9999511e-01]
3524,"收到,公司,郵件,退信,訊息,顯示,下列,組織,拒絕,郵件,74.125,204.26",,3,網路,0,Outlook與郵件,[5.1831210e-09 5.0771643e-05 6.0363731e-04 9.9934560e-01 3.9837452e-08]
2041,"sap,QCI,PUR4,部門,帳號,登錄,無法使用,帳號,登錄,使用,QSMC,General,功能",,2,其他,1,SAP,[8.207494e-18 9.374039e-18 1.000000e+00 7.512331e-12 3.752793e-11]
2103,"工作,電腦,時常,hang,找不到,目前,hang,無法,作業,提供,方法,幫助,排除",,3,網路,2,其他,[1.7583150e-11 7.9174652e-07 2.2066459e-05 9.9997711e-01 1.3949808e-10]
2230,"作業系統,安裝,出現,WDS,clients,無法,啟動,訊息",,3,網路,2,其他,[0.04395357 0.11031233 0.37382397 0.404005   0.06790511]
5421,"詢問,BPM,CUSTOM,DATA",,3,網路,4,資訊系統,[7.4666159e-06 1.0567791e-03 4.3414398e-03 9.9457151e-01 2.2843158e-05]
7122,"使用,帳號,登入,SAP,發生,無該,授權,登入問題",,3,網路,1,SAP,[2.4798930e-11 5.3476782e-07 7.6068193e-07 9.9999881e-01 4.9170907e-11]
2118,"NB,無法連到,qrdcprt02,部門,共用,檔案,server,27,換開,密碼,乙太網路,區域網路,相關,訊息,DNS,尾碼,quanta,corp,IPv4,10.241,104.217,網路,遮罩,255.255,252.0,預設,閘道,10.241,104.1",,2,其他,3,網路,[1.6808266e-06 1.0807109e-08 9.9568897e-01 2.8685905e-05 4.2806733e-03]
8042,"薪資單,公告,無法開啟",,2,其他,0,Outlook與郵件,[0.01141411 0.01113321 0.50192255 0.04088239 0.43464777]
9780,"BPM,flow,無法,展開",,3,網路,4,資訊系統,[0.00162608 0.01261213 0.2737676  0.7096036  0.00239056]
6745,"無法收發,信件,無法連結,外部,網站",,0,Outlook與郵件,3,網路,[9.9927670e-01 7.0883637e-09 6.9916638e-04 9.6167547e-08 2.4112738e-05]
4995,"刪除,window,系統",,3,網路,4,資訊系統,[3.7348394e-07 1.4873313e-04 4.0126781e-04 9.9944836e-01 1.3455702e-06]
10089,"電腦中毒,執行,惡意,程式",,3,網路,2,其他,[1.3854846e-22 9.0656371e-14 1.4454645e-12 1.0000000e+00 5.6286002e-20]
506,"sap168,218,無法,列印,設定",,0,Outlook與郵件,1,SAP,[0.45350152 0.0452408  0.27646458 0.10455683 0.12023626]
5033,"客戶,地點,N612",,4,資訊系統,3,網路,[0.04866239 0.0688692  0.28047475 0.19237646 0.40961722]
942,"廠商,將兩筆,spments,合併,立於,一張,invoice,需求,將已,完成,驗收,資料,取消,原分,驗收,合併,張驗,收單,驗收,PO,MRO,APP82,GR",,2,其他,4,資訊系統,[2.6484229e-06 6.8896011e-10 9.9950695e-01 1.4652738e-05 4.7582091e-04]
5321,"168,Creat,單號,使用,ZN93,218,SO,轉換,系統,發生,ERROR,無法,完成,作業",,3,網路,1,SAP,[4.3250877e-02 2.4755640e-04 5.9905317e-02 8.9603186e-01 5.6436670e-04]
3591,"無法登入,168.268,318",,3,網路,1,SAP,[0.00153697 0.01921736 0.2509471  0.7254429  0.00285575]
3480,"有線網路,取不到,憑證,無法登入",,2,其他,3,網路,[0.07937865 0.11416905 0.39060232 0.23304172 0.18280827]
220,"填單,完成,出現,500,error,單號,成立,流程,完成,一半,單號,APP50",,2,其他,4,資訊系統,[2.3125500e-14 5.9609631e-16 1.0000000e+00 2.2080993e-10 7.8986589e-10]
3659,"無法登入,168,顯示,訊息,遠端,電腦,必需,權限,使用",,3,網路,1,SAP,[3.4693550e-11 1.3812468e-07 2.7038314e-07 9.9999964e-01 6.5516356e-11]
6530,"電腦,公司網路,proxy,關閉,連到,外部,網路,開起,無法",,1,SAP,3,網路,[1.0661022e-25 1.0000000e+00 2.2062836e-11 7.8396381e-15 1.6904799e-16]
8140,"Pro,不太動,重灌,OS,軟體",,3,網路,2,其他,[1.6447310e-24 6.5648713e-15 1.4346973e-12 1.0000000e+00 2.8711659e-22]
3579,"無法收到,特定,銀行,發送,水單,Domain,gtrf,hsbc,com,IP,Addresses,203.112,91.41,203.112,86.41",,2,其他,0,Outlook與郵件,[2.5719319e-28 7.0709578e-33 1.0000000e+00 2.5016537e-19 9.8031681e-18]
6944,"SIT,FTP,Server,HP,存取,資料,上週,HP,突然,無法,連入,FTP,內部,連入,正常,外部,IP,210.61,111.215,廣達,內部,IP,10.241,144.7",,3,網路,2,其他,[2.2764548e-17 1.5724037e-09 6.6708522e-10 1.0000000e+00 2.6145851e-15]
4846,"密碼,網路,無法連線,有三,台電,網路,正常,無法連線",,1,SAP,3,網路,[4.2957486e-06 9.9112731e-01 5.7897680e-03 2.4171667e-03 6.6150702e-04]
4702,"問題,描述,Step,廣達,菁英,校選,任一,課程,Step,點選,播放,課程,片時,錯誤訊息,無法,撥放,投影片,伺服器錯誤,404,找不到,檔案,目錄,尋找,資源,移除,名稱,變更,暫時,無法使用",,0,Outlook與郵件,4,資訊系統,[0.8082104  0.00605661 0.08794938 0.01027893 0.08750467]
6946,"申請,展延,客戶,識別證,勾選,無線網路,二組,無線,帳號密碼,客戶,使用,客戶,名稱,使用,期限,玉堂,19,19,楊琦婷,27,27",,2,其他,3,網路,[3.6176180e-09 6.8625376e-11 9.9997365e-01 1.2625151e-06 2.5027965e-05]
2291,"PC,想重,安裝,win7,光碟,重灌",,0,Outlook與郵件,2,其他,[9.9999380e-01 4.8328164e-15 6.1676101e-06 2.9649714e-12 8.5550127e-09]
8376,"電腦,重灌,電腦,尋不到,印表機",,3,網路,2,其他,[1.9259360e-03 2.3473229e-05 1.4342577e-03 9.9660969e-01 6.7432779e-06]
7303,"狀態,灰色,連線,重開,無效",,3,網路,2,其他,[4.5513906e-14 9.1505061e-09 3.3772945e-08 1.0000000e+00 2.7550219e-12]
4441,"家裡,無法,連回,公司,Server",,0,Outlook與郵件,3,網路,[0.5246243  0.01697757 0.3359746  0.03795196 0.08447157]
6782,"課程,無法,自動,播放",,3,網路,4,資訊系統,[0.02077277 0.06265795 0.40965205 0.47405705 0.03286018]
5777,"PDM,系統,簽核,問題",,3,網路,2,其他,[0.00391352 0.02902142 0.05256373 0.9087227  0.00577867]
8328,"無法登入,sap23",,4,資訊系統,1,SAP,[0.00834637 0.01568981 0.087101   0.01919435 0.8696685 ]
52,"網路不通,port,PD08,A058",,2,其他,3,網路,[1.4493801e-22 1.0460216e-23 1.0000000e+00 9.9719197e-17 5.9045680e-15]
1545,"Archer,R0E,底下,之前,assign,人員,張雅欣,林俊志為,QCI,TL,subrole,member,專案,需求,這兩,已經,re,assign,案子,R0E,移除,project,member,settings,目前,delete,功能,選擇",,2,其他,4,資訊系統,[1.6122527e-07 2.8842225e-11 9.9996150e-01 3.7009864e-05 1.4247953e-06]
4826,"觀看,課程,績效,評估,面談,目標,設定,績效,管理,播放,斷斷續續,無法,正常,觀看",,2,其他,4,資訊系統,[0.10427621 0.12251872 0.33535016 0.11937425 0.31848067]
5878,"寄件,過的,無法,自動,儲存,關機,清除",,1,SAP,0,Outlook與郵件,[7.8540506e-05 9.8445201e-01 1.3064917e-02 1.6678824e-03 7.3668046e-04]
2975,"無法連到,部門,印表機,列印",,0,Outlook與郵件,2,其他,[9.9998379e-01 1.3644833e-13 1.6179820e-05 6.2015053e-11 4.0915381e-08]
3846,"無法開啟,附加,檔案,pdf",,1,SAP,4,資訊系統,[0.0300676  0.42171246 0.16248357 0.11367382 0.27206248]
6431,"Bom,操作,問題,Excel,無法,Download,code,ZV33",,0,Outlook與郵件,1,SAP,[6.0655630e-01 1.7424327e-05 3.9199847e-01 4.0994174e-04 1.0178555e-03]
8385,"位置,外網,登入,進入,Myquanta,無法進入,BPM,系統,Ts,page,can,be,displayed",,2,其他,3,網路,[2.4902873e-02 5.0445374e-07 9.7384042e-01 1.9716778e-04 1.0590523e-03]
5748,"MSN,升級,新版,無法連線,出現,訊息,無法登入,防火牆,主要,連接埠,出現,黃色,驚嘆號",,4,資訊系統,3,網路,[0.01048083 0.0136148  0.42652452 0.01895598 0.5304239 ]
7762,"電腦,外帶證申請單,無法,CAMP,簽核,預報,加班,加班申請單,不行",,1,SAP,4,資訊系統,[2.2189926e-17 1.0000000e+00 2.9937617e-08 4.2880074e-11 2.3086079e-12]
1324,"Report,下載,中文,下載,顯示,亂碼,測試,管理,平臺,Phase,II,附件,檔案,參閱",,2,其他,4,資訊系統,[3.9719592e-18 2.5658479e-27 1.0000000e+00 1.1192794e-17 6.7939649e-15]
10099,"Guest,網路,無法使用,請用,mail,聯繫",,4,資訊系統,3,網路,[1.2437955e-12 4.5212969e-10 2.0910953e-07 4.6761612e-09 9.9999976e-01]
1039,"半個,收到,MIS,mail,移除,Java,軟體,目前,發現,無法,pdf,file,浮水印,字體,Quanta,Confidential,字樣,report,上給,客人,希望,MIS,安裝,Java,for,PDF,file,轉檔,浮水印,字樣,report,客人",,2,其他,4,資訊系統,[1.6113647e-12 7.1447102e-15 9.9999106e-01 8.5203364e-09 8.9449832e-06]
6430,"SO,完整,cannot,create,delivery",,0,Outlook與郵件,1,SAP,[9.9979740e-01 9.1205086e-14 1.8518622e-05 1.3974821e-12 1.8409282e-04]
7640,"有線網路,會時,斷線,無線網路,無法使用",,2,其他,3,網路,[0.00567434 0.006239   0.9128089  0.04567412 0.0296036 ]
6108,"北棟,H2BU,Server,網孔,A445,訊號,開通",,0,Outlook與郵件,3,網路,[9.9997604e-01 1.9013620e-13 2.3970348e-05 8.7318881e-11 4.2821490e-08]
6828,"北棟,6F,NB3,無線網路,無法連線,出現,驚嘆號",,2,其他,3,網路,[1.2465674e-07 2.3805498e-08 9.9993443e-01 1.4367868e-05 5.1040046e-05]
3010,"開機,顯示,無法,升級,OfficeScan,代理,城市,安裝,套件,OfficeScan,伺服器,建立,伺服器,並理,安裝,這部,電腦,用戶端,OfficeScan,管理,報告,問題",,0,Outlook與郵件,2,其他,[0.6676166  0.02245078 0.2542337  0.03230382 0.02339515]
7770,"達豐,使用,SAP,218,系統,操作,發生,Delivery,no,function,問題,Charles",,3,網路,1,SAP,[5.8766204e-28 1.3504243e-15 1.7759265e-14 1.0000000e+00 4.7090884e-25]
10061,"網路,孔有,問題,檢測,確定,無法上網,原因,是否,網路,問題",,2,其他,3,網路,[5.7031623e-14 3.2289385e-15 1.0000000e+00 1.0762195e-10 1.1125815e-09]
6376,"單號,app46,無法,簽收,出現錯誤",,0,Outlook與郵件,4,資訊系統,[0.6057938  0.015199   0.282369   0.03251661 0.06412165]
3796,"重灌,電腦,要重,新設",,3,網路,2,其他,[2.1312594e-06 1.7555739e-04 6.2134199e-02 9.3768406e-01 4.0165905e-06]
7725,"HP2014,列印,出現,亂碼,HP2300,無法,連接,列印",,0,Outlook與郵件,2,其他,[9.9999571e-01 4.4328711e-15 4.2358165e-06 1.7111206e-12 6.0345617e-09]
8326,"工作,需求,請問,申請,開單,權限",,0,Outlook與郵件,2,其他,[9.9995196e-01 1.5830807e-12 4.7597121e-05 1.7969834e-10 4.3078199e-07]
3151,"北棟,6F,3R209,孔號,PO02,A314",,2,其他,3,網路,[1.1642729e-13 1.0190510e-14 1.0000000e+00 5.3416771e-10 7.9120825e-09]
1964,"ID,NB2WENY",,2,其他,3,網路,[0.0181417  0.02144573 0.45894307 0.04367527 0.45779422]
7820,"Win7,驅動程式,系統,跳出,訊息,安全,拒絕,存取",,0,Outlook與郵件,2,其他,[1.0000000e+00 1.1061798e-18 1.4269033e-08 4.1999483e-18 9.5405519e-13]
1079,"outlook,無法開啟,認證,郵件,薪資",,0,Outlook與郵件,4,資訊系統,[9.9991477e-01 9.4041063e-08 8.4973894e-05 8.5257457e-10 1.4012132e-07]
1824,"Nb3rd1,Project,can,be,closed,Please,help,to,confirm,it,TKS",,2,其他,4,資訊系統,[0.01444924 0.00489216 0.78972363 0.02130249 0.16963252]
4587,"QSIT,BLO,案子,上傳,AVL,v1.0,內容,誤刪,v0.9,內容,USB,01,誤成,造成,v0.9,avl,內容,大部份,消失,修復",,0,Outlook與郵件,4,資訊系統,[9.9999833e-01 4.6008580e-16 1.7125018e-06 2.2277376e-13 1.3528676e-09]
2189,"網路,顯示,登入,資訊",,0,Outlook與郵件,3,網路,[9.9064273e-01 1.7551781e-06 8.7169977e-03 2.0338097e-05 6.1819231e-04]
3836,"無線網路,無法,搜尋到,Staff",,4,資訊系統,3,網路,[7.5737423e-11 6.1964118e-09 3.4174393e-06 4.6892154e-08 9.9999654e-01]
10129,"北棟,五樓,nb7,office,孔號,PH07,A151,改到,PH07",,0,Outlook與郵件,3,網路,[9.9671113e-01 3.0723103e-07 3.1646849e-03 2.9718431e-06 1.2089175e-04]
546,"加入,QSMC,Mail,Group,收到,不相干",,4,資訊系統,0,Outlook與郵件,[0.04405179 0.13211222 0.21017838 0.05989461 0.553763  ]
10107,"法順,利變,網域,密碼",,1,SAP,2,其他,[0.02890394 0.39567554 0.16833296 0.351491   0.0555966 ]
