,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
4912,"欲,假,出勤,資訊,點選,假,作業,時,無法,顯示,畫面,連線,錯誤",0,BPM平台系統,3,"[0.3759307  0.06447724 0.05783414 0.17634779 0.00894777 0.01189429
 0.304568  ]"
2369,"想問,考績,表,已經,超過,上傳,時間,是否,還可以,補,上傳,資料",0,BPM平台系統,6,"[0.43485212 0.04699886 0.04547213 0.1526532  0.02505011 0.0235067
 0.27146688]"
2251,"內部,行文,申單,公司,名稱,跑",4,SAP-168(QCI),1,"[0.25715464 0.02203914 0.02642425 0.07139093 0.33926466 0.16209273
 0.1216336 ]"
1554,"問題,MYQUANTA,BPM,無法,登入,要求,輸入,帳號,密碼",4,SAP-168(QCI),0,"[0.08932359 0.01153095 0.01512788 0.03057428 0.58068085 0.22694898
 0.0458135 ]"
84,"ECN,NO,E0,1453,转入,298",0,BPM平台系統,5,"[0.45721033 0.03893847 0.03917717 0.13814607 0.04187263 0.03299242
 0.25166285]"
4255,"www,quantacn,com,發現,錯誤,382",4,SAP-168(QCI),3,"[0.16525322 0.01562343 0.01970472 0.04788895 0.47447672 0.19852026
 0.0785327 ]"
3475,"QCICK,系統,權限,操作,問題",4,SAP-168(QCI),0,"[0.02813849 0.00359459 0.00530899 0.00947642 0.7301158  0.20939167
 0.0139741 ]"
1025,"user,無法,連進,SAP",4,SAP-168(QCI),5,"[1.5374665e-03 2.3344239e-04 4.2933147e-04 5.9537002e-04 8.6987156e-01
 1.2658183e-01 7.5103081e-04]"
3780,"安裝,新版,CAMP,後,IOS,出現,相容,錯誤,訊息,導致,無法,開啟,CAMP",0,BPM平台系統,1,"[0.44585276 0.04295922 0.04255245 0.14406958 0.037292   0.03107998
 0.25619403]"
530,"無法,加入,專案",4,SAP-168(QCI),1,"[0.05113042 0.00598414 0.00842083 0.01650012 0.6738364  0.21889877
 0.02522926]"
4267,"user,反映,點選,錯誤,訊息,無法,進入",4,SAP-168(QCI),0,"[0.01477733 0.00215254 0.0033253  0.00534317 0.77040017 0.1965157
 0.00748575]"
2499,"IDP,自我,發展,計畫,維護,頁面,中,完成,失效,選項,按鈕,顯示,維護,無法,送出",0,BPM平台系統,6,"[0.45215553 0.03815148 0.03881099 0.13461208 0.05481081 0.04073652
 0.24072254]"
1777,"申,帳號,查,價格",0,BPM平台系統,4,"[0.45033824 0.04234859 0.04156069 0.14565326 0.02914279 0.0255003
 0.2654561 ]"
734,"目前,專案,QCI,QSMC,研發,合作,開發,大型,檔案,互傳,問題,問,公司,雲端,硬碟,系統,使用,Thanks",0,BPM平台系統,3,"[0.37636337 0.03126663 0.03411087 0.1048668  0.17368875 0.10092358
 0.17877994]"
501,"issue,轉,狀態,後,系統,重複,發出,封,相同,notice,mail,相關,人員",0,BPM平台系統,3,"[0.40174672 0.05721666 0.05262221 0.16751677 0.01199828 0.01420244
 0.29469696]"
2087,"考績,表,權限,問題,諮詢,聯繫,921",4,SAP-168(QCI),6,"[0.0362721  0.00473579 0.00681376 0.01235479 0.70408475 0.21756282
 0.01817593]"
1654,"PDM,料號,已經,release,開工,單時,到",0,BPM平台系統,4,"[0.4370514  0.04638594 0.04475616 0.15270618 0.02268453 0.02164346
 0.27477238]"
1995,"Cost,bom,資料,有誤",0,BPM平台系統,4,"[0.43901518 0.045746   0.04406715 0.1521047  0.02156275 0.02069164
 0.27681255]"
5174,"無法,開,PRO,E",4,SAP-168(QCI),2,"[0.05288708 0.00624309 0.00875493 0.01714336 0.669998   0.21881811
 0.02615539]"
5434,"預約,後,收到,Mail,通知",0,BPM平台系統,6,"[0.3859785  0.06030183 0.05422349 0.17283027 0.0080056  0.01061331
 0.30804703]"
4055,"user,無法,登入",4,SAP-168(QCI),5,"[0.03916471 0.00467106 0.00673373 0.01279541 0.7034602  0.21381435
 0.01936055]"
5115,"Create,Outbound,Delivery,時,發生,錯誤,錯誤,訊息,Error,during,INSERT,PMC,NOT,RELEASES,CAN,NOT,CREATE,DELIVERY,聯絡人,Eva,Ji,吉方超,工號,864,電話,382",4,SAP-168(QCI),5,"[0.09538667 0.01476662 0.01902222 0.0353554  0.55152476 0.23263867
 0.05130561]"
4848,"申,T,Code,權限,ZMI16,for,804,310",0,BPM平台系統,5,"[0.41375345 0.05282166 0.04917124 0.16299511 0.0132681  0.01494179
 0.29304865]"
3257,"user,欲申,電話,國際,系統,輸入,工號,後,使用,無法,顯示",4,SAP-168(QCI),6,"[0.25980437 0.02529202 0.02978334 0.07765697 0.31771126 0.1609801
 0.12877195]"
4369,"薪資單,無法,開啟",4,SAP-168(QCI),6,"[0.05067169 0.00583996 0.00822952 0.01620055 0.6771706  0.21705455
 0.02483315]"
3809,"詢問,系統,操作",4,SAP-168(QCI),5,"[0.04644103 0.00537456 0.00763445 0.01487347 0.6871145  0.21580346
 0.02275851]"
132,"早上,SAP218,上海,台灣,共用,Serer,CSAP21,出現,無法,連結,error",0,BPM平台系統,4,"[0.4565538  0.03729218 0.03803013 0.13368292 0.0534918  0.03948475
 0.24146454]"
1630,"I2,庫存,狀態,PO,查",0,BPM平台系統,4,"[0.4076188  0.05432292 0.05016997 0.1654724  0.01183676 0.01382138
 0.29675776]"
724,"SAP21,無法,登入",0,BPM平台系統,4,"[0.42953697 0.04830402 0.04583782 0.15669847 0.01712282 0.01763002
 0.2848699 ]"
711,"建,BOM,需要,查,庫存",0,BPM平台系統,5,"[0.3979491  0.05698365 0.05194991 0.16886425 0.00987762 0.01224097
 0.30213448]"
4794,"交通車,管理,系統,無法,登入,Ext",0,BPM平台系統,6,"[0.41428044 0.05262665 0.04913338 0.1627521  0.01405777 0.01561147
 0.29153818]"
5289,"QITS,建立,外部,帳號,外部,帳號,開通,後,e,mail,提示,URL,QITS,出現,伺服器,錯誤,知道,是否,操作,環境,screenshot,可供,參考",4,SAP-168(QCI),3,"[2.8018658e-03 5.2726315e-04 9.1021619e-04 1.1904801e-03 8.3995122e-01
 1.5316351e-01 1.4554379e-03]"
1197,"您好,目前,無法,透過,excel,表,上傳,Administrator,權限,顯示,問是,權限,不足,表格,錯誤,導致,上傳,失敗,希望,今天,完成,上傳",0,BPM平台系統,3,"[0.41067603 0.05491417 0.05196727 0.16211452 0.02162843 0.02215026
 0.2765493 ]"
3770,"主管,簽單,問題",4,SAP-168(QCI),0,"[0.0413916  0.00487875 0.00700706 0.01336291 0.6981836  0.2149141
 0.02026204]"
3858,"SAP,帳號,鎖住,麻煩",4,SAP-168(QCI),5,"[1.5093648e-03 2.2803144e-04 4.2017305e-04 5.8169808e-04 8.7094229e-01
 1.2558526e-01 7.3311245e-04]"
167,"星期二,當機,後,速度,很慢,user,反應,次",0,BPM平台系統,4,"[0.38268918 0.02795222 0.03083825 0.0995952  0.18229957 0.10100668
 0.17561899]"
1215,"BPM,資訊,需求,申單,單號,業務,要求,串簽,兩位,主管,065,Alan,Chang,張耀文,016,Richard,Liu,劉,玉成,設定",4,SAP-168(QCI),0,"[0.13975255 0.01604884 0.0203445  0.04512195 0.4956161  0.21248855
 0.0706275 ]"
3567,"USER,欲,連線到,SAP298,求,相關,連線,設定",0,BPM平台系統,5,"[0.41847172 0.05189363 0.04878182 0.16098595 0.01608555 0.01722284
 0.2865585 ]"
2254,"機車,無法,刷過,機車,門禁",0,BPM平台系統,6,"[0.43555853 0.04661882 0.0447935  0.15352966 0.0211541  0.02051922
 0.27782613]"
4651,"人事,異動,調,部門,八職,同仁,使用,點選,預計,預動,申日,無法,彈出,日曆",4,SAP-168(QCI),0,"[0.03269237 0.00460605 0.00663978 0.01154451 0.7081235  0.21970245
 0.01669135]"
807,"984,BD5,Assign,tester,頁面,start,project,跳出,error",0,BPM平台系統,3,"[0.38834623 0.05989353 0.05432951 0.17217186 0.00935625 0.01194997
 0.30395263]"
1071,"重複,填寫,電腦,申單,cancel,單號,APP04",4,SAP-168(QCI),0,"[0.222031   0.02049095 0.02482526 0.063902   0.3848517  0.17764756
 0.10625156]"
2117,"達丰,TOP,user,反應,開工,job,問題,同仁",4,SAP-168(QCI),5,"[0.0143221  0.00216669 0.00335242 0.00527865 0.7696055  0.19797161
 0.00730296]"
1961,"SAP318,卡住,無法,做,動作",0,BPM平台系統,4,"[0.40421206 0.05515944 0.050696   0.16669104 0.0109933  0.01311908
 0.2991291 ]"
3017,"無法,使用,老闆,工號,密碼,填單",4,SAP-168(QCI),0,"[0.05639347 0.00692389 0.00959844 0.01874943 0.6570841  0.2228605
 0.02839012]"
4229,"需要,新人,申,授權",0,BPM平台系統,4,"[0.38021347 0.0265889  0.02954108 0.09641191 0.19149354 0.10346685
 0.17228425]"
2879,"無法,logon,SAP,298",4,SAP-168(QCI),5,"[1.0400495e-03 1.6185775e-04 3.0449242e-04 4.1472982e-04 8.8143665e-01
 1.1613377e-01 5.0850573e-04]"
2881,"已,確認,系統,環境,變數,中,包含,CDS,LIC,FILE,5280,QCIROCAD01,執行,OrCAD,顯示,找不到,License",4,SAP-168(QCI),3,"[0.00986522 0.00161674 0.00256173 0.00377604 0.78746486 0.18966247
 0.00505289]"
447,"警衛,無法,發,臨時,卡",4,SAP-168(QCI),6,"[0.04049372 0.00483178 0.00694498 0.0131957  0.70012784 0.21446596
 0.01994011]"
4235,"問要,建立,客人,Vendor,Code",0,BPM平台系統,4,"[0.46059296 0.03656456 0.03734979 0.13279018 0.0522946  0.03851318
 0.24189475]"
3162,"user,預約,會多,日,會議室,無法,申,無線,網路,帶出來,mail,錯誤",0,BPM平台系統,6,"[0.3777344  0.06346542 0.05692578 0.17590033 0.0085478  0.01138485
 0.30604148]"
2780,"14,45,使用,Pro,E,情況,下,突然,license,麻,取得",4,SAP-168(QCI),3,"[0.0855725  0.01061712 0.01415707 0.02864942 0.59248525 0.22489795
 0.04362064]"
2498,"CITRIX,無法,連上",0,BPM平台系統,4,"[0.4033905  0.05525558 0.05066072 0.16683336 0.01035759 0.01253244
 0.30096984]"
3333,"點擊,時,權限",4,SAP-168(QCI),0,"[0.09731825 0.00992665 0.01325492 0.02925325 0.5884865  0.2149508
 0.0468096 ]"
3370,"user,R10,問題",4,SAP-168(QCI),5,"[0.01925863 0.00246408 0.00376338 0.00650415 0.7599352  0.19858783
 0.00948669]"
3038,"無法,連進,To,Be,網站",0,BPM平台系統,6,"[0.3412548  0.02544303 0.0290203  0.08872136 0.23645167 0.12254366
 0.15656516]"
626,"OR,CAD,無法,登入",4,SAP-168(QCI),2,"[0.04942971 0.00577107 0.00815703 0.01593527 0.6788729  0.21740833
 0.02442572]"
3100,"使用,反應,Delivery,無法,Release,Ext",4,SAP-168(QCI),5,"[0.16892527 0.01671028 0.02097266 0.05052052 0.46108714 0.19933751
 0.08244668]"
4840,"按下,save,按鈕,以後,出現,一片,空白",4,SAP-168(QCI),3,"[0.15337564 0.01616406 0.02044562 0.04711683 0.48228973 0.20494106
 0.07566706]"
1520,"欲,使用,租屋,資訊站,填寫,送出,後,出現,ERROR",0,BPM平台系統,6,"[0.42278317 0.05037    0.04779277 0.15874341 0.01801681 0.01865163
 0.28364223]"
2167,"USER,反應,說,助理,查詢,時,無法,顯示,網頁,出現,伺服器,錯誤",0,BPM平台系統,6,"[0.43474588 0.04649569 0.04515394 0.1515263  0.02800139 0.02563806
 0.2684387 ]"
3869,"幫其,主管,簽核,審核,員工,報名,課程,是否,表單",0,BPM平台系統,6,"[0.38250884 0.0615012  0.05517709 0.17422126 0.00812941 0.010851
 0.30761123]"
4445,"員工,服務,專區,租屋,資訊站,上傳,檔案,後,出現,error",0,BPM平台系統,6,"[0.37989902 0.0626711  0.05637061 0.17516065 0.00876541 0.01156872
 0.30556452]"
5127,"Outlook,開啟,後,無法,進入,停留,中",4,SAP-168(QCI),0,"[0.02472531 0.00340631 0.00506869 0.00865871 0.73619956 0.20946556
 0.01247586]"
3210,"Pro,e,外部,網路,無法,使用,原始,使用",4,SAP-168(QCI),2,"[2.8185418e-03 4.4283547e-04 7.7969639e-04 1.0918365e-03 8.4666616e-01
 1.4679435e-01 1.4065963e-03]"
3946,"ZMQW,can,not,use",0,BPM平台系統,4,"[0.44823352 0.04301446 0.0420431  0.14694713 0.027282   0.02432112
 0.2681586 ]"
598,"Citrix,printer,issue",0,BPM平台系統,4,"[0.43234944 0.02756868 0.02993349 0.10633095 0.13394868 0.07610308
 0.19376566]"
1224,"USER,反應,已,人資,改過,簽核,主管,一張,訪客,申單,簽到,舊,簽核,主管,USER,反映,過一次,問題,解決",0,BPM平台系統,6,"[0.32689157 0.03319363 0.03677755 0.09967285 0.21546634 0.12492337
 0.16307473]"
3631,"開啟,檔案,連結,跳出,輸入,密碼,視窗,並無個,人,帳號,資訊",0,BPM平台系統,6,"[0.38561204 0.06093452 0.05515141 0.17312878 0.00955197 0.01224116
 0.3033801 ]"
2689,"無法,上傳,考績,表",0,BPM平台系統,6,"[0.4414956  0.04503077 0.04350992 0.15088545 0.02288306 0.02156523
 0.27462998]"
2771,"使用,調,部門,導致,現,部門,主管,無法,簽核",4,SAP-168(QCI),0,"[0.01045727 0.00160655 0.00255797 0.00387591 0.78693277 0.18926878
 0.00530078]"
4684,"驗收,單找,不到,po,單號,連絡,382",4,SAP-168(QCI),0,"[0.12686813 0.01375329 0.01767969 0.03970072 0.52614623 0.21325299
 0.06259902]"
1176,"MRO2,APP87,and,APP60,兩張,採購,申單,PO,產出,完全,已,反應,許久,產出,PO",4,SAP-168(QCI),0,"[0.01311131 0.00233167 0.00357805 0.00525717 0.76587254 0.20291068
 0.00693868]"
2673,"薪資單,無法,開啟",4,SAP-168(QCI),6,"[0.05067169 0.00583996 0.00822952 0.01620055 0.6771706  0.21705455
 0.02483315]"
2273,"點,ctrix,之後,跳出,六七個,critrix,error,視窗,無法,使用",0,BPM平台系統,4,"[0.39000088 0.05922143 0.05369608 0.17133997 0.00930581 0.01187212
 0.30456367]"
5440,"送出,MRO,申單,時,出現,部門,分攤,比例,不可,大於,100%,實際,加總,100%",4,SAP-168(QCI),0,"[1.6782620e-03 2.8494775e-04 5.1463750e-04 6.8623340e-04 8.6243337e-01
 1.3355923e-01 8.4336381e-04]"
80,"無法,預約",0,BPM平台系統,6,"[0.40345564 0.05519358 0.05054289 0.16688304 0.0100863  0.012265
 0.30157354]"
4549,"user,發,ecn,時,簽核,主管,出差,無法,簽核,聯絡,開,user",0,BPM平台系統,4,"[0.3920802  0.05952051 0.05425855 0.1707648  0.01076242 0.01328788
 0.29932564]"
2602,"己經,自已,另一,同事,302,己經,加入,到,NB2,CB,role,subrole,SIT,group,中,兩個,遇到,無法,Add,project,members,問題,訊息,You,are,no,right,to,access,this,page,問還,地方,權限,要設,thanks,project,name,Baytrial,HR,template,NB2,CB",0,BPM平台系統,3,"[0.3425415  0.07900769 0.07072852 0.18609902 0.01238665 0.01646615
 0.29277048]"
1033,"點選,borrow,license,拔掉,網路,之後,卻,無法,開啟,Pro,E",4,SAP-168(QCI),3,"[0.08918314 0.01177437 0.01548601 0.03074602 0.5793095  0.22735612
 0.04614479]"
3048,"無法,登入,2x8,sap,網頁",4,SAP-168(QCI),5,"[1.1867842e-03 1.8655403e-04 3.4756426e-04 4.7307072e-04 8.7693167e-01
 1.2029133e-01 5.8309204e-04]"
2977,"CAMP,簽核,電腦,外帶,攜出,申單,出現,應用,程式,發生,錯誤",0,BPM平台系統,1,"[0.41733342 0.05245318 0.04932558 0.16114026 0.01689487 0.01796102
 0.28489166]"
351,"流程,諮詢",4,SAP-168(QCI),0,"[0.08027811 0.00828285 0.01126036 0.02427112 0.62107575 0.21624102
 0.03859085]"
3404,"Account,can,not,login",0,BPM平台系統,4,"[0.4631087  0.03482087 0.03584388 0.12893711 0.05923416 0.04181156
 0.23624367]"
4687,"料號,EAC1ZZZST71,SAP,168,資料,SAP,268,無,資料",4,SAP-168(QCI),5,"[7.3770498e-04 1.2115638e-04 2.3134076e-04 3.0786070e-04 8.9038205e-01
 1.0785555e-01 3.6423205e-04]"
1471,"user,申,差旅費,分攤,時,出現,錯誤",4,SAP-168(QCI),0,"[0.02068035 0.00279401 0.00421679 0.00718926 0.7513038  0.20346229
 0.01035347]"
1315,"User,was,unabl,to,login,ASP,via,my,Quanta,Web,Site,She,had,waited,for,10,minutes,There,was,no,response,She,also,trid,to,reboot,computer,The,situation,is,still,the,same,Please,help,Her,Ext,is",0,BPM平台系統,4,"[0.3491177  0.07487185 0.06585225 0.18506683 0.00801619 0.01157244
 0.30550268]"
1839,"user,反應,無法,download",0,BPM平台系統,4,"[0.46270263 0.03545383 0.03632805 0.13059242 0.05582688 0.04017362
 0.23892264]"
4278,"268,cosbom,ZV33,問題",0,BPM平台系統,5,"[0.4626381  0.03716469 0.03759624 0.13514188 0.04486236 0.03430428
 0.24829237]"
4728,"第二層,無法,進入,重建,第二層,帳號",0,BPM平台系統,4,"[0.42222846 0.05048231 0.04753716 0.1596791  0.01560775 0.01664384
 0.28782138]"
1175,"user,忘記,登入,密碼",4,SAP-168(QCI),6,"[0.03204605 0.00402107 0.00588208 0.01072837 0.7197693  0.21163747
 0.01591559]"
5145,"使用,Google,Chrome,瀏覽,員工,出勤,時,點選,日期,時,無法,選擇,顯示出,undefined,字樣",0,BPM平台系統,6,"[0.43449363 0.04668149 0.04522382 0.15268391 0.02467493 0.02323219
 0.27301   ]"
5223,"Pro,E,無法,使用",4,SAP-168(QCI),2,"[4.4040931e-03 6.3385157e-04 1.0857582e-03 1.6093279e-03 8.3338696e-01
 1.5671593e-01 2.1640551e-03]"
1600,"參與,專案,無法,閱覽,專案,內容,收到,信件,通知",4,SAP-168(QCI),3,"[0.0584573  0.00765521 0.01053621 0.02007786 0.6468327  0.22663903
 0.02980168]"
426,"Hello,Archer,刪除,NZ8A,NZ9A,專案,PM,重新,開案,選到,NB2,TOP,template",0,BPM平台系統,3,"[0.42750525 0.04909595 0.04676806 0.15712282 0.01879654 0.0191033
 0.28160813]"
5343,"北棟,1F,警衛,放行,無法,登入",4,SAP-168(QCI),0,"[0.09623998 0.01098185 0.01453078 0.03079513 0.5790994  0.22052884
 0.04782401]"
5014,"user,反應,無法,登入,csap21",0,BPM平台系統,4,"[0.39158377 0.02715628 0.02995277 0.09948867 0.1769026  0.09710903
 0.1778069 ]"
1074,"工號,613,姓名,蔡承豐,電話,MVPN,電腦,AT6,機種,無法,進入,windows,系統,需,重灌,GHOST,C,槽",0,BPM平台系統,4,"[0.43403614 0.03415136 0.03607819 0.12148715 0.09759739 0.06275512
 0.21389465]"
471,"無法,登入,使用",4,SAP-168(QCI),5,"[0.01452451 0.00190792 0.00298197 0.00498935 0.77730924 0.19110015
 0.00718678]"
696,"IE,無法,預約,會議室",0,BPM平台系統,6,"[0.39788547 0.05692182 0.05190502 0.16895325 0.00973293 0.012087
 0.3025145 ]"
1345,"pro,e,license,問題,詢問",4,SAP-168(QCI),2,"[0.02038635 0.0027596  0.00417652 0.00708315 0.7526541  0.20275842
 0.01018186]"
1665,"門禁,系統,裡找,不到,新進,人員,資料,HR,MAIL,系統,資料,相關,人員",0,BPM平台系統,6,"[0.41399717 0.05353757 0.05033085 0.1621414  0.01715085 0.01828779
 0.28455436]"
2596,"USER,使用,201,102,帳號,登入,SAP,部分,功能,使用,權限,不足",4,SAP-168(QCI),5,"[1.1928747e-03 1.9567792e-04 3.6368833e-04 4.8637207e-04 8.7528867e-01
 1.2188018e-01 5.9260207e-04]"
1419,"user,之前,Irwin,修改,ZVFW,現在,一點,小,問題,再,修改",0,BPM平台系統,4,"[0.4491683  0.03804237 0.038864   0.13396221 0.05867697 0.04317917
 0.23810703]"
538,"SAP,帳號,無法,登入,382,Linda",4,SAP-168(QCI),5,"[1.7269987e-03 2.6738804e-04 4.8744815e-04 6.7343580e-04 8.6522311e-01
 1.3077134e-01 8.5030141e-04]"
4058,"QSIT,單獨,新增,test,case,後,系統,show,新增,成功,之後,要用,add,test,case,功能,時,卻,找,到,test,case",0,BPM平台系統,3,"[0.37985992 0.06388764 0.05872773 0.17425461 0.01371905 0.01650353
 0.29304746]"
1726,"已,申過,資訊,需求單,Pro,E,無法,使用,license",4,SAP-168(QCI),2,"[4.7290283e-03 7.4435311e-04 1.2580056e-03 1.8086247e-03 8.2548350e-01
 1.6359568e-01 2.3807739e-03]"
297,"user,反應,使用,218,裡,ZVPF,QCI,Customer,選項,權限",4,SAP-168(QCI),5,"[0.05093731 0.00711738 0.00982423 0.01810546 0.6594907  0.22807765
 0.02644735]"
4112,"跑完,Cost,BOM,後,出現,無法,開,啓,檔案,出現,ERROR,錯誤,訊息",0,BPM平台系統,4,"[0.39457172 0.05855786 0.05368162 0.1698317  0.01153402 0.01392593
 0.29789716]"
5253,"填寫,軟體,需求,申單,時,未,出現,電腦,固定,資產,編號,無法,申,軟體",0,BPM平台系統,4,"[0.39994362 0.05766023 0.05319877 0.16774467 0.01319084 0.015341
 0.2929209 ]"
1544,"PLM,密碼,忘記",4,SAP-168(QCI),3,"[0.05226734 0.00596936 0.00840533 0.01660693 0.6742593  0.21703826
 0.02545349]"
4631,"User,已,申訪,簽核,主管,卻,到,單子,單號,APP50,351",0,BPM平台系統,6,"[0.41240588 0.05344244 0.04979378 0.16343859 0.01383912 0.01552635
 0.29155385]"
1699,"無法,送出,單子,出現,錯誤,訊息",0,BPM平台系統,6,"[0.4265867  0.04938997 0.0468087  0.15767106 0.01742842 0.01799827
 0.28411692]"
