,1_sentence,2_sentence,3_y_predict,4_y_predict_name,5_answer,6_answer,7_y_predict_probability
14714,在家無法連上vpn,"網管,VPN,連線,SSLVPN,無法登入,無法,連上,vpn",8,作業系統與印表機,7,VPN連線,"[8.3669082e-05 7.5038610e-05 1.5040685e-03 2.2949830e-03 5.9501894e-05
 2.3085784e-04 2.7056455e-04 7.2881598e-03 9.4825596e-01 1.6160060e-04
 1.9183870e-03 1.6602327e-03 5.3335023e-03 1.5765644e-03 1.5817663e-02
 1.0941470e-03 9.0220356e-03 3.3528858e-03]"
6893,"雲端桌面為黑色,無法使用   #15162","網管,QCO,雲端,連線,登入,畫面,雲端,桌面,黑色,無法使用",16,連網頁/Skype,3,QCO,"[0.00164463 0.00226304 0.05635545 0.11650037 0.00196958 0.00245354
 0.00408638 0.18554978 0.01312549 0.00175077 0.00238646 0.05891638
 0.18204077 0.01529954 0.00266399 0.01013453 0.2864706  0.05638871]"
7414,登入無畫面 #13193,"網管,QCO,雲端,連線,登入,畫面,登入,畫面",12,商務用Skype,3,QCO,"[0.0015858  0.00170362 0.02268868 0.02523856 0.0012412  0.00327292
 0.00212438 0.08685713 0.01971746 0.0016993  0.00388521 0.04594043
 0.34650975 0.01593594 0.00180009 0.00833683 0.2934239  0.11803884]"
14629,QCO有問題   #381-15928,"網管,QCO,雲端,連線,無法登入,QCO",12,商務用Skype,3,QCO,"[0.00216162 0.00157023 0.02488627 0.11024332 0.00111374 0.00227043
 0.00220815 0.2296743  0.0119875  0.00186546 0.00800308 0.02966435
 0.29995555 0.03687933 0.00263186 0.00493112 0.11753269 0.11242094]"
14589,Outlook無法正常使用,"網管,作業系統,印表機,Outlook,無法,正常,使用",17,電腦防毒,8,作業系統與印表機,"[0.00341062 0.0020024  0.01910045 0.02597423 0.00209887 0.00505219
 0.00197053 0.06376933 0.06275991 0.00283078 0.15518418 0.01767565
 0.19671172 0.1403438  0.00405104 0.0047353  0.04578001 0.24654901]"
5550,QCO04無法登入。  EXT:16516,"網管,QCO,雲端,連線,無法登入,QCO04,無法登入",7,VPN連線,3,QCO,"[0.00170103 0.00153692 0.01814592 0.28302428 0.00082579 0.00243274
 0.0020152  0.290996   0.00852012 0.00127104 0.00824354 0.02683876
 0.18682191 0.01986367 0.00293562 0.00525925 0.05005857 0.0895097 ]"
8640,無法登入停留在登入畫面,"網管,商務,Skype,無法登入,無法登入,無法登入,留在,登入,畫面",7,VPN連線,12,商務用Skype,"[0.00206591 0.00170669 0.02871386 0.14755248 0.0012066  0.00212223
 0.00266555 0.2739393  0.01201627 0.00179857 0.00715157 0.03126385
 0.24388589 0.03248685 0.00331793 0.00548684 0.11507023 0.08754942]"
15593,"最近發現我的電腦連線公司網路，有線或無線，  網際網路存取都是寫  ""quanta.corp 2 (未經授權的)""  雖然還是可以正常上網收發信件，但這會有問題嗎?","網管,硬體,諮詢,硬體,改填,NB,檢測,硬體,諮詢,硬體,改填,NB,檢測,發現,電腦連線,公司,網路,有線,無線,網際網路,存取,quanta,corp,未經,授權,正常,上網,收發,信件,這會",8,作業系統與印表機,10,其他,"[2.6307680e-04 2.4893862e-04 2.0845265e-03 4.0179840e-03 2.4228932e-04
 6.5675785e-04 5.4571120e-04 1.0211210e-02 9.2002666e-01 3.4005308e-04
 1.6939068e-02 1.8178148e-03 8.5954005e-03 4.9505802e-03 1.2098199e-02
 1.8249443e-03 7.0361290e-03 8.1006065e-03]"
12040,於公司外使用open vpn，但皆無法正常登入,"網管,VPN,連線,SSLVPN,無法登入,公司,使用,open,vpn,無法,正常,登入",12,商務用Skype,7,VPN連線,"[0.00222069 0.00133224 0.01104539 0.01389955 0.00113417 0.00455779
 0.00157832 0.05736362 0.07685289 0.00200386 0.04245189 0.0188091
 0.34090215 0.04582597 0.00459849 0.00779369 0.11170006 0.25593016]"
12047,"連SSLPVN時, 無法啟用 Network Connect","網管,VPN,連線,SSLVPN,無法登入,SSLPVN,無法,啟用,Network,Connect",8,作業系統與印表機,7,VPN連線,"[8.9089491e-04 7.6163345e-04 1.0636302e-02 1.4523197e-02 4.4811066e-04
 1.6833367e-03 1.6602003e-03 4.8719931e-02 6.9197917e-01 8.7293470e-04
 9.4080344e-03 1.1534080e-02 4.4982821e-02 6.5423143e-03 5.0623015e-02
 8.2972581e-03 6.2981978e-02 3.3454791e-02]"
12563,薪資單等加密mail無法開啟 再麻煩處理 感謝,"網管,解密,郵件,文件,加密,郵件,打不開,無法開啟,薪資單,薪資單,加密,mail,無法開啟",16,連網頁/Skype,11,加解密郵件/文件,"[0.00155767 0.00320057 0.1112076  0.143295   0.00253248 0.00219981
 0.00462801 0.14158407 0.01684222 0.00204246 0.00286463 0.08193889
 0.15139534 0.01553447 0.00303308 0.01024298 0.25934368 0.046557  ]"
6784,外部網路使用openvpn無法登入公司網域。已按照公司設定openvpn，之前可以正常使用，約一兩個月前開始就不能用了。,"網管,VPN,連線,SSLVPN,無法登入,外部,網路,使用,openvpn,無法登入,公司,網域,公司,設定,openvpn,之前,正常,使用,個月",12,商務用Skype,7,VPN連線,"[0.00205179 0.00162396 0.01275563 0.01805288 0.00144429 0.00416119
 0.00216742 0.06827956 0.05380142 0.00217033 0.0245484  0.03065578
 0.36845532 0.03653795 0.00448286 0.00975692 0.14726637 0.21178792]"
2939,遠端連線無法連： 1.在家用自己電腦開OpenVPN 可以連到公司網站，卻無法遠端連線到公司NB。 2.在公司用公司網路請同事幫忙測試遠端連線依然無法連到此NB。 電腦名稱：AN990115397,"網管,硬體,諮詢,硬體,改填,NB,檢測,硬體,諮詢,硬體,改填,NB,檢測,遠端,連線,無法,家用電腦,OpenVPN,連到,公司,網站,無法,遠端,連線到,公司,NB,公司,公司,網路,同事,測試,遠端,連線,依然,無法,連到,NB,電腦,AN7",8,作業系統與印表機,10,其他,"[0.0012104  0.00084338 0.0042422  0.00782929 0.00106372 0.00301482
 0.00134164 0.01828866 0.71904415 0.00126415 0.10506734 0.00486427
 0.03431433 0.02331129 0.0161889  0.00444608 0.01335975 0.04030559]"
15877,#16515  FTP01無法使用，由於與客人正在上傳資料，希望能趕快協助處理，感謝!,"網管,檔案,共用,FTP,FTP,連線,下載,無法,連到,公司,內部,FTP,FTP01,無法使用,客人,上傳,資料,希望",12,商務用Skype,13,檔案共用或FTP,"[0.00198376 0.00146797 0.01202445 0.01487432 0.00126513 0.00392207
 0.00192286 0.06529632 0.04468556 0.00192163 0.01895355 0.02741774
 0.38101622 0.0326759  0.00330307 0.00883065 0.15711616 0.22132266]"
11651,User有一台連外server，ip為10.242.116.15，被防火牆擋住無法連外,"網管,網路,無法,連到,某台,Server,無法,連到,Server,連外,server,ip,10.242,116.15,防火牆,擋住,無法,連外",8,作業系統與印表機,14,網路,"[7.8842643e-04 4.1108526e-04 7.2784373e-03 2.2726526e-02 4.0669602e-04
 1.5557518e-03 1.0621515e-03 2.8405273e-02 6.7882627e-01 9.9556230e-04
 2.7104650e-02 6.3625369e-03 2.3656076e-02 1.4343528e-02 1.3889118e-01
 4.6338174e-03 1.8767145e-02 2.3784855e-02]"
15158,人在廠外，連SSLVPN，無法連上。 #16438,"網管,VPN,連線,SSLVPN,無法登入,廠外,SSLVPN,無法,連上",8,作業系統與印表機,7,VPN連線,"[5.2920589e-04 4.7123976e-04 7.4613914e-03 1.0112037e-02 2.7554098e-04
 1.0767026e-03 1.1650095e-03 3.3560190e-02 7.7813023e-01 6.2502996e-04
 6.5865177e-03 7.9956762e-03 2.6310140e-02 4.9654734e-03 4.9705222e-02
 5.2407379e-03 4.5667656e-02 2.0121992e-02]"
8929,在家無法連線至QCO #16751,"網管,QCO,雲端,連線,無法登入,無法,連線至,QCO",12,商務用Skype,3,QCO,"[0.00207496 0.0015019  0.0243749  0.11981855 0.00109971 0.00212228
 0.00231526 0.24569307 0.01089302 0.0017742  0.00660977 0.02986066
 0.28240922 0.03418059 0.00256073 0.00504188 0.12618218 0.10148716]"
6650,"很多網頁無法開啟 , 無法查詢工作需使用相關資料    你的連線不是私人連線  攻擊者可能會試圖從 archive.sap.com 竊取你的資訊 (例如密碼、郵件或信用卡資料)。瞭解詳情  NET::ERR_CERT_COMMON_NAME_INVALID","網管,網頁,Skype,無法,上網,出現,拒絕,訊息,網頁,無法開啟,無法,查詢,工作,使用,資料,連線,私人,連線,攻擊,試圖,arcve,sap,com,竊取,資訊,密碼,郵件,信用卡,資料,瞭解,詳情,NET,ERR,CERT,COMMON,NAME,INVALID",8,作業系統與印表機,16,連網頁/Skype,"[0.00423686 0.00140433 0.01600709 0.03641551 0.00189736 0.008582
 0.00204727 0.04176316 0.2358938  0.00360344 0.19332866 0.01308127
 0.10286172 0.09674621 0.06243522 0.0075931  0.03011865 0.1419843 ]"
1822,在家連VPN無法成功連進公司網路，工號密碼打完後，會顯示 連接至client已失敗  假日會需要連進CAMP回廠商問題，所以希望今天能夠解決~謝謝,"網管,VPN,連線,SSLVPN,無法登入,家連,VPN,無法,成功,連進,公司,網路,密碼,打完,顯示,連接,client,失敗,假日,需要,連進,CAMP,廠商,希望,解決",12,商務用Skype,7,VPN連線,"[0.00229364 0.00154458 0.01344614 0.0255047  0.00153748 0.00418446
 0.00231683 0.07504759 0.08073682 0.00271368 0.04127122 0.03162073
 0.32697192 0.04949821 0.00910769 0.0104255  0.12057038 0.20120847]"
11261,資料夾管理員已開通權限. 仍無法加入網路資料夾.,"網管,檔案,共用,FTP,檔案,共用,設定,無法,連到,共用,檔案,資料夾,管理員,開通,權限,無法,入網,資料夾",12,商務用Skype,13,檔案共用或FTP,"[0.00394527 0.00205504 0.02118416 0.03643508 0.00204238 0.00519051
 0.00233129 0.10363469 0.03950557 0.00294131 0.0467606  0.02498646
 0.26867506 0.10111348 0.00323976 0.00650109 0.1109732  0.21848509]"
15167,從家裡VPN可連線，但無法使用遠端桌面到公司電腦。 會出現公司電腦不屬於指定網路的錯誤訊息。,"網管,VPN,連線,SSLVPN,無法登入,家裡,VPN,連線,無法使用,遠端桌面,公司,電腦,出現,公司,電腦,不屬,指定,網路,錯誤訊息",14,網路,7,VPN連線,"[2.3596172e-05 9.9324034e-06 1.2259742e-03 1.6959242e-03 2.5270108e-05
 7.1748509e-05 4.4542820e-05 4.7121680e-04 3.2859210e-02 3.0514177e-05
 6.6300819e-04 1.7689825e-04 7.5779471e-04 1.6979704e-04 9.6071213e-01
 1.4057700e-04 4.2989064e-04 4.9207808e-04]"
7309,電腦突然變慢疑似中毒,"網管,電腦,防毒,電腦病毒,電腦中毒,電腦,突然,變慢,疑似,中毒",7,VPN連線,17,電腦防毒,"[0.00200748 0.00147387 0.02472589 0.13096464 0.00113197 0.00206627
 0.00247951 0.2677895  0.0108187  0.0016961  0.00586109 0.02972524
 0.25908357 0.03172719 0.00274112 0.00528629 0.12915224 0.09126926]"
6040,BPM速度很慢 時常跑不出來,"網管,硬體,諮詢,硬體,改填,NB,檢測,硬體,諮詢,硬體,改填,NB,檢測,BPM,速度,很慢,時常",8,作業系統與印表機,10,其他,"[0.00107686 0.00122886 0.00405555 0.01940296 0.00102387 0.00271861
 0.00140302 0.01794503 0.56375754 0.00150506 0.24274668 0.00492037
 0.02630134 0.02569314 0.0402966  0.00404562 0.00910901 0.03276988]"
2183,如何連到個人雲端桌面？,"網管,網路,無法,連到,某台,Server,無法,連到,Server,連到,雲端,桌面",8,作業系統與印表機,14,網路,"[3.1057963e-04 1.8672590e-04 4.0236958e-03 1.2508115e-02 1.6342456e-04
 6.0396170e-04 6.3246593e-04 2.3179483e-02 8.1731188e-01 4.8436478e-04
 7.1076327e-03 4.4170925e-03 1.4561283e-02 5.3473413e-03 7.6175317e-02
 3.0702846e-03 1.8906688e-02 1.1009645e-02]"
5525,開IE會有安全性驗證訊息。  #16391,"網管,網頁,Skype,無法,上網,出現,拒絕,訊息,IE,安全性,驗證,訊息",12,商務用Skype,16,連網頁/Skype,"[0.00270974 0.00152166 0.0133212  0.01790612 0.00151334 0.00482228
 0.00187113 0.07209399 0.06699929 0.00227551 0.03875547 0.0206755
 0.31560197 0.05873881 0.00460793 0.00750404 0.12993087 0.23915116]"
13971,無法連，ERROR:通訊協定錯誤，分機17327,"網管,QCO,雲端,連線,無法登入,無法,ERROR,通訊,協定,錯誤",12,商務用Skype,3,QCO,"[0.00160022 0.00123808 0.01687875 0.02616642 0.00102253 0.00273609
 0.00166998 0.09958052 0.01867982 0.00151677 0.0038763  0.03383645
 0.3612987  0.01855937 0.00176886 0.00661507 0.28329486 0.1196612 ]"
1027,今日發生寄信給客戶端的e-mail，會有例如以下的無法傳遞之訊息，但是客戶端是有收到e-mail的，如此便無法判別是否正常寄信給客戶端，麻煩協助！謝謝  --------  傳遞至下列收件者或群組失敗:  candy.chao@hp.com  將此郵件傳送到這個電子郵件地址時發生問題。請嘗試重新傳送此郵件。如果問題持續發生，請連絡支援人員。    系統管理員的診斷資訊:    產生的伺服器: mx01.quantatw.com    candy.chao@hp.com  #< #5.0.0 smtp; 5.1.2 - Bad destination host ''Multiple DNS queries were attempted and failed: DNS Hard Error looking up smtp.hp.com (A): NXDomain'' (delivery attempts: 0)> #SMTP#,"網管,Outlook,郵件,郵件,傳送,追蹤,收到,退信,訊息,今日,發生,寄信,客戶端,mail,無法,傳遞,訊息,客戶端,收到,mail,無法,判別,是否,正常,寄信,客戶端,傳遞至,下列,收件,群組,失敗,將此,郵件,傳送到,電子郵件地址,發生,嘗試,傳送,郵件,持續,發生,支援,人員,系統,管理員,診斷,資訊,產生,伺服器,mx01,quantatw,com,5.0,smtp,5.1,Bad,destination,host,Multiple,DNS,queries,were,attempted,and,failed,DNS,Hard,Error,looking,up,smtp,hp,com,NXDomain,delivery,attempts,SMTP",10,其他,2,Outlook與郵件,"[0.00899341 0.00803469 0.11412916 0.06090724 0.00861501 0.01268067
 0.00963564 0.02732324 0.16379148 0.01464497 0.19142085 0.01995114
 0.09508395 0.08139285 0.07121116 0.01048187 0.04122442 0.06047822]"
12637,無法連線工作需要之網頁ˋ，此網頁為Apple MFI 認證之網頁，所有認證程序都須連上此網頁才能執行。 今天許多需要做認證的單位同時反映此網站無法連線(上禮拜連線均正常)。但關掉Proxy，使用自己個人網路分享可以連上並登錄。 請協助確認並開放此網站連線功能正常，感謝。 https://idmsa.apple.com/,"網管,網頁,Skype,無法,上網,出現,無法顯示,網頁,無法,連線,工作,需要,網頁,網頁,Apple,MFI,認證,網頁,認證,程序,都須,連上,網頁,執行,許多,需要,認證,單位,反映,網站,無法,連線,連線,正常,關掉,Proxy,使用,網路,分享,連上,登錄,確認,開放,網站,連線,功能,正常",8,作業系統與印表機,16,連網頁/Skype,"[5.4181792e-04 2.8904813e-04 6.0673733e-03 9.5404219e-03 3.6570482e-04
 1.5663153e-03 8.5535372e-04 1.2102536e-02 8.2980651e-01 7.6477294e-04
 1.6402764e-02 3.0646485e-03 1.3557250e-02 9.5867272e-03 7.1330830e-02
 2.3340189e-03 1.0471360e-02 1.1352645e-02]"
9640,客人寄過來的附件，無法開啟(excel檔),"網管,Outlook,郵件,Outlook,附件,無法開啟,客人,寄過,附件,無法開啟,excel",3,QCO,2,Outlook與郵件,"[5.4365926e-04 1.1650734e-03 8.9313224e-02 8.4103733e-01 4.2353274e-04
 3.9709621e-04 9.0778503e-04 1.9217435e-02 2.5614668e-03 9.1374601e-04
 4.6237647e-03 7.8226486e-03 1.1000176e-02 4.1041160e-03 6.2158643e-03
 6.5977644e-04 5.2425978e-03 3.8506922e-03]"
13736,"用file zilla 抓測試檔案,,office scan 一直跳出病毒偵測,不知是有檔案遺失  需要請管office scan的MIS 查看是否設定哪裡有問題","網管,電腦,防毒,防毒,軟體,操作,防毒,file,zilla,測試,檔案,office,scan,跳出,病毒,偵測,不知,檔案,遺失,需要,請管,office,scan,MIS,查看,是否,設定",12,商務用Skype,17,電腦防毒,"[0.00261568 0.00161018 0.01779394 0.02290191 0.00163303 0.00465348
 0.00221168 0.08057641 0.04051341 0.00224435 0.01583145 0.03461812
 0.3112936  0.04996162 0.00283989 0.00778304 0.21440685 0.18651134]"
11349,"QCO裡面死機,也無法重新啟動,完全動彈不得.  #12566","網管,QCO,操作,設定問題,QCO,裡面,死機,無法,啟動,完全,動彈",12,商務用Skype,3,QCO,"[0.00188451 0.00121114 0.01904581 0.04362245 0.00108893 0.00253442
 0.00188532 0.1478042  0.01559669 0.00164637 0.00384792 0.03071234
 0.34139222 0.0244724  0.00201237 0.00600603 0.24961586 0.105621  ]"
13212,officescan一直被不明程式刪除掉，導致每次重開機都顯示要重新安裝，但都無法安裝成功，安排星期一進安全模式下檢查。#13251,"網管,電腦,防毒,防毒,軟體,操作,防毒,officescan,不明,程式,刪除,導致,每次,重開,機都,顯示,重新,安裝,無法安裝,成功,排進,安全,模式,檢查",12,商務用Skype,17,電腦防毒,"[0.0023568  0.00157766 0.01699297 0.02253613 0.00158761 0.00437307
 0.00217233 0.07926106 0.0363171  0.0021236  0.01268999 0.03671083
 0.3231236  0.04039238 0.00268846 0.00784048 0.237264   0.16999193]"
10145,#16976  outlook中的excel無法開啟,"網管,Outlook,郵件,Outlook,附件,無法開啟,outlook,excel,無法開啟",3,QCO,2,Outlook與郵件,"[5.5008399e-04 1.2106880e-03 1.4681205e-01 7.8952622e-01 4.5413518e-04
 4.1390589e-04 9.0908021e-04 1.4912397e-02 2.3067724e-03 1.0259794e-03
 4.5571043e-03 7.1374523e-03 1.0800089e-02 4.4451086e-03 6.8663321e-03
 6.3910987e-04 4.1714543e-03 3.2619743e-03]"
8988,MYTCGW 連不上,"網管,QCO,雲端,連線,無法登入,MYTCGW,連不上",12,商務用Skype,3,QCO,"[0.00244808 0.0013045  0.01666906 0.03333191 0.00127735 0.00332251
 0.00182455 0.12907362 0.02746857 0.00188884 0.01597984 0.02392366
 0.35523456 0.04975155 0.00296714 0.00612344 0.14309677 0.18431404]"
6601,#17460  無法與重慶的同仁傳送訊息,"網管,網頁,Skype,Skype,連線,Skype,連線,登入,無法,重慶,同仁,傳送,訊息",8,作業系統與印表機,16,連網頁/Skype,"[1.0760986e-04 6.7625828e-05 1.6895216e-03 3.7929101e-03 6.7858084e-05
 2.5984691e-04 3.0299675e-04 9.2527214e-03 9.3066442e-01 2.0038571e-04
 2.5061981e-03 1.7442162e-03 6.1239135e-03 2.3082462e-03 2.7302546e-02
 1.2176260e-03 8.5747773e-03 3.8166915e-03]"
15776,"雲端登入後無反應, 停留在歡迎畫面","網管,QCO,雲端,連線,登入,畫面,雲端,登入,反應,留在,歡迎,畫面",16,連網頁/Skype,3,QCO,"[0.00150387 0.00239541 0.04762398 0.07251406 0.00178981 0.00283403
 0.00372154 0.132266   0.01767376 0.00173951 0.00234673 0.06181715
 0.19040334 0.01413192 0.00223589 0.01018879 0.37470508 0.06010912]"
9839,"開啟outlook後，畫面常出現windows安全性視窗，視窗文字內容為""連線至officeclient.microsoft.com的proxy伺服器""，需要輸入帳號密碼，但輸入工作機帳號密碼無效，視窗依舊出現。","網管,QCO,Outlook,Outlook,異常,開啟,outlook,畫面,出現,windows,安全性,視窗,視窗,文字,內容,連線至,officeclient,microsoft,com,proxy,伺服器,輸入,帳號,密碼,輸入,工作,帳號,密碼,無效,視窗,依舊,出現",2,Outlook與郵件,3,QCO,"[0.00067419 0.00177693 0.6292003  0.28751236 0.00069981 0.00071971
 0.00149531 0.01693952 0.00473645 0.00128582 0.00801039 0.01015854
 0.01354788 0.00397091 0.00520111 0.00133392 0.00724467 0.0054921 ]"
4971,"18362 , 出現錯誤訊息 , 沒有權限 , 剛換新電腦","網管,Outlook,郵件,Outlook,Outlook,點不開,出現錯誤,訊息,權限,剛換,電腦",3,QCO,2,Outlook與郵件,"[6.2060670e-04 1.4354440e-03 1.5466915e-01 7.7303445e-01 5.0093076e-04
 4.6271211e-04 1.0191279e-03 1.7380968e-02 2.8052854e-03 1.1386039e-03
 6.1422377e-03 7.9402141e-03 1.1771465e-02 4.8370692e-03 6.7629563e-03
 7.2343019e-04 4.7464869e-03 4.0089833e-03]"
11653,"您好，我剛收到的「2012年員工紅利」郵件打不開，出現錯誤訊息""發生了意外的錯誤。請聯絡系統管理員或稍後再試""。請您協助處理問題，謝謝。","網管,解密,郵件,文件,加密,郵件,打不開,無法開啟,薪資單,收到,2012,紅利,郵件,打不開,出現錯誤,訊息,發生,意外,錯誤,系統,管理員,稍後,再試,請您",16,連網頁/Skype,11,加解密郵件/文件,"[0.00156442 0.00334374 0.10925855 0.11695237 0.00242497 0.00246043
 0.00461775 0.11287495 0.02677503 0.00212179 0.00288626 0.07617316
 0.15063861 0.01537875 0.00393336 0.01101615 0.31422013 0.04335966]"
7158,"今天雲端outlook 異常, 收郵件時, 無法收到設定的pst 檔下, 另外, 發送郵件一直失敗","網管,QCO,Outlook,Outlook,異常,雲端,outlook,異常,郵件,無法,收到,設定,pst,檔下,送郵,失敗",2,Outlook與郵件,3,QCO,"[5.3253167e-05 2.5503177e-04 9.7855979e-01 1.4072767e-02 6.6370965e-05
 9.1921211e-05 1.4661621e-04 1.1595238e-03 3.7547387e-04 1.3110669e-04
 7.1036664e-04 8.0141134e-04 1.2464201e-03 3.6688623e-04 8.2746299e-04
 1.1589827e-04 6.9726293e-04 3.2244972e-04]"
8971,使用者反應  用windows8似乎無法使用VPN  想用測試機連回公司網域,"網管,VPN,連線,SSLVPN,無法登入,windows8,似乎,無法使用,VPN,想用,測試,機連回,公司,網域",12,商務用Skype,7,VPN連線,"[0.00204782 0.00133805 0.01120564 0.01391931 0.00116595 0.00401131
 0.00167281 0.06223765 0.05403379 0.00191169 0.02648678 0.02228213
 0.36998755 0.03810971 0.00360997 0.00809146 0.13610163 0.24178676]"
9045,#13902  無法開啟加密文件,"網管,Outlook,郵件,Outlook,附件,無法開啟,無法開啟,加密,文件",3,QCO,2,Outlook與郵件,"[5.0922821e-04 1.0848258e-03 8.9891009e-02 8.4294307e-01 3.9161759e-04
 3.7056400e-04 8.5041468e-04 1.9076362e-02 2.4209779e-03 8.4649451e-04
 4.1679088e-03 7.6641198e-03 1.0603020e-02 3.8110421e-03 5.9324121e-03
 6.4020848e-04 5.1243771e-03 3.6722973e-03]"
