description,category_a,category_b,category_c,category_d,category,description_clean,category_target
"PO 1900083789已生成,但無法download及預覽內容.謝謝!",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,po 已生成但無法download及預覽內容,0
"MRO APP0495106虽已签核完毕，但无法生成PO的问题,  請協助手動轉出PO.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,BPM平台系統,mro app06雖已簽核完畢但無法生成po的問題  手動轉出po,0
"採購單號 APP0495106 , PO已經生成,但查不到PO資料. Thanks to your help in advance.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,採購單號 app06  po已經生成但查不到po資料.  to your help in advance,0
使用者反應無法進行開單作業，請協助處理，謝謝,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,無法進行開單作業,0
因重覆多填一筆資料請協助抽單:  單號: APP0301514  EXT:11091,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,因重覆多填一筆資料抽單  單號 app14,0
列印資料會產生錯誤  分機:17605,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,列印資料會產生錯誤,0
該單號APP0191183 已簽核，但會計部門卻看不到這個單子已簽核，無法付款  煩請幫忙處理 #12516,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,該單號app83 已簽核但會計部門卻看不到單子已簽核無法付款,0
BPM資料無法上傳,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,bpm資料無法上傳,0
PO編號:1900076847  請幫忙修改發票費用申請稅額:  50000 稅額:2500  30000 稅額:1500  8000    稅額:400  5000    稅額:250,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,po編號  發票費用申請稅額   稅額   稅額      稅額400      稅額250,0
"orcad所申請的電腦名稱與目前使用電腦名稱不同,不確定是不是這樣導致orcad無法使用",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,R&D資訊系統,orcad所申請的電腦名稱與目前使用電腦名稱不確定是導致orcad,1
oracd出現error(error message: only use less than 60 components),R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,R&D資訊系統,oracderror message only use less than 60 components,1
之前ORCAD 就常常因為帳號滿   每天要登入多次才能上去 大約花1-2小時   現在 要登入太困難 已經整整3天沒法登入   無法修改線路 案子嚴重延後   請幫忙解決,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,R&D資訊系統,之前orcad 就帳號滿   每天要登入 花12小時   現在 要登入太困難 已經整整3天沒法登入   無法線路 案子嚴重延後,1
"因我電腦重灌，原本是win7 32bit，現在是64bit，所以我重新安裝Orcad軟體，但我連上去一直出現""unable to contact license server""，在開檔案前我也有先連上SSLVPN，目前的我灌的版本是10.5版，我也是依照SOP來做，麻煩協助處理。",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,R&D資訊系統,因我電腦重灌原本是win7 32bit現在是64bit我重新安裝orcad軟體但我連出現unable to contact license server在開檔案前我也有先連上sslvpn目前的我灌的版本是10.5版我也是sop來做,1
分機18475，要在my quanta上發布公告,R&D資訊系統,廣達入口網站【MyQuanta】,【SDA】SDA知識管理平台,資料上傳/下載問題詢問,R&D資訊系統,要在my quanta上發布公告,1
"我無法使用Pro-E登入PDM WINDCHILL 的server,  我和其他同事確認過網址是http://myplm.quanta.corp/Winchill/ 是相同的.  但無論是用IE或是Pro-E都登不進去.",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,R&D資訊系統,我proe登入pdm windcll 的server  我和過網址是 是相同的.  但是用ieproe都登不進去,1
"急~~~我的Pro-E 4.0 無法開啟了, Pro-E訊息上告知是licensing error 26找不到.  請問是否Sever 有問題還是我本機設定有問題? 麻煩協助~~~~謝謝~",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,R&D資訊系統,急我的proe 4.0 了 proe訊息上告知是licensing error 26.  請問是否sever 有問題我本機設定有問題 協助,1
Or CAD 軟體常常當掉，每天幾乎都會當掉一次，當掉之後，就連不進去。  ext:13817,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,R&D資訊系統,or cad 軟體當掉每天都會當掉一次當掉之後就連不進去,1
分機11288，autoCAD無法使用,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,R&D資訊系統,autocad,1
MYQUANTA無法登入,R&D資訊系統,廣達入口網站【MyQuanta】,【SDA】SDA知識管理平台,系統無法登入,R&D資訊系統,myquanta,1
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,R&D資訊系統,電腦重灌後需要重灌orcad,1
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,R&D資訊系統,電腦重灌後需要重灌orcad,1
ORCAD無法執行，出現ERROR(LMF-02004)的視窗。,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,R&D資訊系統,orcad無法執行lmf的視窗,1
昨晚開始一直無法開啟OrCAD，提示為無License權限，因線路設計在即，再煩請幫忙確認處理，感謝！,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,R&D資訊系統,昨晚orcad提示為無license權限因線路設計在即再,1
#381-11674    BPM的零用金申請單無法使用.,BPM平台系統,管理類相關服務,零用金申請單,相關操作詢問,BPM平台系統,bpm的零用金申請單,0
11413 BPM會計零用金申請單 會跳出錯誤訊息(網路問題) 有點急,BPM平台系統,管理類相關服務,零用金申請單,系統無法登入,BPM平台系統,bpm會計零用金申請單 會跳出錯誤訊息網路問題,0
QITS Analysis 期待新增一個圖表: Opened / Cloased Trend  X-Axis: Time (Day / Weekly / Month)  Y-Axis: Opened / Closed 數量,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,qits analysis 期待新增一個圖表 opened / cloased trend  xaxis time day / weekly / month  yaxis opened / closed 數量,1
"LCBU - QITS 的 ticket 有一個 button 叫做 ""Add Status""。請問是否等同 Add Comment 功能?  另外可否 Add Status 之後，讓系統自動發通知信? 謝謝",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,lcbu  qits 的 ticket 有一個 button 叫做 add status請問是否等同 add comment 功能  可否 add status 之後讓系統自動發通知信,1
"以目前設計FOR SIT1 QITS的設計而言，""Platform found'' 欄位，在create new issue 時，一但按下了""save""之後，此欄位即成為不可變更內容的欄位  但內部memeber有遇到過不小心誤按了，save之後，發現這個欄位還有需要修正時  只能把issue disable掉重發一個新的issue    但這個欄位對我們issue的分類而言，可以幫助我們確認是哪個案子的issue  所以想要確認是否有機會把這個platform found 改為可重新modify的欄位",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,以目前設計for sit1 qits的設計platform found'' 欄位在create new  時一但按下了save之後此欄位即成為不可變更內容的欄位  但內部memeber有遇到過不小心誤按了save之後發現欄位時  只能把 disable掉重發一個新的    但欄位對的分類可以幫助是案子的  想是否有機會把platform found 改為可重新modify的欄位,1
"QITS 系統進入後，一點選""home"" 或是其它任何的功能鍵，皆會出現 ""''/CORE_QITS'' 應用程式中發生伺服器錯誤。"" 等錯誤訊息  無法使用",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,qits 系統進入後一點選home 的功能鍵皆會出現 ''/core_qits'' 應用程式中發生伺服器錯誤 等錯誤訊息,1
QITS無法登入!!  都會直接顯示找不到此工號,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,qits  都會直接顯示此,1
Pls help crate in QITS sys in “ platfrom-chipset “ side : Rockchip RK3288,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,pls help crate in qits sys in “ platfromcpset “ side  rockcp rk,1
ZQ0/ZQ0B_BDW 專案無法啟用,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,zq0/zq0b_bdw 專案無法啟用,1
crate ZAT&ZAY project name 點選Start出現錯誤,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,crate zatzay project name 點選start,1
"NB4 & NB7 一起合作NB4 Z8A 這個案子, 請幫忙讓nb7 RD 從QITS系統上看到issue, 謝謝  NB7 RD Eric Lai (賴博文) / Joe Chen (陳昱宏)/ Andy Wang (王信智)",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,nb4  nb7 一起合作nb4 z8a 案子 讓nb7 rd 從qits系統上看到   nb7 rd   /  陳昱宏/,1
"請幫忙評估是否可以在 Assign verify 的人員選單那邊, 新增QCMC人員 英文名字搜尋",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,評估是否可以在 assign verify 的人員選單 新增人員 英文名字搜尋,1
Assign Owner頁面新增QCMC Mail cc選項,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,assign owner頁面新增 mail cc選項,1
"沒辦法看到一開始發issue 的人是誰, 需要等到退issue的時候, 才能知道  名字顯示都是""Tester""  造成issue Tracking 時的困擾, 沒辦法知道開bug的人是誰,  (QCMC 那邊開的issue)    例如:  http://citrixgw/CORE_QITS/PROGRAM/ITS_Issue_Form.aspx?APPLID=BLY-0118",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,沒辦法看到一發 的人是誰 需要退的 知道  名字顯示都是tester  造成 tracking 時的困擾 沒辦法知道開bug的人是誰   開的,1
新增2015年AMD 平台入QITS,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,新增年amd 平臺入qits,1
增加 Intel Braswell  平台在QITS選項,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,增加 inbraswell  平臺在qits選項,1
Can''t display MS8 Issue on Home Page.   初步懷疑是MS8在Nb3rd1 and Nb3rd2都有所導致 是否能將Nb3rd2的MS8刪除  謝謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,can''t display ms8  on home page.   初步懷疑是ms8在nb3rd1 and nb3rd2都有所導致 是否能將nb3rd2的ms8刪除,1
NB3RD1整個department不見 由於案子正在run 請麻煩幫忙盡快處理 感謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,nb3rd1整個department不見 案子run 請幫忙,1
Nb3rd1 Project can''t be closed. Please help to confirm it. TKS,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,nb3rd1 project can''t be closed. please help to confirm it. tks,1
"在送出表單時, 瀏覽器出現  有潛在風險, 且一直無法送出表單. 請幫忙處理, 謝謝",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,BPM平台系統,在送出表單時 瀏覽器出現  有潛在風險 且無法送出表單.,0
#16678  BPM 資訊需求申請單 單號1700008807 被業務要求串簽兩位主管   10009065 Alan Chang (張耀文)  10202016 Richard Liu (劉玉成)  請協助設定,BPM平台系統,資訊類相關服務,資訊需求申請單,關卡流程詢問,BPM平台系統,bpm 資訊需求申請單 單號 被業務要求串簽兩位    alan chang       設定,0
"Hi, 我是MIS的PETER，我有一張資訊需求申請單，A1101633，好像卡住了，無法送出或更新，請幫忙看一下，謝謝!",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,BPM平台系統,我是mis的peter我有一張資訊需求申請單a33卡住了無法送出或更新看一下,0
"要申請SAP帳號 ,  資訊需求申請單不知選擇哪個項目",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,BPM平台系統,要申請sap帳號   資訊需求申請單不知選擇項目,0
BPM介面變英文、是否有選項改回中文？謝謝,BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,BPM平台系統,bpm介面變英文是否有選項改回中文,0
"1800010840 該單號流程到user處 , 但user看不到這張單 , 無法簽核",BPM平台系統,資訊類相關服務,資訊需求申請單,關卡流程詢問,BPM平台系統,該單號流程  但看不到這張單  無法簽核,0
"單號:APP0117021, User 申請一次,但我收到需要簽核三次",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,BPM平台系統,單號app21  申請一次但我收到需要簽核三次,0
資訊需求申請單無法點開,BPM平台系統,資訊類相關服務,資訊需求申請單,系統無法登入,BPM平台系統,資訊需求申請單無法點開,0
qci -> sap -> change group id -> 新增 然後就掛掉了......exception,BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,BPM平台系統,qci  sap  change group id  新增 就掛掉了......exception,0
#12062  未設定過，但整個BPM系統自動轉換為英文語系，請問如何切換回中文語系。,BPM平台系統,資訊類相關服務,資訊需求申請單,系統無法登入,BPM平台系統,未設定過但整個bpm系統自動轉換為英文語系請問切換回中文語系,0
"開啟ORCAD後, 會當住, 無反應, 無法使用",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,R&D資訊系統,開啟orcad後 會當住 無反應,1
"已經申請借PRO/E License  並完成簽核 ,但實際上機台是無法借到License ,正常系統可以借14天 , 但機台顯示只能借5天 .",R&D資訊系統,設計相關服務,【Windchill】共用零件庫及Pro/E圖檔管理系統,相關操作詢問,R&D資訊系統,已經申請借pro/e license  並完成簽核 但實際上機台是無法借到license 正常系統可以借14天  但機台顯示只能借5天,1
"因為填錯收料地點,導致無法收料,但PO已經產生,  請問是否有辦法將PO作廢?",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,填錯收料地點導致無法收料但po已經產生  請問是否有辦法將po作廢,0
"發票費用作業時,網頁出現錯誤,只選取了第一個項目,請協助取消發票重新作業!  發票號碼如下:  ZC90837742  ZC90837743",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,發票費用作業時網頁只選取了第一個項目取消發票重新作業  發票號碼  zc  zc,0
"選擇 QCI 收料時,會出現""請會同倉庫人員於收料碼頭做收料"", 而無法進行收料作業,  但我採購的物品為測試報告,並非是物品.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,選擇 qci 收料時會出現請會同倉庫人員於收料碼頭做收料 而無法進行收料作業  但我採購的物品為測試報告是物品,0
"發票作業時,填完所有資訊之後,按儲存時會出現""請款稅額需等於發票金額加總*PO稅額,  我確認過後發現我輸入的應該是正確的. 相關資訊如下:    PO編號          PO項次   GR單號        GR編號 品名          採購總額(未稅) 採購總量 採購稅額 幣別      數量           驗收金額(未稅) 驗收單號   1900111212 00010   6000066130 00010 New Report 70000.00            1.00      3,500.00 TWD  1.000000  70000.000000  APP0600806",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,發票作業時填完所有資訊之後按儲存時會出現請款稅額需等於發票金額加總po稅額  過後發現我輸入的應該是正確的. 相關資訊    po編號          po項次   gr單號        gr編號 品名          採購總額未稅 採購總量 採購稅額 幣別      數量           驗收金額未稅 驗收單號         new report .00            1.00      3500.00 twd  1.0  .0  app06,0
"在BPM系統發票作業(費用或分期付款),  出現了”發票稅額需等於本次請款稅額”,  但我核對了一下發現我輸入的稅額並沒有錯誤!    PO單號:1900076847",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,在bpm系統發票作業費用或付款  出現了”發票稅額需等於本次請款稅額”  但我核對了一下發現我輸入的稅額有錯誤    po單號,0
"我是BU9 工號96062501的李偉嘉,但系統會自動將我登入成BU12 楊怡娟....",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,我是bu9 的李偉嘉但系統會自動將我登入成bu12 ...,0
系統使用異常，會報error,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,系統使用異常會報error,0
BPM系統錯誤,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,bpm系統錯誤,0
"在BPM點選 PO結案 會出現錯誤畫面,",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,在bpm點選 po結案 會畫面,0
"PO單號：1900074851, 發票作業無法儲存",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,po單號 發票作業無法儲存,0
APP0505159與APP0505172單號異常  分機: 12387,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,app59與app72單號異常,0
"KEY單完成,傳送出去時,出現錯誤訊息:500, 煩請確認處理.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,key單完成傳送出去時訊息500,0
"MRO 無法簽核, 1600022422  #15743",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,BPM平台系統,mro 無法簽核,0
主管已簽核，但是簽核時間沒顯示出來，且最後資訊(pinfo?)也無產生,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,已簽核簽核時間沒顯示出來且最後資訊pinfo也無產生,0
PO單的部分無法簽核,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,BPM平台系統,po單的部分無法簽核,0
"PO 1900088924, 申請展延後就消失了。",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,po  申請展延後就消失了,0
MRO畫面進不去    #385-31123,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,BPM平台系統,mro畫面進不去,0
同事徐珮雯#91121608請假8/15~8/25，未設代理人簽核，請幫忙設代理人---楊惠菀#96080612，謝謝。,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,請假8/158/25未設代理人簽核設代理人,0
諮詢Share Point使用操作以及申請問題,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,資料上傳/下載問題詢問,R&D資訊系統,諮詢share point使用操作,1
嘗試編輯位於文件庫中的 excel 文件時，發生「「編輯文件」需要與 Windows SharePoint Services 相容的應用程式」錯誤,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,資料上傳/下載問題詢問,R&D資訊系統,嘗試編輯位於文件庫中的 excel 文件時發生「「編輯文件」需要與 windows sharepoint services 相容的應用程式」錯誤,1
"http://myquanta/department/A7/DocLib/Forms/AllItems.aspx?RootFolder=/department/A7/DocLib/MRO(T_R Material)&FolderCTID=0x01200050E98750F85E754E9FF9F2FFB7BBBEBB    在上列網址,無法修改或下載檔案  開啟檔名 MRO-JAN 20100104 的檔案會一直顯示唯讀 無法編輯",R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,資料上傳/下載問題詢問,R&D資訊系統,materialfolderctid0xef85e754e9ff9f2ffb7bbbebb    在上列網址無法或下載檔案  開啟檔名 mrojan  的檔案會顯示唯讀 無法編輯,1
myquanta search ERROR 搜尋要求無法連線到 Search Service。,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,系統無法登入,R&D資訊系統,myquanta search error 搜尋要求無法連線到 search service,1
連線mybpm出現無法顯示網頁,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,系統無法登入,R&D資訊系統,連線mybpm出現無法顯示網頁,1
智權組在myquanta資訊共用資料夾又不見了。  EXT:13484,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,系統無法登入,R&D資訊系統,智權組在myquanta資訊共用資料夾又不見了,1
"16316 , 從MyQuanta進入IntraSystem點選BPM ICON沒有反應 其他的都OK,",R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,系統無法登入,R&D資訊系統,從myquanta進入intrasystem點選bpm icon沒有反應 的都ok,1
myquanta 的內部系統無法開啟bpm或放行單,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,系統無法登入,R&D資訊系統,myquanta 的內部系統bpm或放行單,1
SharePoint，excel無法匯入,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,資料上傳/下載問題詢問,R&D資訊系統,sharepointexcel無法匯入,1
Proe在Myquanta上的word檔無法進行預覽 #12268,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,資料上傳/下載問題詢問,R&D資訊系統,proe在myquanta上的word檔無法進行預覽,1
無法進myquanta,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,系統無法登入,R&D資訊系統,無法進myquanta,1
TDM系統無法使用,R&D資訊系統,廣達入口網站【MyQuanta】,【DGS】標準設計資訊分享平台,系統無法登入,R&D資訊系統,tdm系統,1
請幫忙建立新的 Class SubClass,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,R&D資訊系統,建立新的 class subclass,1
Daisy Yu (于溪臣) SIT-QSMC测试三部测试二课  device Import Excel 發生錯誤  請協助,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,R&D資訊系統,daisy yu 於溪臣 sit測試三部測試二課  device import excel 發生錯誤,1
"第一次匯入資料 6百多筆, 因為一筆一筆上傳圖片需要大量人力 加上 系統緩慢!  希望可以請mis幫忙上傳  或是有批次上傳功能",R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,R&D資訊系統,第一次匯入資料 6百多筆 一筆一筆上傳圖片需要大量人力  系統緩慢  希望可以請mis幫忙上傳  有批次上傳功能,1
他們2個 如果開 下面畫面 就要2.5分鐘左右    leo lin  http://qcicore01/QDSM/Program/QDSM_Device_Maintain.aspx?SERNUM=710&DEVTYP=51&ATPATH=AUCD00.JPG&Dept=SIT3    Daisy Yu  http://qcicore01/QDSM/Program/QDSM_Device_Maintain.aspx?SERNUM=17525&DEVTYP=51&ATPATH=&Dept=QSMC-NB3-RD2,R&D資訊系統,測試相關服務,【QDSM】測試設備預約管理系統,相關操作詢問,R&D資訊系統,2個 開 下麵畫面 就要2.5分鐘左右          daisy yu,1
新申請電腦給調任回台的處長，人事異動申請流程已簽核完成兩天，但填電腦申請單時所顯示成本單位代碼不是正確的,BPM平台系統,資訊類相關服務,資訊需求申請單,關卡流程詢問,BPM平台系統,新申請電腦給調任回台的處長人事異動申請流程已簽核完成兩天但填電腦申請單時所顯示成本單位代碼正確的,0
