description,category_a,category_b,category_c,category_d,category
"1. Issue Status秀出來的文字裡面,出現斷行符號,但實際上看不到斷行效果  2. Issue assign出去時,會有通知信告知issue owner,但現在都會漏信,很多人反應都收不到通知",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"QCMC那邊的測試人員反應無法使用QITS系統,原本NB7的使用權限被刪除,如附件一  另外原本已被刪除的權限,現在又跑出來,如附件二  麻煩儘快幫忙處理",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
Chris Wu (吳振瑋)  新增 BU3 bios   人員,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
Please help create new platform-Chipset “AMD Richland”.,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"QITS -> Analysis -> Issue Type Solving Time  會出現錯誤: ""The ''STATUS'' parameter is missing a value """,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
QITS 建立外部帳號，外部帳號開通後，從 e-mail 提示的 URL 連 QITS 會出現伺服器錯誤  不知道是否跟操作環境有關，有 screenshot 可供參考,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
LCBU-QITS 申請開通 Analysis 功能。  目前 LCBU-QITS 系統缺少 Analysis button 及功能，請協助 enable it，謝謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
使ECN:E200510-0770尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP
298   MM02   quanta PN#   Sales view  沒有maintain  quanta PN#: FAQN9001011    分機: 2649,SAP-2X8(QSMC),SD,Master Data,Sales view maintain,SAP
"USER反應ECN已經到SAP168,但在SAP268還找不到資料,煩請相關同仁協助處理.",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP
資料送不過去EC系統,SAP-2X8(QSMC),PP,ECN,放量,SAP
E200509-4814   FBS04001016应变为FR状态,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP
"新增customer 資料,送出後看不到付款方式",SAP-2X8(QSMC),SD,Master Data,Customer issue,SAP
希望使ECN：E200509-3959，E200510-0181 尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP
"User 反應 218端BOM 用量不對,料號3123MMB00B5,請速連繫# 3158",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP
MRO系統 收料時出現錯誤。,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
"APP0247060 該同仁98100545 吳敏浩已離職,但無法回覆至非驗收狀態,煩請協助取消驗收,,謝謝!!",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
MRO2單無權限開啟。分機：213931,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統
發票作業無法進行,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
"#16750, 無法送出，連線逾時",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
MRO簽核金額  WEP PO下單金額 ，已先與WEBPO系統 Owner Detoun Chen做詢問但沒結果，開單請求協助，謝謝．  提供異常MRO單號::1800027021(PO no.:1710054610)及1600019395(PO no.:1910026171),BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
操作問題詢問,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
key了發票無法儲存,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
在送出MRO申請單時，出現部門分攤比例不可大於100%，但實際加總為100%  分機：17292,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
"PO 1900083789已生成,但無法download及預覽內容.謝謝!",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
"MRO APP0495106虽已签核完毕，但无法生成PO的问题,  請協助手動轉出PO.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統
"採購單號 APP0495106 , PO已經生成,但查不到PO資料. Thanks to your help in advance.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
使用者反應無法進行開單作業，請協助處理，謝謝,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
因重覆多填一筆資料請協助抽單:  單號: APP0301514  EXT:11091,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
列印資料會產生錯誤  分機:17605,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
該單號APP0191183 已簽核，但會計部門卻看不到這個單子已簽核，無法付款  煩請幫忙處理 #12516,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統
BPM資料無法上傳,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
PO編號:1900076847  請幫忙修改發票費用申請稅額:  50000 稅額:2500  30000 稅額:1500  8000    稅額:400  5000    稅額:250,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
user無法更改IE裡的porxy設定，以致無法上網,網管,網路,,,網路
User出國９天後回來網路就完全不通，請MIS人員協助。分機 #12364,網管,網路,,,網路
"插上網路線後一直在認證,無法使用  而無線網路搜尋得到, 但是無法登入",網管,網路,,,網路
該經理工號: 95082103 要有連到QCI http://qciewcweb/workethic/Workethic.aspx 及上 internet 的權限,網管,網路,,,網路
user無法上網，網路孔:A305,網管,網路,,,網路
NB4 transfer NB7 Want to link customer work station (for other colleagues),網管,網路,,,網路
開啟ie會顯示「网络访问消息:: 不能显示此页」。開啟公司Myehr會跳「Sys. WebForms.PageRequestManagerServerErrorException: An unknown error occured while processing the request on the server. The status code returned from the server was: 500」,網管,網路,,,網路
NB4 transfer NB7  Want to link customer work station,網管,網路,,,網路
康達館 B3 無線網路不能用,網管,網路,,,網路
可以連上公司內部網路，無法連上公司外部網路 #17995,網管,網路,,,網路
User對外網路不通,網管,網路,,,網路
"可以連公司內部網路,無法連接外部網路ex:Intel,請幫忙處理,謝謝~",網管,網路,,,網路
無法上網，不斷驗證#15579,網管,網路,,,網路
"網路不通,網路孔號碼A397PQ07請幫忙,謝謝!",網管,網路,,,網路
"連外部網路, 時好時壞的....",網管,網路,,,網路
"user是新人,欲申請新的SAP帳號,詢問相關操作問題",SAP-168(QCI),其它,,其他,SAP
"orcad所申請的電腦名稱與目前使用電腦名稱不同,不確定是不是這樣導致orcad無法使用",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統
oracd出現error(error message: only use less than 60 components),R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統
之前ORCAD 就常常因為帳號滿   每天要登入多次才能上去 大約花1-2小時   現在 要登入太困難 已經整整3天沒法登入   無法修改線路 案子嚴重延後   請幫忙解決,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統
"因我電腦重灌，原本是win7 32bit，現在是64bit，所以我重新安裝Orcad軟體，但我連上去一直出現""unable to contact license server""，在開檔案前我也有先連上SSLVPN，目前的我灌的版本是10.5版，我也是依照SOP來做，麻煩協助處理。",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統
分機18475，要在my quanta上發布公告,R&D資訊系統,廣達入口網站【MyQuanta】,【SDA】SDA知識管理平台,資料上傳/下載問題詢問,資訊系統
"我無法使用Pro-E登入PDM WINDCHILL 的server,  我和其他同事確認過網址是http://myplm.quanta.corp/Winchill/ 是相同的.  但無論是用IE或是Pro-E都登不進去.",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統
"急~~~我的Pro-E 4.0 無法開啟了, Pro-E訊息上告知是licensing error 26找不到.  請問是否Sever 有問題還是我本機設定有問題? 麻煩協助~~~~謝謝~",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,資訊系統
Or CAD 軟體常常當掉，每天幾乎都會當掉一次，當掉之後，就連不進去。  ext:13817,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統
分機11288，autoCAD無法使用,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統
無法使用，分機16656,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統
MYQUANTA無法登入,R&D資訊系統,廣達入口網站【MyQuanta】,【SDA】SDA知識管理平台,系統無法登入,資訊系統
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,資訊系統
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,資訊系統
ORCAD無法執行，出現ERROR(LMF-02004)的視窗。,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統
昨晚開始一直無法開啟OrCAD，提示為無License權限，因線路設計在即，再煩請幫忙確認處理，感謝！,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統
目前人在QSMC出差 需要查QSMC庫存  請幫忙遠端安裝SAP軟體  謝謝,SAP-2X8(QSMC),Basis,帳號,新申請,SAP
Password似乎有問題無法進SAP208，麻煩處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
268在第二層LOGIN無法順利登入   分機:15820,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
sap 208 無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
SAP操作錯誤 #(381) 12177,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
無法登入，#12387,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
無法連線 #382-45435,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
268 logon fail,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
208帳號無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"同仁SAP 268顯示他帳號已經logon 無法再次login, 煩請協助處理",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"MYQUANTA的內部應用看不到SAP Icon ,之前可以看.user目前人在大陸",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"到My Quanta 內部應用系統,無法登入SAP~請幫忙",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
分機382 72300,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
使用者已裝了cirtix，但無法在內部應用系統的網頁中看到SAP的icon,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
分機:17989,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
無法logon CSAP23,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
user登入SAP後無法動作.,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
"帳號被Lock,請協助處理,謝謝",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
"SAP帳號87042501,無法登入，分機17727",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
密碼輸入錯誤被鎖住  請協助幫忙,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
sap帳號申請,SAP-168(QCI),Basis,帳號,新申請,SAP
"欲新增SAP帳號, 詢問如何操作, #15732",SAP-168(QCI),Basis,帳號,新申請,SAP
User無法使用原帳號、密碼登入，請MIS人員解決。分機#5327,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
該user 要安裝SAP程式  請協助  分機 18829,SAP-168(QCI),Basis,帳號,新申請,SAP
帳號問題無法使用，使用者人在廣輝聯絡電話38318009,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
"USER反應ES5A無法扣帳,要修改Cost center,煩請相關人員協助處理 (分機3099)",SAP-2X8(QSMC),SD,Sales Process,,SAP
"USER反應EX5A無法扣帳,要修改Cost center,煩請相關人員協助處理 (分機3099)",SAP-2X8(QSMC),SD,Sales Process,,SAP
user跑ZV14單筆去跑可以跑出sales org 但是跑background跑不出資料 請協助處理，之前已經在APP0001247反應過，請再確認是否已經處理完畢。,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP
so fail VA01-Va03 fail,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP
"SAP298出貨,SAP168欲做假收假出的的動作,無法run ZMAW,煩請相關人員協助處理.",SAP-2X8(QSMC),SD,Sales Process,,SAP
BOI的，是用BAPI開SO有帶價格過去，但是在ZN26選了以SO當價格，還是抓不到價格,SAP-2X8(QSMC),SD,Sales Process,Billing issue,SAP
sales BOM無法上傳到SAP。#12670,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP
"user做SO change後按存檔,但系統顯示無法存檔,T-code:VA02",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP
#381-11674    BPM的零用金申請單無法使用.,BPM平台系統,管理類相關服務,零用金申請單,相關操作詢問,資訊系統
11413 BPM會計零用金申請單 會跳出錯誤訊息(網路問題) 有點急,BPM平台系統,管理類相關服務,零用金申請單,系統無法登入,資訊系統
無法連上SAP#17989,SAP-168(QCI),其它,,其他,SAP
使用者無法從SAP上Download資料入本機,SAP-168(QCI),其它,,其他,SAP
帳號被鎖，無法登入，分機:17727,SAP-168(QCI),其它,,其他,SAP
SAP連不到... #15327,SAP-168(QCI),其它,,其他,SAP
"SQ01在別的廠可正常操作,但在CS40卻無法正常使用,煩請相關人員協助處理",SAP-168(QCI),其它,,其他,SAP
"作SAP printer 設定, 會出現權限不足  #18829",SAP-168(QCI),其它,,其他,SAP
登入SSL VPN後    Ctritis  36 登入不了。,SAP-168(QCI),其它,,其他,SAP
user 說要申請NRE 的品號  分機 18829,SAP-168(QCI),其它,,其他,SAP
"uSER 反應SAP帳號無法登入,分機 13761",SAP-168(QCI),其它,,其他,SAP
忘記SAP密碼,SAP-168(QCI),其它,,其他,SAP
sap 無法連線,SAP-168(QCI),其它,,其他,SAP
QITS Analysis 期待新增一個圖表: Opened / Cloased Trend  X-Axis: Time (Day / Weekly / Month)  Y-Axis: Opened / Closed 數量,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"LCBU - QITS 的 ticket 有一個 button 叫做 ""Add Status""。請問是否等同 Add Comment 功能?  另外可否 Add Status 之後，讓系統自動發通知信? 謝謝",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"以目前設計FOR SIT1 QITS的設計而言，""Platform found'' 欄位，在create new issue 時，一但按下了""save""之後，此欄位即成為不可變更內容的欄位  但內部memeber有遇到過不小心誤按了，save之後，發現這個欄位還有需要修正時  只能把issue disable掉重發一個新的issue    但這個欄位對我們issue的分類而言，可以幫助我們確認是哪個案子的issue  所以想要確認是否有機會把這個platform found 改為可重新modify的欄位",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"QITS 系統進入後，一點選""home"" 或是其它任何的功能鍵，皆會出現 ""''/CORE_QITS'' 應用程式中發生伺服器錯誤。"" 等錯誤訊息  無法使用",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
QITS無法登入!!  都會直接顯示找不到此工號,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
Pls help crate in QITS sys in “ platfrom-chipset “ side : Rockchip RK3288,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
ZQ0/ZQ0B_BDW 專案無法啟用,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
crate ZAT&ZAY project name 點選Start出現錯誤,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"NB4 & NB7 一起合作NB4 Z8A 這個案子, 請幫忙讓nb7 RD 從QITS系統上看到issue, 謝謝  NB7 RD Eric Lai (賴博文) / Joe Chen (陳昱宏)/ Andy Wang (王信智)",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"請幫忙評估是否可以在 Assign verify 的人員選單那邊, 新增QCMC人員 英文名字搜尋",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
Assign Owner頁面新增QCMC Mail cc選項,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"沒辦法看到一開始發issue 的人是誰, 需要等到退issue的時候, 才能知道  名字顯示都是""Tester""  造成issue Tracking 時的困擾, 沒辦法知道開bug的人是誰,  (QCMC 那邊開的issue)    例如:  http://citrixgw/CORE_QITS/PROGRAM/ITS_Issue_Form.aspx?APPLID=BLY-0118",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
新增2015年AMD 平台入QITS,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
增加 Intel Braswell  平台在QITS選項,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
Can''t display MS8 Issue on Home Page.   初步懷疑是MS8在Nb3rd1 and Nb3rd2都有所導致 是否能將Nb3rd2的MS8刪除  謝謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
NB3RD1整個department不見 由於案子正在run 請麻煩幫忙盡快處理 感謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
Nb3rd1 Project can''t be closed. Please help to confirm it. TKS,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
"在送出表單時, 瀏覽器出現  有潛在風險, 且一直無法送出表單. 請幫忙處理, 謝謝",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,資訊系統
#16678  BPM 資訊需求申請單 單號1700008807 被業務要求串簽兩位主管   10009065 Alan Chang (張耀文)  10202016 Richard Liu (劉玉成)  請協助設定,BPM平台系統,資訊類相關服務,資訊需求申請單,關卡流程詢問,資訊系統
"Hi, 我是MIS的PETER，我有一張資訊需求申請單，A1101633，好像卡住了，無法送出或更新，請幫忙看一下，謝謝!",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,資訊系統
"要申請SAP帳號 ,  資訊需求申請單不知選擇哪個項目",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,資訊系統
BPM介面變英文、是否有選項改回中文？謝謝,BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,資訊系統
"1800010840 該單號流程到user處 , 但user看不到這張單 , 無法簽核",BPM平台系統,資訊類相關服務,資訊需求申請單,關卡流程詢問,資訊系統
"單號:APP0117021, User 申請一次,但我收到需要簽核三次",BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,資訊系統
資訊需求申請單無法點開,BPM平台系統,資訊類相關服務,資訊需求申請單,系統無法登入,資訊系統
qci -> sap -> change group id -> 新增 然後就掛掉了......exception,BPM平台系統,資訊類相關服務,資訊需求申請單,相關操作詢問,資訊系統
無法登入BPM,BPM平台系統,資訊類相關服務,資訊需求申請單,系統無法登入,資訊系統
#12062  未設定過，但整個BPM系統自動轉換為英文語系，請問如何切換回中文語系。,BPM平台系統,資訊類相關服務,資訊需求申請單,系統無法登入,資訊系統
信件寄出去沒有到寄件匣，請幫忙查看問題 #15645,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"無法打開mail , 連線到伺服器時發生error",網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
15318，享用新版的OUTLOOK,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
outlook的信寄不出去，然後一直出現嘗試連線中,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
分機18056  寄件備份遺失,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"開啟ORCAD後, 會當住, 無反應, 無法使用",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統
廣達首頁無法登入SAP,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
User has questions about new account application,SAP-168(QCI),Basis,帳號,新申請,SAP
#16493 新進同仁要新增帳號,SAP-168(QCI),Basis,帳號,新申請,SAP
user 無法登入 sap168  #11409,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
會計科目157814 user稍早之前登入正常 線在要再登入顯示被自己lock住了 請協助處理,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
user的帳號是95032018，他昨天可以登入，今天不行登入。  我有去看他是不是密碼記錯了，想幫他改密碼，  但是進去218發現，他的帳號根本不存在，可是他說他昨天有登入  EXT:12318,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
passwod超過8碼無法輸入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
SAP 第二層無法LOGON 分機7578,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
SAP password 無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
無法登錄!#18231,SAP-168(QCI),Basis,帳號,新申請,SAP
218無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
需要申請SAP Access 31 請協助處理  Ext:18231,SAP-168(QCI),Basis,帳號,新申請,SAP
user要安裝sap,SAP-168(QCI),Basis,帳號,新申請,SAP
無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
new sap 218 一直無法登入，會提示帳號密碼錯誤，但昨天之前都還能用。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
帳號無上傳權限,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP
"已經申請借PRO/E License  並完成簽核 ,但實際上機台是無法借到License ,正常系統可以借14天 , 但機台顯示只能借5天 .",R&D資訊系統,設計相關服務,【Windchill】共用零件庫及Pro/E圖檔管理系統,相關操作詢問,資訊系統
無法登入PLM。,R&D資訊系統,設計相關服務,【Windchill】共用零件庫及Pro/E圖檔管理系統,相關操作詢問,資訊系統
"因為填錯收料地點,導致無法收料,但PO已經產生,  請問是否有辦法將PO作廢?",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
"發票費用作業時,網頁出現錯誤,只選取了第一個項目,請協助取消發票重新作業!  發票號碼如下:  ZC90837742  ZC90837743",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
"選擇 QCI 收料時,會出現""請會同倉庫人員於收料碼頭做收料"", 而無法進行收料作業,  但我採購的物品為測試報告,並非是物品.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
"發票作業時,填完所有資訊之後,按儲存時會出現""請款稅額需等於發票金額加總*PO稅額,  我確認過後發現我輸入的應該是正確的. 相關資訊如下:    PO編號          PO項次   GR單號        GR編號 品名          採購總額(未稅) 採購總量 採購稅額 幣別      數量           驗收金額(未稅) 驗收單號   1900111212 00010   6000066130 00010 New Report 70000.00            1.00      3,500.00 TWD  1.000000  70000.000000  APP0600806",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統
