description,category_a,category_b,category_c,category_d,category,description_clean,category_target
目前人在QSMC出差 需要查QSMC庫存  請幫忙遠端安裝SAP軟體  謝謝,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,需要查庫存  遠端安裝sap軟體,1
Password似乎有問題無法進SAP208，麻煩處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,password似乎有問題無法進sap208,1
268在第二層LOGIN無法順利登入   分機:15820,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,268在第二層login無法順利登入,1
sap 208 無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap 208 無法login,1
SAP操作錯誤 #(381) 12177,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap操作錯誤,1
268 logon fail,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,268 logon fail,1
208帳號無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,208帳號,1
"同仁SAP 268顯示他帳號已經logon 無法再次login, 煩請協助處理",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap 268顯示他帳號已經logon 無法再次login,1
"MYQUANTA的內部應用看不到SAP Icon ,之前可以看.user目前人在大陸",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,myquanta的內部應用看不到sap icon 之前可以看,1
user跑ZV14單筆去跑可以跑出sales org 但是跑background跑不出資料 請協助處理，之前已經在APP0001247反應過，請再確認是否已經處理完畢。,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,跑zv14單筆去跑可以跑出sales org 跑background跑不出資料 之前已經在app47反應過請再是否已經完畢,1
so fail VA01-Va03 fail,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,so fail va01va03 fail,1
BOI的，是用BAPI開SO有帶價格過去，但是在ZN26選了以SO當價格，還是抓不到價格,SAP-2X8(QSMC),SD,Sales Process,Billing issue,SAP-2X8,boi的是用bapi開so有帶價格過去在zn26選了以so當價格抓不到價格,1
sales BOM無法上傳到SAP。#12670,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,sales bom無法上傳到sap,1
"user做SO change後按存檔,但系統顯示無法存檔,T-code:VA02",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,做so change後按存檔但系統顯示無法存檔tcodeva02,1
"USER欲連線到SAP298,請求協助相關連線設定",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,欲連線到sap298請求協助相關連線設定,1
sap 268 client password error  17667陳小姐,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap 268 client password error,1
created 第二層帳號於RD10下,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,created 第二層帳號於rd10下,1
無法登入SAP (無權限),SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap 無權限,1
公用帳號:95091804  user is lock，分機13229,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,公用帳號   is lock,1
第一層帳號被鎖住(sap-268)    #15101,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,第一層帳號被鎖住sap268,1
268無法LOGON,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,268無法logon,1
"USER欲連結SAP268系統,出現錯誤訊息,經重設路徑後已解決",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,欲連結sap268系統訊息經重設路徑後,1
"SAP can not log in 268 , 3141",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap can not log in 268,1
SAP208無法logon,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap208無法logon,1
更新SAP logon文件之後 168可以上 208上不去 請協助處理,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,更新sap logon文件之後 168可以上 208上不去,1
SAP258無法登入,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap258,1
created 第二層帳號於RD10下,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,created 第二層帳號於rd10下,1
SAP168/218 LOGON BALANCE ERROR:88,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap168/218 logon balance error88,1
"詢問268,298的登入密碼",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,詢問的登入密碼,1
298 Can''t logon-修改路徑,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,298 can''t logon路徑,1
ECN NO.: E200510-1851  转入218,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ecn no. e0  轉入218,1
customer data create error #26068,SAP-2X8(QSMC),SD,Master Data,Customer issue,SAP-2X8,customer data create error,1
E200510-2463.  E200510-2468  转入218,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,e0.  e0  轉入218,1
ECN：E200509-4407生效后，GAOVC2MB6G4应由IE状态转为FR状态，但是目前此料仍为IE状态,SAP-2X8(QSMC),PP,ECN,放量,SAP-2X8,ecne9生效後gaovc2mb6g4應由ie狀態轉為fr狀態目前此料仍為ie狀態,1
ECN NO.:E200510-1453  转入298,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ecn no.e0  轉入298,1
cost BOM被luck住,SAP-2X8(QSMC),SD,Master Data,Cost center issue,SAP-2X8,cost bom被luck住,1
Master Data Issue,SAP-2X8(QSMC),SD,Master Data,Sales view maintain,SAP-2X8,master data,1
Delivery無法新增,SAP-2X8(QSMC),SD,Master Data,Return/Reverse order type,SAP-2X8,delivery無法新增,1
E200510-0992  转入218,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,e0  轉入218,1
"ECN No. E200508-2802 未同步至client 298,請協助解決.",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ecn no. e8 未同步至client 298,1
User would like to speed up ECN process.  ECN: 1200601-4939.,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,would like to speed up ecn process.  ecn,1
ECN still does not show up in 268.  APP0005807,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ecn still does not show up in 268.  app07,1
尽快使E200510-0989在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,儘快使e0在268生效,1
料号：3LZL1LBTN23 在298系统未增加一个MANUF  ECN号：E200510-0092,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,料號3lzl1lbtn23 在298系統未增加一個manuf  ecn號e0,1
SAP268 VL01無法create delivery資料,SAP-2X8(QSMC),HOME,TOP,問題解決及操作詢問,SAP-2X8,sap268 vl01無法create delivery資料,1
"欲刪除檔案但無作用, 請協助處理 #72359",SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP-2X8,欲刪除檔案但無作用,1
user想刪除一筆packing 請協助處理,SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP-2X8,想刪除一筆packing,1
"達丰user反應使用SAP218系統操作時發生Delivery no function的問題,煩請Charles協助處理.",SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,達豐使用sap218系統操作時發生delivery no function的問題charles,1
t code 有問題,SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,t code 有問題,1
"ZX07,不能進行CTO Upload",SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,zx07不能進行cto upload,1
"user 有一筆SO 98028970, 在系統裏是有資料的但欲列印報表卻無item資料, 請協助處理, TEL: 61591",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,有一筆so  在系統裏是有資料的但欲列印報表卻無item資料,1
請參考附件。,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,請參考附件,1
開不出訂單,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,開不出訂單,1
"要從SAP218 列印 Credit Memo, SAP 就當住, 畫面為全螢幕, 然後一直停留列印的畫面",SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,要從sap218 列印 credit memo sap 就當住 畫面為全螢幕 停留列印的畫面,1
SAP設定印表機，印表機名稱NB4sales，分機16346,SAP-2X8(QSMC),Basis,印表機,設定,SAP-2X8,sap設定印表機印表機名稱nb4sales,1
sap 印表機無法使用,SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,sap 印表機,1
"USER再使用298時無法列印,請協助其處理",SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,再使用298時無法列印,1
"User反應218 Client 印表機無法列印 , 請速協助解決..",SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,218 client 印表機無法列印  .,1
"User 想詢問出貨後的GI Documnt 內的refererce no, 如何應用.",SAP-2X8(QSMC),SD,Sales Process,GI issue,SAP-2X8,出貨後的gi documnt 內的refererce no 應用,1
"User反應操作ZN26在168中顯示的price是正常的,但在298裡卻帶不出資料,煩請協助處理.",SAP-2X8(QSMC),SD,Sales Process,Billing issue,SAP-2X8,操作zn26在168中顯示的price是正常的但在298裡卻帶不出資料,1
"USER反應PO無法release,料號FAHH2002016",SAP-2X8(QSMC),MM,Purchasing,PO issue,SAP-2X8,po無法release料號fahh16,1
Vendor code:PAI-X16需要把它轉入218.298  分機:18963,SAP-2X8(QSMC),MM,Purchasing,Master data,SAP-2X8,vendor codepaix16需要把它轉入218.298,1
"ECM0513 6/29已簽約但至今未生效,煩請相關人員協助處理",SAP-2X8(QSMC),MM,Purchasing,放量問題,SAP-2X8,ecm 6/29已簽約但至今未生效相關人員,1
SAP 268 PO無法開立,SAP-2X8(QSMC),MM,Purchasing,PO issue,SAP-2X8,sap 268 po無法開立,1
user要詢問APO Poject的問題,SAP-2X8(QSMC),MM,Purchasing,Addon Function,SAP-2X8,要詢問apo poject的問題,1
修改Buyer code 及L/T要用何種程式?,SAP-2X8(QSMC),MM,Purchasing,Master data,SAP-2X8,buyer code 及l/t要用何種程式,1
"無法logon SAP-268,已做更新,更新前可使用,更新完後反而無法使用",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法logon sap268已做更新更新前可使用更新完後,1
"無法loing 268,sap開不起來 1289",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法loing 268sap開不起來,1
已經更改過298路徑<可是依然今天突然無法登入<  請幫忙查明原因,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,已經更改過298路徑依然突然  查明原因,1
"使用者已將路徑由C:改為V:,但仍是無法下載檔案",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,已將路徑由c改為v但仍是無法下載檔案,1
sap258 登入帳號被鎖住,SAP-2X8(QSMC),HOME,PAL,問題解決及操作詢問,SAP-2X8,sap258 登入帳號被鎖住,1
ECN: E200510-0879在268未生效，由于情况焦急，希望能提前使其生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ecn e0在268未生效情況焦急希望能提前使其生效,1
"達丰user反應ECN:1200508-5792已轉到SAP168,但未同步到SAP298系統,煩請相關人員盡快協助USER處理.",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,達豐ecn2已轉到sap168但未同步到sap298系統相關人員協助,1
"達丰user反應做ECN認証出現錯誤,ECN#:1200508-5730,煩請相關同仁協助處理.#42627",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,達豐做ecn認証ecn0相關,1
E200510-2632 transfer to 298,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,e0 transfer to 298,1
"分機號碼:42627,ECM問題",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,號碼ecm問題,1
希望将ECN：E200510-0669  即刻在298生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,希望將ecne0  在298生效,1
"USER反應說在使用VA02時,price的欄位帶不出來,分機13216",SAP-2X8(QSMC),SD,Master Data,Price mapping issue,SAP-2X8,在使用va02時price的欄位帶不出來,1
218的印表機設定有問題，無法列印。,SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,218的印表機設定有問題無法列印,1
印表機無法列印218文件 但是168文件可以列印 請協助處理解決,SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,印表機無法列印218文件 168文件可以列印,1
SAP218無法列印,SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,sap218無法列印,1
"使用者反應登入SAP238時顯示無法登入的訊息,請協助處理",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,登入sap238時顯示的訊息,1
USER反應無法登錄系統,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,無法登錄系統,1
"無法登入,有錯誤訊息  TEL:15739",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,有錯誤訊息,1
"USER的帳號無法登入, CLIENT:238,288,278, 分機:382-13847",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,的帳號 client278,1
"AP32, AP33 無法連線   382-45438",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,ap32 ap33 無法連線,1
SAP第一層帳號無法進入 ext.13230,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap第一層帳號,1
第一次使用  操作上有問題  請協助.,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,第一次使用  操作上有問題,1
"User反應SAP208 第一層帳號遭Lock,煩請盡速協助處理.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap208 第一層帳號遭lock,1
cannot access 268 SAP system.  error code 88,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,cannot access 268 sap system.  error code 88,1
改了密碼以後不能使用Client 218  SAP帳號:78092001,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,改了密碼以後不能使用client 218  sap帳號,1
"User反應SAP268 GroupID被LOCK住,煩請協助處理.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap268 groupid被lock住,1
17327 SAP第二層 無法Logon,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap第二層 無法logon,1
關於BOM資料正確性的問題,SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP-2X8,bom資料正確性的問題,1
達丰user說 R10的BOM還沒轉過去 請協助處理,SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP-2X8,達豐 r10的bom還沒轉過去,1
"SAP218(BOM),匯出excel,會出現存取錯誤",SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP-2X8,sap218bom匯出excel會出現存取錯誤,1
218可以登入，但無法使用。  #16111,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,218可以登入但,1
SAP不通 存取權限發生錯誤 #11426,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap不通 存取權限發生錯誤,1
CSAP22 無法使用 #16570,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,csap22,1
user無法連進SAP,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,無法連進sap,1
SAP TYC-298係統無法使用。,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap tyc298係統,1
user反應TYC-298係統,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,tyc298係統,1
238 SD issue,SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,238 sd,1
"達丰User反應SO號碼沒有轉入208,今早急著出貨~煩請協助處理",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,達豐so號碼沒有轉入208,1
使用者在使用ZMAW時發現有一張Delivery No:550473284沒有從218轉到168，請幫忙處理，謝謝!!,SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,在使用zmaw時發現有一張delivery no沒有從218轉到168,1
"達丰user反應從上星期五到今日共有20多筆的假收假入的資料需要轉到SAP168,煩請Irwin協助處理",SAP-2X8(QSMC),SD,Master Data,其它,SAP-2X8,達豐從五到今日共有20多筆的假收假入的資料需要轉到sap168irwin,1
無法正常登入SAP 218,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法正常登入sap 218,1
無法進入cs726。#11413,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,cs726,1
登入82這台時候，一直等待遠端回應，無法正常開啟SAP。3285620094,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,登入82這台等待遠端回應無法正常開啟sap,1
無法logon268 請協助處理,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法logon268,1
無法logon 268,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法logon 268,1
"達丰User反應無法使用SAP,show出無法顯示網頁,煩請協助處理.",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,達豐sapshow出無法顯示網頁,1
無法登入SAP31,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap31,1
sap第一個畫面，可以勾選用滑鼠copy的文字，想請問這功能怎麼使用,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap第一個畫面可以勾選用滑鼠copy的文字想請問這功能,1
sap 208 無法logon 請協助處理,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap 208 無法logon,1
user在run ZMD5時發生錯誤,SAP-2X8(QSMC),SD,Addon Function,詢問Function,SAP-2X8,在run zmd5時發生錯誤,1
使用者反應3EVFMB1580無法生成資料，請協助處裡，謝謝,SAP-2X8(QSMC),SD,Addon Function,問題解決及操作,SAP-2X8,3evfmb無法生成資料處裡,1
SAP-ZV17 can''t print   #13579,SAP-2X8(QSMC),SD,Addon Function,問題解決及操作,SAP-2X8,sapzv17 can''t print,1
"218 ZN93 shows ""please import PROD Hierachy (SO Type)""",SAP-2X8(QSMC),SD,Addon Function,問題解決及操作,SAP-2X8,218 zn93 shows please import prod erachy so type,1
"在VA01新增SO時,出現错誤",SAP-2X8(QSMC),SD,Addon Function,問題解決及操作,SAP-2X8,在va01新增so時,1
SAP 268 無法登入,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap 268,1
2x8第一層近不去 請協助處理,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,2x8第一層近不去,1
執行sap時發出異音,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,執行sap時發出異音,1
Sap logon :QSMCTCLIENT15,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap logon tclient15,1
User can not log into her account by using SAP 268 Thin Client Account  Please help to handle it,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,can not log into her account by using sap 268 tn client account  please help to handle it,1
使用者進sap後由QCI-PUR4部門帳號登錄後無法使用自己的帳號登錄使用QSMC General功能，請協助處理,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,進sap後由qcipur4部門帳號登錄後的帳號登錄使用 general功能,1
can''t login SAP old 218 client,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,can''t login sap old 218 client,1
無法create New Project 請協助處理  EXT:12708,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,無法create new project,1
打工號密碼之後~會自動關閉視窗~無法登入。#17380  (SAP 218),SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,打密碼之後會自動關閉視窗  sap 218,1
SAP ID issue!,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap id,1
SAP268進不去,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap268進不去,1
"USER需要開268/208的帳號使用權限,煩請相關同仁協助處理",SAP-2X8(QSMC),Basis,Authorization,申請權限,SAP-2X8,需要開268/208的帳號使用權限相關,1
申請以下T-Code權限：   ME1M、ZMD5、ZMAO、ZNST,SAP-2X8(QSMC),Basis,Authorization,申請權限,SAP-2X8,申請以下tcode權限   me1mzmd5zmaoznst,1
據說有申請過權限  但是帳號密碼輸入後無法登入,SAP-2X8(QSMC),Basis,Authorization,權限不足,SAP-2X8,有申請過權限  帳號密碼輸入後,1
"218轉168要做SALES RETURN,,需要268的第二層權限, 分機:13168",SAP-2X8(QSMC),Basis,Authorization,申請權限,SAP-2X8,218轉168要做sales return需要268的第二層權限,1
之前密碼都可以使用218但是今天突然不行 請協助處理,SAP-2X8(QSMC),Basis,Authorization,權限不足,SAP-2X8,之前密碼都可以使用218突然不行,1
"93050302 became unable to use T-code ZMD5 to download NB3 Ken Projects Cost BOM at SAP 218  (by CSAP 32)  and SAP shows  ""you are not authorized to access to XX project"" at below",SAP-2X8(QSMC),Basis,Authorization,權限不足,SAP-2X8,became unable to use tcode zmd5 to download nb3 ken projects cost bom at sap 218  by csap 32  and sap shows  you are not authorized to access to xx project at below,1
之前25那台修復後，在使用SAP介面時候，切換頁面都會發出逼逼聲(SAP音效)，之前都不會。#13225,SAP-2X8(QSMC),Basis,其他,安裝SAP,SAP-2X8,之前25那台後在使用sap介面切換頁面都會發出逼逼聲sap音效之前都,1
"WBU 使用者反映,無法登入SAP,登入群組為wbu sales01及wbu sales02",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,wbu 反映sap登入群組為wbu sales01及wbu sales02,1
"孔先生 SAP208不能登入, 密碼INIT fail  13457",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap208不能登入 密碼init fail,1
無法連上268 client,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法連上268 client,1
"User反應其主管先前都可正常使用SAP268,今日要使用系統時,發生無法登入的情形,煩請協助處理.",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,其先前都可正常使用sap268今日要使用系統時發生的情形,1
"298 TFC 無法使用,還有他老闆的也是",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,298 tfc 他老闆的也是,1
"USER反應無法連結告SAP268的SERVER,煩請相關同仁協助處理",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法連結告sap268的server相關,1
沒有權限進入ZMPV  #18303,SAP-2X8(QSMC),Basis,Authorization,申請權限,SAP-2X8,沒有權限進入zmpv,1
"工號: 95042409, 95041711  申請權限 : FP 298 , F2 268  分機: 18313",SAP-2X8(QSMC),Basis,Authorization,申請權限,SAP-2X8,申請權限  fp 298  f2 268,1
"13176  黃先生  SAP account  QSMC rd10 , account 90031212 無使用權限，使用者要查 208,218庫存  需要帳號可以登入",SAP-2X8(QSMC),Basis,Authorization,申請權限,SAP-2X8,sap account   rd10  account  無使用權限要查 庫存  需要帳號可以登入,1
欲申請SAP登入權限，但從資訊需求申請單不知Group ID改填什麼,SAP-2X8(QSMC),Basis,Authorization,申請權限,SAP-2X8,欲申請sap登入權限但從資訊需求申請單不知group id改填,1
ZMD5無法下載BOM表。分機13465,SAP-2X8(QSMC),Basis,Authorization,權限不足,SAP-2X8,zmd5無法下載bom表,1
USER使用87101201，87120102帳號登入SAP，部分功能使用權限不足，煩請幫忙處理，謝謝。 ＃16752,SAP-2X8(QSMC),Basis,Authorization,權限不足,SAP-2X8,使用帳號登入sap部分功能使用權限不足,1
無法logon SAP,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法logon sap,1
資料無法DOWNLOAD,SAP-2X8(QSMC),Basis,其他,Performance Issue,SAP-2X8,資料無法download,1
User無法登入268 system，請協助處理，謝謝！分機#17339,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,268 system,1
"人在達丰的user反應SAP218無法連線,煩請相關同仁協助處理.",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,人在達豐的sap218無法連線相關,1
"user反應SAP218無法連線,煩請相關同仁協助處理.",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap218無法連線相關,1
can''t log in SAP on Citrix,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,can''t log in sap on citrix,1
Logon IP:QCITCLIENT21 /EXT15739,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,logon ipqcitclient21 /,1
操作SAP時會發出聲音，是否可關掉 #15739,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,操作sap時會發出聲音是否可關掉,1
SAP 268 logon fail,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,sap 268 logon fail,1
軟體有異常想要移除重新安裝請求協助,SAP-2X8(QSMC),Basis,其他,安裝SAP,SAP-2X8,軟體有異常移除重新安裝請求協助,1
無法輸入庫存,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,無法輸入庫存,1
