,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_answer_name,6_y_predict_probability
9668,"有線網路,不通,無線網路,很慢",0,Outlook與郵件,3,網路,[0.65945846 0.34054157]
13469,"login,進,sap",0,Outlook與郵件,1,SAP,[0.9393857  0.06061435]
13588,"bpm,設定,代理人,目前,反應,看到,代理人,長,註,回台",0,Outlook與郵件,4,資訊系統,[0.62321097 0.37678897]
11596,"能連到,quest,ap,拿到,ip,進,到,訪客,網路,登入,網頁",0,Outlook與郵件,3,網路,[0.78951424 0.21048568]
7884,"網路,孔有,問題",0,Outlook與郵件,3,網路,[0.8312406  0.16875947]
1984,"需要,新增,sit1,客戶,barnes,noble",1,SAP,4,資訊系統,[0.11271001 0.88729   ]
13088,"申請,密碼,顯示,辨識,網路",0,Outlook與郵件,3,網路,[0.51851815 0.48148188]
8798,"網路,異常,連接,電腦,網路",0,Outlook與郵件,3,網路,[0.92155194 0.07844812]
5201,"公司,staff,ap,wifi,分享,問題",0,Outlook與郵件,3,網路,[0.75430757 0.24569239]
1365,"電視,電腦,設定,詢問",0,Outlook與郵件,2,其他,[0.8137318  0.18626818]
11234,"欲,以前,qci,delivery,and,so,資料",0,Outlook與郵件,1,SAP,[0.7574799  0.24252011]
5664,"外部,網路",0,Outlook與郵件,3,網路,[0.85425663 0.14574334]
12604,"詢問,安裝,excel,版本,瞭解,版本,是否,dr,eye,相容性,問題",0,Outlook與郵件,2,其他,[0.80801594 0.19198403]
9560,"連線,設定,問題,詢問",0,Outlook與郵件,3,網路,[0.5858667 0.4141333]
1016,"常駐,密碼,過期,重,設定,密碼,後將,密碼,發給",1,SAP,2,其他,[0.32990628 0.67009366]
9191,"office,scan",0,Outlook與郵件,2,其他,[0.77987266 0.22012734]
3216,"工作,需求,需,安裝,環保署,責任,業者,離線,申報,軟體,下載,軟體,安裝,後,環保署,it,人員,回覆,茲,公司,防火牆,連線,完成,安裝,請問,這有,辨法",0,Outlook與郵件,3,網路,[0.5101519  0.48984802]
7137,"使用,office,軟體,當掉",0,Outlook與郵件,2,其他,[0.6510381  0.34896183]
10825,"網路,連線,正常,但會,跳出,驗證,視窗",1,SAP,3,網路,[0.135696 0.864304]
3679,"操作,錯誤",0,Outlook與郵件,4,資訊系統,[0.8255981  0.17440185]
11408,"工作,機,onboard,lan,公司,網路,試著,區域網路,狀態,得到,錯誤,訊息,windows,問題,完成,下列,動作,更新,ip,位址",0,Outlook與郵件,3,網路,[0.7648497  0.23515025]
7592,"出現,sorry,error,of,operation,訊息,開單",0,Outlook與郵件,4,資訊系統,[0.7641132 0.2358868]
4285,"借用,電腦,工作,登,入網,域",0,Outlook與郵件,3,網路,[0.89656305 0.10343698]
4727,"安裝,sap,問題",0,Outlook與郵件,1,SAP,[0.87277156 0.12722842]
4044,"網孔,pd18d066,新進,上網,尚無",0,Outlook與郵件,3,網路,[0.6880367 0.3119633]
2897,"抓到,guest,ip",0,Outlook與郵件,3,網路,[0.8081341 0.1918659]
4607,"無線網路,直接",0,Outlook與郵件,3,網路,[0.66465706 0.33534294]
2803,"新進,新增,帳號",0,Outlook與郵件,1,SAP,[0.6722961  0.32770386]
13657,"網路,出現,安全性,問題",0,Outlook與郵件,3,網路,[0.82696956 0.17303044]
5466,"同一,區塊,大部分,網路,不通",0,Outlook與郵件,3,網路,[0.6975074  0.30249265]
7331,"是否,multisource,功能,利用",0,Outlook與郵件,1,SAP,[0.81681377 0.18318623]
11986,"mem,帳號",0,Outlook與郵件,1,SAP,[0.75842375 0.24157628]
4799,"收信,卡住,需,重新,開啟,訊息,outlook,結束,時未,正常,關閉",1,SAP,0,Outlook與郵件,[0.34671357 0.65328646]
13431,"新,進,位子,旁,網孔,b351,似乎,不通,上網,該員",0,Outlook與郵件,3,網路,[0.56935495 0.43064508]
1118,"電腦網路,不通",0,Outlook與郵件,3,網路,[0.8272086  0.17279138]
322,"幫忙,create,新,template,nb2,top,top,aio,轉到,nb2,admin,目前,暫定,設,三個,luis,hsu,許哲維",0,Outlook與郵件,4,資訊系統,[0.6655409  0.33445916]
9508,"電腦,外帶,證,申請單,camp,簽核,預報,加班,加班,申請單,不行",0,Outlook與郵件,4,資訊系統,[0.8842727  0.11572728]
5596,"無線,上網",0,Outlook與郵件,3,網路,[0.61924946 0.3807506 ]
3833,"網路,連線",0,Outlook與郵件,3,網路,[0.82418066 0.17581935]
4262,"已,申請,帳號",0,Outlook與郵件,1,SAP,[0.79740316 0.20259687]
2159,"pma,專案,fh9b9,12,設定,testpm,schedule,後,9,15,帶入,qsit,qits,stage,欄位,qsit,設定,test,stage,系統,出現,請於,pma,系統,建立,tes,tpm,stage,資料",0,Outlook與郵件,4,資訊系統,[0.6801203  0.31987968]
7141,"申請,group,mail",1,SAP,0,Outlook與郵件,[0.1504524 0.8495476]
10236,"cancel,po,須等,4,小時,",0,Outlook與郵件,1,SAP,[0.8812199  0.11878007]
6939,"網孔,c539,不通",0,Outlook與郵件,3,網路,[0.8719901  0.12800993]
6112,"網路,孔,不通,a302",0,Outlook與郵件,3,網路,[0.6745988 0.3254012]
7871,"pc,is,not,stable,reboot,by,itself",0,Outlook與郵件,2,其他,[0.73577684 0.2642232 ]
2230,"lan,network,not,working",0,Outlook與郵件,3,網路,[0.83819914 0.16180085]
2870,"vpn,連線",0,Outlook與郵件,3,網路,[0.7778481  0.22215192]
3648,"網孔,b403",0,Outlook與郵件,3,網路,[0.82681495 0.17318511]
5084,"sales,bom,傳到,sap",0,Outlook與郵件,1,SAP,[0.6118502  0.38814977]
5350,"申請,網路,孔,遲遲,未通,孔號,c339,南棟,6f,lc,bu",1,SAP,3,網路,[0.41000438 0.58999556]
10008,"無線網路,密碼,過期,輸入,新密碼,後,依然,上網",1,SAP,3,網路,[0.49149472 0.5085053 ]
9079,"更新,sp3,後,網路",0,Outlook與郵件,3,網路,[0.7852182  0.21478187]
2281,"outlook,重啟,重,開機,正常,收信",1,SAP,0,Outlook與郵件,[0.22689913 0.77310085]
14209,"網路,網路,不通,tks,網孔,編號,c2902",0,Outlook與郵件,3,網路,[0.8395116  0.16048843]
7273,"officescan,更新會,訊息",0,Outlook與郵件,2,其他,[0.81078994 0.18921   ]
2452,"連列,網址,人員,辦公網,路,連結",0,Outlook與郵件,3,網路,[0.69756633 0.30243367]
7343,"mbu,need,to,access,et,shared,forder",0,Outlook與郵件,3,網路,[0.85860837 0.14139166]
5391,"nb7,原,nb4,部門,搬遷,北棟,7,樓,5,樓,連接,5,樓,無線網路,需要,金鑰",1,SAP,3,網路,[0.32000336 0.6799966 ]
5766,"mail,上週五,已,寄,收到,早上,收到,一次",1,SAP,0,Outlook與郵件,[0.3443777 0.6556223]
11113,"web,mail,改完,密碼,後",1,SAP,2,其他,[0.06356601 0.93643403]
7154,"正常,登入,profile,重,開機,沒用,3",1,SAP,2,其他,[0.21004489 0.78995514]
5250,"上傳,考核表",0,Outlook與郵件,4,資訊系統,[0.58344424 0.41655582]
12182,"網孔,編號,pn17a305",0,Outlook與郵件,3,網路,[0.8712334  0.12876658]
5457,"無線網路,連線",0,Outlook與郵件,3,網路,[0.6837914  0.31620863]
13132,"zx07,進行,cto,upload",0,Outlook與郵件,1,SAP,[0.7999739  0.20002611]
5305,"客人,wirless,申請,請,盡速,查明,廠商,展延,無線網路,申請,單號,app24,明貴,derek,hsieh,無線,帳號,密碼,jqsncxlo",0,Outlook與郵件,3,網路,[0.526109   0.47389105]
11485,"電腦,出現,驗證,訊息,網路",0,Outlook與郵件,3,網路,[0.95504606 0.04495398]
1270,"已經,trend,micro,client,程式,移,除掉,網路,不通",0,Outlook與郵件,3,網路,[0.5826967  0.41730332]
12880,"wifi,連接",0,Outlook與郵件,3,網路,[0.8528006  0.14719944]
1938,"s331,附近,幾間,會議室,筆電,投影",0,Outlook與郵件,2,其他,[0.8468065 0.1531934]
256,"到,福委會,網站,跳出,驗證,訊息",0,Outlook與郵件,3,網路,[0.76297516 0.23702486]
10072,"華亞,大樓,一樓,b047,網路,孔,反應",0,Outlook與郵件,3,網路,[0.71449965 0.28550035]
1247,"內部,行文,申請單,公司,名稱,跑",1,SAP,4,資訊系統,[0.4922396 0.5077604]
6151,"outlook,密碼,過期,web,mail,畫面,重設,密碼,成功,打開,outlook,之後,郵件,收下來,原,密碼,com,新密碼,com",1,SAP,0,Outlook與郵件,[0.39202598 0.60797405]
4708,"mail,box,不知,掛回去,outlook",1,SAP,0,Outlook與郵件,[0.24943551 0.7505645 ]
12290,"ftp,詢問",1,SAP,2,其他,[0.48927316 0.5107268 ]
7506,"網路,孔,故障",0,Outlook與郵件,3,網路,[0.8712733  0.12872674]
13597,"一個,案子,單位,合作,有將,一些,資料,傳至,ftp,一個,資料夾,給做,存取,檔案,這做,設定,之後,連接,請問,需要,erj15fs01,files,share,pioneer,ftp,下,pioneer,資料夾,做,存取,路徑,不行,需,開給,3,位,權限",0,Outlook與郵件,2,其他,[0.54758406 0.45241594]
1081,"camp,服務,只,剩下,通訊錄,設定,功能,看不到,問題",1,SAP,4,資訊系統,[0.43720224 0.5627977 ]
9609,"網孔,th19d163",0,Outlook與郵件,3,網路,[0.82681495 0.17318511]
5390,"www,urbandictionary,com,非,色情網站,限制",0,Outlook與郵件,3,網路,[0.7504629  0.24953708]
13996,"網孔,ps01,d409,網路,不通",0,Outlook與郵件,3,網路,[0.9176881  0.08231192]
14215,"mis,北棟,印表機,顯示,離線",1,SAP,2,其他,[0.21761478 0.78238523]
10896,"first,level,logon,fail",0,Outlook與郵件,1,SAP,[0.77441645 0.2255836 ]
9833,"pi08,a176",0,Outlook與郵件,3,網路,[0.70091194 0.29908806]
9640,"google,account,使用,公司,帳號,之前,it,更新,ie,之後,qco,申請者,本機,正常,登入,申請者,不在,位置",1,SAP,0,Outlook與郵件,[0.30468854 0.6953114 ]
2641,"登,入網,域時,顯示,網路,認證,憑證,失效,需要,重新加入,網域",1,SAP,3,網路,[0.40381756 0.59618247]
9653,"must,log,on,same,qciclient,24,logoin,22",0,Outlook與郵件,1,SAP,[0.75202715 0.24797285]
5826,"imac,機器,上網",0,Outlook與郵件,3,網路,[0.5721247  0.42787525]
6227,"安裝,sap",0,Outlook與郵件,1,SAP,[0.8445725  0.15542753]
2051,"關閉,oulook,應用程式,後,欲,重新,開啟,卻,反應,是否,需要,重新,outlook,軟體",1,SAP,0,Outlook與郵件,[0.3976044 0.6023956]
9436,"連到,server",0,Outlook與郵件,3,網路,[0.660208 0.339792]
13829,"忘記,登入,密碼",0,Outlook與郵件,3,網路,[0.74194443 0.25805557]
1113,"正常,使用,網路",1,SAP,3,網路,[0.18931 0.81069]
12955,"出勤,資料,顯示,異常",0,Outlook與郵件,4,資訊系統,[0.7765459 0.2234541]
2709,"bpm,設定,代理人,到,4,22,號,至今,4,25,對方,收到,表單,之前,正常,這次,問題,請,mis",1,SAP,4,資訊系統,[0.32179356 0.67820644]
8427,"office,scan,顯示,離線",0,Outlook與郵件,2,其他,[0.8350983  0.16490169]
3658,"家裡,vpn,連線,遠端,桌面,到,公司,電腦,出現,公司,電腦,屬於,指定,網路,錯誤,訊息",0,Outlook與郵件,3,網路,[0.8943744  0.10562569]
8164,"網孔,不通,檢查,網孔,號碼,c562",0,Outlook與郵件,3,網路,[0.769034 0.230966]
1945,"桌上型電腦,08,12,時原,使用,網孔,c500,正常,取得,ip,造成,上網",1,SAP,3,網路,[0.4795479  0.52045214]
9147,"有線網路,出現,區域網路,驗證,失敗,無線,出現,staff",0,Outlook與郵件,3,網路,[0.8974526  0.10254735]
9550,"本機,outlook,列印,mail",1,SAP,0,Outlook與郵件,[0.31374398 0.686256  ]
5816,"連線,廣達,vpn",1,SAP,3,網路,[0.34085593 0.6591441 ]
1973,"新進人員,須,開通,權限",0,Outlook與郵件,1,SAP,[0.75148773 0.24851227]
7336,"訪客,無線網路",0,Outlook與郵件,3,網路,[0.7688415  0.23115854]
3036,"無線,設定,問題,開,ie,帳號密碼",0,Outlook與郵件,3,網路,[0.6136336  0.38636637]
7826,"連線到,明廣,ftp,傳送,檔案,時常,中斷,需,不斷,重覆,傳送,機會,傳送,成功,傳送速度,慢",0,Outlook與郵件,2,其他,[0.7983735  0.20162652]
1162,"電腦,重灌,匯入,原本,sap,設定檔",0,Outlook與郵件,1,SAP,[0.9311553  0.06884471]
8336,"網路,孔,不通",0,Outlook與郵件,3,網路,[0.78147304 0.21852696]
7857,"特定,mail,附件,excel,檔案,另存,檔案",1,SAP,0,Outlook與郵件,[0.39778048 0.6022195 ]
12930,"詢問,設定,公司,mail,目前,新,電腦,先打",1,SAP,0,Outlook與郵件,[0.09621332 0.90378666]
3143,"客戶,寄,mail,收不到",1,SAP,0,Outlook與郵件,[0.27233762 0.7276624 ]
10481,"以下,單號,簽核,人員,人員,請,刪除,app96,app90,app91,app92,app93,app94",0,Outlook與郵件,4,資訊系統,[0.77045435 0.22954565]
842,"打開,office,ie,出現,連線,proxy,驗證,domain,訊息,正常,收信",1,SAP,2,其他,[0.33395237 0.6660477 ]
5834,"can,t,connect,to,staff,network",0,Outlook與郵件,3,網路,[0.8951892  0.10481079]
8794,"座位,有限網,孔,連接,公司,網路,網孔,編號,pe20,a092",0,Outlook與郵件,3,網路,[0.90263706 0.09736293]
9513,"拿到,guest,ip,前天,換過,密碼,疑似,密碼,步,需接,未,驗證,網路,ad,同步,看看",0,Outlook與郵件,3,網路,[0.66832554 0.33167446]
12219,"完成,申請,後,列印,跳出,帳戶,控制,對話框,要求,輸入,管理員,帳號,密碼",0,Outlook與郵件,4,資訊系統,[0.57627356 0.42372647]
2009,"bu12,之前,申請,到,外部,網路,現在,連線,外部,網路,已經,一個,早上,連線,工作",0,Outlook與郵件,3,網路,[0.5661591 0.4338408]
12886,"app41,看到,簽核",0,Outlook與郵件,4,資訊系統,[0.8164025 0.1835975]
11922,"核示,申請單,點入,畫面,呈現,空白",0,Outlook與郵件,4,資訊系統,[0.77489334 0.22510667]
5394,"列印,以下,單據,時,發生,問題,列印",0,Outlook與郵件,4,資訊系統,[0.7508963 0.2491037]
324,"logon,sap,168,fail",0,Outlook與郵件,1,SAP,[0.83951193 0.16048811]
11151,"有線網路,時常,出現,認證,問題",0,Outlook與郵件,3,網路,[0.65971786 0.3402821 ]
3423,"sap,系統,人,問題",0,Outlook與郵件,1,SAP,[0.833973   0.16602707]
9916,"網路,時好時壞",0,Outlook與郵件,3,網路,[0.88204277 0.1179572 ]
10250,"外部,信件,正常,收發",1,SAP,0,Outlook與郵件,[0.36906886 0.63093114]
7014,"p44,網孔,不通",0,Outlook與郵件,3,網路,[0.8464527  0.15354732]
7010,"換,坐位,新,網孔,開通,pd22d070",0,Outlook與郵件,3,網路,[0.8049958  0.19500425]
9618,"電腦,安裝,linux,連接,網孔,正常,使用,網孔,上網",0,Outlook與郵件,3,網路,[0.58594537 0.41405466]
3207,"南棟,2,樓,警衛,使用,資產,出入,管理系統,放置,23min,後,系統,須,重新,關掉,ie,後,使用,",0,Outlook與郵件,2,其他,[0.70929056 0.2907094 ]
10308,"web,版,看見,未,收下,新,mail,雲端,上面,outlook,收下,收信,動作",1,SAP,0,Outlook與郵件,[0.36730382 0.6326962 ]
4408,"公司,nb,帶回,家中,可連,上網,路,情況,下,正常,連線,openvpn,請求,異常,家中,正常,連線",1,SAP,3,網路,[0.2983014  0.70169866]
7912,"廣達,研究院,olpc,專案組,無線網路,穩定,協理,房間,連線,地方,斷斷續續",1,SAP,3,網路,[0.4219312 0.5780688]
4501,"申辦,後,ocs",0,Outlook與郵件,2,其他,[0.8760835  0.12391657]
7950,"客戶,所在,地點,n612",0,Outlook與郵件,3,網路,[0.7745063  0.22549368]
10584,"critix,找部,道路,吳法,login",0,Outlook與郵件,1,SAP,[0.7832851  0.21671492]
13570,"可用,軟體,更新,失敗",1,SAP,2,其他,[0.48208517 0.51791483]
13671,"連結,到,內部網路",0,Outlook與郵件,3,網路,[0.77221155 0.22778846]
4487,"sap,268,client,password,error",0,Outlook與郵件,1,SAP,[0.8347682  0.16523178]
4131,"1,project,bz5bno,2,問題,pma,新增,stage,x86,並在,qsit,maintain,完新,stage,測項,後,儲存,系統,出現,error,data,字樣,點選,project,query,頁面,同樣,出現,error,data,訊息",0,Outlook與郵件,4,資訊系統,[0.7496061  0.25039396]
11300,"這張,mro,簽核,完,後,要求,更改,spto,地點,去,廠商,願意,原本,這張,mro,po,配合,送過去,當時,更改,現在,物品,寄送,完畢,這張,po,進,廠商,系統,請款,會計,告知,作帳,po,sp,to,一定,invoice,詢問,mis,能不能,協助,更改",0,Outlook與郵件,4,資訊系統,[0.5355682  0.46443176]
7691,"上網,提示,輸入,帳號密碼",0,Outlook與郵件,3,網路,[0.5571347 0.4428653]
3967,"需要,開通,上網,權限",1,SAP,3,網路,[0.05029744 0.94970256]
4245,"c448,南棟,4,樓",0,Outlook與郵件,3,網路,[0.5402379  0.45976204]
7620,"回國,後,有線網路,不通,孔號,pj22a214",0,Outlook與郵件,3,網路,[0.7626139  0.23738608]
13097,"app22,單號,填寫,後,資訊,tks",1,SAP,4,資訊系統,[0.49758852 0.5024115 ]
13143,"pdf,creator,ppt,檔轉,pdf,時,發生,錯誤,畫面,跳掉,轉,pdf",0,Outlook與郵件,2,其他,[0.73974764 0.26025236]
9821,"p44,網孔,不通",0,Outlook與郵件,3,網路,[0.8464527  0.15354732]
7345,"nb6,使用,mac,系統,現在,整個,部門,只能,到,訪客,網路,連結,公司,內部,網頁",0,Outlook與郵件,3,網路,[0.5721363  0.42786378]
4848,"logon298,168",0,Outlook與郵件,1,SAP,[0.66334826 0.33665168]
10186,"有個,文件,路徑,昨晚,10,點前,還可,使用,之後,顯示,找到,文件,charles",0,Outlook與郵件,1,SAP,[0.88206875 0.11793128]
10640,"接上,網路線,後,產生,windows,憑證,錯誤",0,Outlook與郵件,3,網路,[0.84203297 0.157967  ]
11731,"需要,安裝,pdf,creater,內部,qrdcfs01,主機,看到,軟體",1,SAP,2,其他,[0.16747376 0.83252627]
5047,"網路,孔,報修,a275",0,Outlook與郵件,3,網路,[0.8113074  0.18869266]
7710,"自行,架設,ftp,之前,上傳下載,突然,ip,210.61,111.64",1,SAP,3,網路,[0.3471032  0.65289676]
877,"不斷,驗證,中",0,Outlook與郵件,3,網路,[0.9001753  0.09982471]
12609,"系統,跳出,安全性,警示",0,Outlook與郵件,2,其他,[0.69794244 0.3020576 ]
11632,"網路,重,開機,不行",0,Outlook與郵件,3,網路,[0.5625822 0.4374178]
2931,"登入,sap,系統,時會,訊息",0,Outlook與郵件,1,SAP,[0.8364807  0.16351928]
213,"有線網路,斷線,孔號,pj08d200,南棟,5fgr206,nb5,事業部",1,SAP,3,網路,[0.20322542 0.7967745 ]
5085,"208,帳號",0,Outlook與郵件,1,SAP,[0.6877784  0.31222153]
9308,"內部網路,myquanta",0,Outlook與郵件,3,網路,[0.92443246 0.0755675 ]
654,"申請者,網路,孔,pk14a230,壞掉,上網",0,Outlook與郵件,3,網路,[0.81900066 0.18099935]
804,"t,code,問題",0,Outlook與郵件,1,SAP,[0.862401   0.13759905]
546,"北棟,孔號,pt09,a441",1,SAP,3,網路,[0.4082562 0.5917438]
11604,"更換,座位,後,網路,ip,位置,變動,導致,連結,到,測試,機,希望,現在,位置,網孔,ip,變動,成,前個,座,網孔,ip",0,Outlook與郵件,3,網路,[0.90098584 0.09901418]
3260,"files,server,172.21,156.19,",0,Outlook與郵件,3,網路,[0.8413074  0.15869261]
7209,"pdf,reader,自行,安裝,成功",0,Outlook與郵件,2,其他,[0.81378794 0.1862121 ]
3368,pu19b499,0,Outlook與郵件,3,網路,[0.7056383 0.2943617]
11433,"plm,安裝,調整,瀏覽器,參數,安裝",0,Outlook與郵件,4,資訊系統,[0.8397024  0.16029757]
12668,"兩個,網路,孔,一個,for,linux,使用,換,notebook,需要,mis,重新,讀新,電腦,mac,port,pt24a456",0,Outlook與郵件,3,網路,[0.55748045 0.44251958]
10795,"資訊,需求單,送,簽到,andy,fan,範禮雙,之後,簽核,地方,簽,單號,app48",0,Outlook與郵件,4,資訊系統,[0.6720538 0.3279462]
1116,"proe,到,license,11,8,11,9,上午",0,Outlook與郵件,4,資訊系統,[0.673252 0.326748]
3917,"please,create,pma,authority,for,pm,below,fish,yu,虞享",1,SAP,4,資訊系統,[0.46205014 0.53794986]
5110,"要連,客戶,ftp",0,Outlook與郵件,2,其他,[0.71036446 0.28963554]
13986,"請立,24.25,資料,upload",0,Outlook與郵件,1,SAP,[0.8695744  0.13042553]
2325,"換了,座位,之後,file,server",0,Outlook與郵件,2,其他,[0.85289955 0.14710048]
3238,"連結,印表機,列印",0,Outlook與郵件,2,其他,[0.61617225 0.38382775]
10387,"網路,驗證,應是,網域,失效,需,重加,網域",0,Outlook與郵件,3,網路,[0.64944816 0.35055184]
2380,"中秋,禮金,mail",1,SAP,0,Outlook與郵件,[0.18359931 0.8164007 ]
10784,"網路,有通,上網,路",1,SAP,3,網路,[0.3278014 0.6721986]
7086,"北棟,5,樓,孔號,a306",0,Outlook與郵件,3,網路,[0.53946203 0.46053797]
6010,"設定,接收,公司,郵件,顯示,驗證,繼續,儲存,則會,跳出,訊息,郵件,接收,訊息,密碼,開機,密碼",0,Outlook與郵件,3,網路,[0.92132103 0.07867896]
7402,"無線網路,不通",0,Outlook與郵件,3,網路,[0.673025 0.326975]
14043,pd14b062,0,Outlook與郵件,3,網路,[0.67373884 0.3262612 ]
6552,"正常,使用,網路",1,SAP,3,網路,[0.18931 0.81069]
4106,"北棟,四樓,h2,bu,無線網路,斷斷續續,ex,ps,北棟,mis,系統,處,無線網路,斷斷續續",1,SAP,3,網路,[0.43092304 0.5690769 ]
1935,"因要,延長,展延,q,call,linc,使用,期限",0,Outlook與郵件,4,資訊系統,[0.89316124 0.1068388 ]
958,"請,移除,以下,電腦,帳號,ap,windows,企業,版,6.1",0,Outlook與郵件,2,其他,[0.8463862 0.1536138]
6341,"遺失,plm,密碼",0,Outlook與郵件,4,資訊系統,[0.84472394 0.15527606]
1390,"後,工作,機,壞掉,借用,一臺,工作,機想,加入,qci,網域",0,Outlook與郵件,3,網路,[0.75186425 0.24813572]
10108,"qrdcprt02,si,印表機,卡紙,紙張,斷裂,在內,移除",1,SAP,2,其他,[0.48503742 0.5149626 ]
2012,"網路,不通,連線",0,Outlook與郵件,3,網路,[0.7463113  0.25368866]
5818,"灌,防毒,軟體,後,上網,ocs",1,SAP,3,網路,[0.2941898 0.7058102]
1472,"重新安裝,sap,之後,做,存檔,動作",0,Outlook與郵件,1,SAP,[0.8317041  0.16829595]
4936,"電腦,名稱,q,已經,重新安裝,系統,名稱,已經,更改,移除",0,Outlook與郵件,2,其他,[0.8352201  0.16477993]
13235,"職能,評鑑,頁面,顯示,服務,支援,填寫,2",0,Outlook與郵件,4,資訊系統,[0.7955098  0.20449018]
3252,"outlook,資料檔,qco,移到,本機,顯示,空間,不足",1,SAP,0,Outlook與郵件,[0.26462585 0.7353741 ]
