description,category_a,category_b,category_c,category_d,category,description_clean,category_target
"欲新增SAP帳號, 詢問如何操作, #15732",SAP-168(QCI),Basis,帳號,新申請,SAP-168,欲新增SAP帳號  詢問操作,0
User無法使用原帳號、密碼登入，請MIS人員解決。分機#5327,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,無法使用原帳號 密碼登入   5327,0
該user 要安裝SAP程式  請協助  分機 18829,SAP-168(QCI),Basis,帳號,新申請,SAP-168,該 要安裝SAP程式  請協助,0
帳號問題無法使用，使用者人在廣輝聯絡電話38318009,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,帳號問題無法使用 人在廣輝,0
user跑ZV14單筆去跑可以跑出sales org 但是跑background跑不出資料 請協助處理，之前已經在APP0001247反應過，請再確認是否已經處理完畢。,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,跑ZV14單筆去跑可以跑出sales org 跑background跑不出資料  之前已經在APP47反應過 請再是否已經完畢,1
so fail VA01-Va03 fail,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,so fail VA01 Va03 fail,1
BOI的，是用BAPI開SO有帶價格過去，但是在ZN26選了以SO當價格，還是抓不到價格,SAP-2X8(QSMC),SD,Sales Process,Billing issue,SAP-2X8,BOI的 是用BAPI開SO有帶價格過去 在ZN26選了以SO當價格 抓不到價格,1
sales BOM無法上傳到SAP。#12670,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,sales BOM無法上傳到SAP,1
"user做SO change後按存檔,但系統顯示無法存檔,T-code:VA02",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,做SO change後按存檔 但系統顯示無法存檔 T code VA02,1
廣達首頁無法登入SAP,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,廣達首頁無法登入SAP,0
User has questions about new account application,SAP-168(QCI),Basis,帳號,新申請,SAP-168,has questions about new account application,0
user 無法登入 sap168  #11409,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,無法登入 sap168,0
會計科目157814 user稍早之前登入正常 線在要再登入顯示被自己lock住了 請協助處理,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,會計科目4 稍早之前登入正常 線在要再登入顯示被lock住了,0
user的帳號是95032018，他昨天可以登入，今天不行登入。  我有去看他是不是密碼記錯了，想幫他改密碼，  但是進去218發現，他的帳號根本不存在，可是他說他昨天有登入  EXT:12318,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,的帳號是 他可以登入 不行登入   我有去看他是密碼記錯了 想幫他改密碼   進去218發現 他的帳號根本不存在 他說他有登入,0
passwod超過8碼無法輸入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,passwod超過8碼無法輸入,0
SAP 第二層無法LOGON 分機7578,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP 第二層無法LOGON 7578,0
SAP password 無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP password 無法登入,0
需要申請SAP Access 31 請協助處理  Ext:18231,SAP-168(QCI),Basis,帳號,新申請,SAP-168,需要申請SAP Access 31,0
new sap 218 一直無法登入，會提示帳號密碼錯誤，但昨天之前都還能用。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,new sap 218 無法登入 會提示帳號密碼錯誤 但之前都還能用,0
No SAP system,SAP-168(QCI),Basis,其它,安裝SAP,SAP-168,No SAP system,0
user 安裝window7後無法使用SAP. (分機216222),SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,安裝window7後無法使用SAP.,0
"登 入主機 : CTRIX SAP  31  登入QCI  帳號: 97041422  輸入帳號密碼, 連線時出現系統忙線訊息,無法登入  早上還可以,直到下午六七點後才發現錯誤訊息  分機:17125",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,登 入主機   CTRIX SAP  31  登入QCI  帳號    輸入帳號密碼  連線時出現系統忙線訊息 無法登入  早上還可以 下午六七點後才發現錯誤訊息,0
"SAP-33 沒法登入 ,出現找不到遠端電腦畫面,　 ext:3761",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP 33 沒法登入  出現找不到遠端電腦畫面   1,0
user反映無法登入SAP 33,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,無法登入SAP 33,0
Can''t log in SAP on Quanta EIP,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,Can''t log in SAP on Quanta EIP,0
"USER欲連線到SAP298,請求協助相關連線設定",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,欲連線到SAP298 請求協助相關連線設定,1
sap 268 client password error  17667陳小姐,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap 268 client password error  陳小姐,1
created 第二層帳號於RD10下,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,created 第二層帳號於RD10下,1
無法登入SAP (無權限),SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,無法登入SAP  無權限,1
公用帳號:95091804  user is lock，分機13229,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,公用帳號    is lock,1
第一層帳號被鎖住(sap-268)    #15101,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,第一層帳號被鎖住 sap 268,1
268無法LOGON,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,268無法LOGON,1
"USER欲連結SAP268系統,出現錯誤訊息,經重設路徑後已解決",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,欲連結SAP268系統 出現錯誤訊息 經重設路徑後已,1
"SAP can not log in 268 , 3141",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,SAP can not log in 268   3141,1
SAP208無法logon,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,SAP208無法logon,1
更新SAP logon文件之後 168可以上 208上不去 請協助處理,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,更新SAP logon文件之後 168可以上 208上不去,1
SAP258無法登入,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,SAP258無法登入,1
created 第二層帳號於RD10下,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,created 第二層帳號於RD10下,1
SAP168/218 LOGON BALANCE ERROR:88,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,SAP168/218 LOGON BALANCE ERROR 88,1
"詢問268,298的登入密碼",SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,詢問268 298的登入密碼,1
298 Can''t logon-修改路徑,SAP-2X8(QSMC),Basis,其他,無法logon SAP,SAP-2X8,298 Can''t logon 修改路徑,1
使用者額度已滿，請協助多開帳號  #17860,SAP-168(QCI),Basis,其它,刪除Job,SAP-168,額度已滿 請協助多開帳號,0
無法正常登入 SAP client 。 ext 17989,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,無法正常登入 SAP client,0
"Login SAP 時下方出現多icon,且無法Login 一般",SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,Login SAP 時下方出現多icon 且無法Login,0
"請問 為什麼我在的內部應用系統 欄  點選CSAP21時, 出現一個視窗寫著"" 無法連線到Citrix Presentation Server 指定的子網路位址沒有路由"".  以致無法使用sap查詢料況",SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,請問 我在的內部應用系統 欄  點選CSAP21時  出現一個視窗寫著  無法連線到Citrix Presentation Server 指定的子網路位址沒有路由 .  無法使用sap料況,0
logon dail   VNC ip address 10.242.172.168   password :000000,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,logon dail   VNC ip address 10.242.172.168   password,0
SAP logon fail,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,SAP logon fail,0
"從sap上download txt檔 ,已經看到檔名了,但是到C槽看,找不到該檔.",SAP-168(QCI),Basis,其它,Performance Issue,SAP-168,從sap上download txt檔  已經看到檔名了 到C槽看 找不到該檔,0
can''t login SAP,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,can''t login SAP,0
該user反應執行ZMD5很慢...v,SAP-168(QCI),Basis,其它,Performance Issue,SAP-168,該執行ZMD5很慢...v,0
使用者安裝SAP後無法使用，麻煩幫忙處理(分機 :12386)，謝謝!!,SAP-168(QCI),Basis,其它,安裝SAP,SAP-168,安裝SAP後無法使用,0
"ASRS System 無法使用,請速與user連繫. #1141",SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,ASRS System 無法使用 請速與連繫.  1141,0
ECN NO.: E200510-1851  转入218,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ECN NO.  E0 1851  轉入218,1
customer data create error #26068,SAP-2X8(QSMC),SD,Master Data,Customer issue,SAP-2X8,customer data create error,1
E200510-2463.  E200510-2468  转入218,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,E0 2463.  E0 2468  轉入218,1
ECN：E200509-4407生效后，GAOVC2MB6G4应由IE状态转为FR状态，但是目前此料仍为IE状态,SAP-2X8(QSMC),PP,ECN,放量,SAP-2X8,ECN E9 4407生效後 GAOVC2MB6G4應由IE狀態轉為FR狀態 目前此料仍為IE狀態,1
ECN NO.:E200510-1453  转入298,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ECN NO. E0 1453  轉入298,1
cost BOM被luck住,SAP-2X8(QSMC),SD,Master Data,Cost center issue,SAP-2X8,cost BOM被luck住,1
Master Data Issue,SAP-2X8(QSMC),SD,Master Data,Sales view maintain,SAP-2X8,Master Data,1
Delivery無法新增,SAP-2X8(QSMC),SD,Master Data,Return/Reverse order type,SAP-2X8,Delivery無法新增,1
E200510-0992  转入218,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,E0 0992  轉入218,1
"ECN No. E200508-2802 未同步至client 298,請協助解決.",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ECN No. E8 2802 未同步至client 298,1
沒有  208  的帳號    group id: rd10  分機:   13637,SAP-168(QCI),Basis,帳號,新申請,SAP-168,沒有  208  的帳號    group id  rd10,0
同仁在上海出差，忘記自己的密碼而無法登入SAP系統,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,同仁 忘記的密碼而無法登入SAP系統,0
因為密碼輸入錯誤造成密碼鎖住,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,密碼輸入錯誤造成密碼鎖住,0
點選CSAP33後進行認證權限，一直顯示啟動中，卻無跑出SAP 畫面(3/5 還能正常使用)  應該不是卡在SAP帳號而是在我的電腦工號/密碼認證,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,點選CSAP33後進行認證權限 顯示啟動中 卻無跑出SAP 畫面 3/5 還能正常使用   應該卡在SAP帳號在我的電腦/密碼認證,0
無法用舊老闆的工號登入SAP，因為舊老闆離職了，需要開通新老闆的工號權限,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,無法用舊老闆的登入SAP 舊老闆離職了 需要開通新老闆的權限,0
遠端桌面失敗無法登入,SAP-168(QCI),Basis,帳號,新申請,SAP-168,遠端桌面失敗無法登入,0
SAP無法登入   CSAP22   #13084,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP無法登入   CSAP22,0
SAP Account 無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP Account 無法登入,0
The user wonders whetever to apply group id or user id in SAP.,SAP-168(QCI),Basis,帳號,新申請,SAP-168,The  wonders whetever to apply group id or  id in SAP,0
使用者的帳號是es002，目前都顯示被Lock，請幫忙處理，謝謝!!,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,的帳號是es002 目前都顯示被Lock,0
SAP登入帳號密碼遺失.,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP登入帳號密碼遺失,0
user 反應 SAP 無法login # 13315,SAP-168(QCI),Basis,帳號,新申請,SAP-168,SAP 無法login,0
點擊SAP-CSAP37一直無法跳至輸入帳號密碼介面。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,點擊SAP CSAP37無法跳至輸入帳號密碼介面,0
詢問  CSAP36 權限如何申請,SAP-168(QCI),Basis,帳號,新申請,SAP-168,詢問  CSAP36 權限申請,0
User would like to speed up ECN process.  ECN: 1200601-4939.,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,would like to speed up ECN process.  ECN,1
ECN still does not show up in 268.  APP0005807,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ECN still does not show up in 268.  APP07,1
尽快使E200510-0989在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,儘快使E0 0989在268生效,1
料号：3LZL1LBTN23 在298系统未增加一个MANUF  ECN号：E200510-0092,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,料號 3LZL1LBTN23 在298系統未增加一個MANUF  ECN號 E0 0092,1
"user反應進SAP168帳號被lock住,Group ID：nb1sales01 ,煩請相關同仁協助處理.",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,進SAP168帳號被lock住 Group ID nb1sales01  相關同仁,0
前幾天才反應過，但今天又不能登入了，user想了解如何正確使用系統，以避免一直發生問題。#15169,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,前幾天才反應過 但又登入了 想瞭解正確使用系統 以避免發生問題,0
sap-21帳號無法登入  csap34也無法登入  分機：15594,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,sap 21帳號無法登入  csap34也無法登入,0
進sap時輸入帳號密碼後，視窗就消失，無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,進sap時輸入帳號密碼後 視窗就消失 無法登入,0
SAP218無法登入使用。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP218無法登入使用,0
"Login myquanta, insert 工號, password, 無反應.",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,Login myquanta  insert   password  無反應,0
sap 168 帳號被lock,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,sap 168 帳號被lock,0
user被lock 之前一點多的時候都還可以上168 請協助處理,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,被lock 之前一點多的都還可以上168,0
"新進人員需安裝Sap軟體,操作問題",SAP-168(QCI),Basis,其它,安裝SAP,SAP-168,新進人員需安裝Sap軟體 操作問題,0
無法Logon SAP,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,無法Logon SAP,0
"user反應需要刪除job,T-code : ZV21,ZMBR,ZB99....等,煩請相關同仁連絡user協助處理 #1415",SAP-168(QCI),Basis,其它,刪除Job,SAP-168,需要刪除job T code   ZV21 ZMBR ZB99....等 相關同仁  1415,0
無法login SAP.  分機11415,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,無法login SAP.,0
Citrix有問題無法使用。出現錯誤畫面：Cannot loac the Citrix ICA Client divers.#12318,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,Citrix有問題無法使用 出現錯誤畫面 Cannot loac the Citrix ICA Client divers.,0
SAP268 VL01無法create delivery資料,SAP-2X8(QSMC),HOME,TOP,問題解決及操作詢問,SAP-2X8,SAP268 VL01無法create delivery資料,1
user想刪除一筆packing 請協助處理,SAP-2X8(QSMC),PP,BOM,BOM Create Error,SAP-2X8,想刪除一筆packing,1
User 要請問如何用 RAW Material 去查替代料    Pleaae call 15732,SAP-168(QCI),PP,Master Data,料號問題,SAP-168,要請問用 RAW Material 去查替代料    Pleaae call,0
"MM01 shows ""the group data for the material is locked by ESSA03"".",SAP-168(QCI),PP,Master Data,料號問題,SAP-168,MM01 shows  the group data for the material is locked by ESSA03,0
"project ID ""YV3""  在 ZMI1 頁面中無法輸入資料",SAP-168(QCI),PP,Master Data,料號問題,SAP-168,project ID  YV3   在 ZMI1 頁面中無法輸入資料,0
SAP set up,SAP-168(QCI),Basis,其它,安裝SAP,SAP-168,SAP set up,0
"citrix執行時無法完成,請打216566",SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,citrix執行時無法完成,0
Citrix 33/40 連不上去做SAP,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,Citrix 33/40 連不做SAP,0
SAP登入密碼忘記  ext12541,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP登入密碼忘記  2541,0
Citrix無法連上sap,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,Citrix無法連上sap,0
進入內部應用系統點選csap27無法進入sap使用,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,進入內部應用系統點選csap27無法進入sap使用,0
SAP 無法login  EXT:17327,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP 無法login,0
"user 說要登入168 系統時 一直出現密碼錯誤, 以致無法登入  分機#11254",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,說要登入168 系統時 出現密碼錯誤  無法登入,0
SAP168無法登入  出現SAP23 Server,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP168無法登入  出現SAP23 Server,0
第二層無法進入.---重建第二層帳號,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,第二層無法進入.   重建第二層帳號,0
logon fail,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,logon fail,0
SAP存取路徑開放權限,SAP-168(QCI),Basis,帳號,新申請,SAP-168,SAP存取路徑開放權限,0
"之前已透過資訊需求申請單申請General Authorization,申請User ID(第二層帳號),單號:app0004475已處理,但user沒有收到帳號及密碼",SAP-168(QCI),Basis,帳號,新申請,SAP-168,之前已透過資訊需求申請單申請General Authorization 申請 ID 第二層帳號  單號 app75已 但沒有收到帳號及密碼,0
#11411  SAP帳號忘記登出，再登入結果被鎖住，無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP帳號忘記登出 再登入被鎖住 無法登入,0
"CSAP26無法登入, 帳號99090602",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,CSAP26無法登入  帳號,0
SAP35、SAP36無法登入。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP35 SAP36無法登入,0
"無法登入SAP,請協助",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,無法登入SAP 請協助,0
請問SAP密碼輸入錯誤 帳號被鎖住 如何修改密碼呢?謝謝。  帳號:95041001,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,請問SAP密碼輸入錯誤 帳號被鎖住 修改密碼呢    帳號,0
SAP-33無法登入,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP 33無法登入,0
SAP帳號被鎖無法使用 #17081,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP帳號被鎖無法使用,0
帳號無法登入SAP系統.,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,帳號無法登入SAP系統,0
my quanta中 登錄Icon 遺失,SAP-168(QCI),Basis,帳號,新申請,SAP-168,my quanta中 登錄Icon 遺失,0
"輸入帳號密碼以後,還是一直跳出輸入帳號密碼的對話框",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,輸入帳號密碼以後 跳出輸入帳號密碼的對話框,0
想要詢問如何使用SAP21，因為也看不到ICON  分機：13057,SAP-168(QCI),Basis,帳號,新申請,SAP-168,詢問使用SAP21 也看不到ICON,0
北棟五樓晶片系統實驗室網路全部不通，分機１２０３０,SAP-168(QCI),Basis,帳號,新申請,SAP-168,北棟五樓晶片系統實驗室網路全部不通,0
帳號lock問題詢問  #13421,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,帳號lock問題詢問,0
168 zkd5 料號出不來,SAP-168(QCI),PP,Master Data,料號問題,SAP-168,168 zkd5 料號出不來,0
料號23UJ3LAJN00   在MD04看的到  但在ZQE2看不到  料號有確實被create?    TEL:382-5622751,SAP-168(QCI),PP,Master Data,料號問題,SAP-168,料號23UJ3LAJN00   在MD04看的到  但在ZQE2看不到  料號有確實被create     51,0
logon畫面都沒出來,SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,logon畫面都沒出來,0
"user反應sap無法登入使用,出現""ICA毀損...""等相關錯誤訊息,請協助處理",SAP-168(QCI),Basis,其它,無法logon SAP,SAP-168,sap無法登入使用 出現 ICA毀損... 等相關錯誤訊息,0
"達丰user反應使用SAP218系統操作時發生Delivery no function的問題,煩請Charles協助處理.",SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,達豐使用SAP218系統操作時發生Delivery no function的問題 Charles,1
t code 有問題,SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,t code 有問題,1
"ZX07,不能進行CTO Upload",SAP-2X8(QSMC),SD,Sales Process,Delivery issue,SAP-2X8,ZX07 進行CTO Upload,1
"user 有一筆SO 98028970, 在系統裏是有資料的但欲列印報表卻無item資料, 請協助處理, TEL: 61591",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP-2X8,有一筆SO   在系統裏是有資料的但欲列印報表卻無item資料,1
sap-26有問題，無法登入。  分機：13252,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,sap 26有問題 無法登入,0
"因SAP 密碼KEY 錯, 導致SAP 鎖住. 需要請MIS 解鎖.",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,因SAP 密碼KEY 錯  導致SAP 鎖住. 需要 解鎖,0
SAP318無法登入 顯示被lock,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP318無法登入 顯示被lock,0
在intra system點CSAP35後輸入帳號密碼，出現正在啟動remote app之後就沒出現任何畫面了，請協助處理。#13140,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,在intra system點CSAP35後輸入帳號密碼 出現啟動remote app之後就沒出現畫面了,0
使用者表示其帳號無權限查詢BOM cost。,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,表示其帳號無權限BOM cost,0
使用者於168上登錄（帳號：ep007），畫面顯示帳號被鎖住，請與使用者連繫　#12630,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,於168上登錄 帳號 ep007  畫面顯示帳號被鎖住 連繫,0
user 為新進人員，同事希望uaer能有權限進入，無須再新申請。,SAP-168(QCI),Basis,帳號,新申請,SAP-168,為新進人員 同事希望uaer能有權限進入 無須再新申請,0
session locked,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,session locked,0
"User 說他登入時顯示 ""user lock""，無法登入",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,說他登入時顯示   lock  無法登入,0
"要從SAP218 列印 Credit Memo, SAP 就當住, 畫面為全螢幕, 然後一直停留列印的畫面",SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,要從SAP218 列印 Credit Memo  SAP 就當住  畫面為全螢幕  停留列印的畫面,1
SAP設定印表機，印表機名稱NB4sales，分機16346,SAP-2X8(QSMC),Basis,印表機,設定,SAP-2X8,SAP設定印表機 印表機名稱NB4sales,1
sap 印表機無法使用,SAP-2X8(QSMC),Basis,印表機,無法列印,SAP-2X8,sap 印表機無法使用,1
